pair_id,ESP_original,SHIWILU_original,ESP_normalizado,SHIWILU_normalizado
P00350,Ólvidalo.,PINANER'KER',ólvidalo.,pinaner'ker'
P00351,¿Está Tom?,¿ÑAPALLI TOM?,¿está tom?,¿ñapalli tom?
P00352,¿Es grave?,¿NU'LA'LLI?,¿es grave?,¿nu'la'lli?
P00353,¿Es malo?,¿MUKANKAN'INPU'?,¿es malo?,¿mukankan'inpu'?
P00354,¿Está lejos?,¿WEIA'CHA ÑAPALLI?,¿está lejos?,¿weia'cha ñapalli?
P00355,¿Eres tú?,¿KENMA'CHA'?,¿eres tú?,¿kenma'cha'?
P00356,Se quemó.,UKER'LLI,se quemó.,uker'lli
P00357,Falló.,APER'LLI,falló.,aper'lli
P00358,Fracasó.,A'APER'LLI,fracasó.,a'aper'lli
P00359,Llovió.,U'LANÑI,llovió.,u'lanñi
P00360,Apesta.,ANALLI,apesta.,analli
P00361,Funcionó.,SAKA'TULLI,funcionó.,saka'tulli
P00362,Hace frío.,SANEK'WAÑI,hace frío.,sanek'wañi
P00363,Está frío.,SANEK'APALLI,está frío.,sanek'apalli
P00364,Está fresco.,NALU  ÑAPALLI,está fresco.,nalu ñapalli
P00365,Está oscuro.,KASISER' ÑAPALLI,está oscuro.,kasiser' ñapalli
P00366,¡Está listo!,¡INSEK'DIPERPI ÑAPALLI!,¡está listo!,¡insek'diperpi ñapalli!
P00367,Es tarde.,ER'WA NUKA'A,es tarde.,er'wa nuka'a
P00368,Es agradable. (persona),MUKANKAN,es agradable. (persona),mukankan
P00369,Es agradable. (sabor),IYALLI,es agradable. (sabor),iyalli
P00370,Se terminó.,TA'WAN'TULLI,se terminó.,ta'wan'tulli
P00371,Se acabó.,TEKINEKLLI,se acabó.,tekineklli
P00372,¡Es verdad!,¡TEKKINCHI NUKA'A!,¡es verdad!,¡tekkinchi nuka'a!
P00373,Es verdad.,TEKKINCHI NUKA'A,es verdad.,tekkinchi nuka'a
P00374,Guarda esto.,SEK'DIPERKER' ASU',guarda esto.,sek'diperker' asu'
P00375,Guarden esto.,SEK'DIPERKU' ASU',guarden esto.,sek'diperku' asu'
P00376,Mantente caliente.,UKAPISU' ÑAPER',mantente caliente.,ukapisu' ñaper'
P00377,Manténgase caliente.,UKAPISU' ÑAPER',manténgase caliente.,ukapisu' ñaper'
P00378,Mantente abrigado.,I'SHIWANSU' ÑAPER',mantente abrigado.,i'shiwansu' ñaper'
P00379,Manténganse abrigados.,I'SHIWANSU' ÑAPAKU',manténganse abrigados.,i'shiwansu' ñapaku'
P00380,Ahora vete.,PAKER' IPA'LA,ahora vete.,paker' ipa'la
P00381,Ahora lárgate.,PAKER' IPA'LA,ahora lárgate.,paker' ipa'la
P00382,¡Suéltame!,¡APU'U!,¡suéltame!,¡apu'u!
P00383,¡Déjeme ir!,¡TA'ITULA'U'KU YAPANTA'LEK!,¡déjeme ir!,¡ta'itula'u'ku yapanta'lek!
P00384,Déjame entrar.,TA'ITULA'U YADA'LEK,déjame entrar.,ta'itula'u yada'lek
P00385,Déjeme entrar.,TA'ITULA'U YADA'LEK,déjeme entrar.,ta'itula'u yada'lek
P00386,Déjanos entrar.,TA'ITULA'UDEK YADA'LLIDEK,déjanos entrar.,ta'itula'udek yada'llidek
P00387,Comamos.,WERANWA',comamos.,weranwa'
P00388,Veamos.,LLI'AWA',veamos.,lli'awa'
P00389,¡Intentémoslo!,¡INTEK'KLIERIWA'!,¡intentémoslo!,¡intek'klieriwa'!
P00390,Escucha.,LAUK'TER',escucha.,lauk'ter'
P00391,Aflójalo.,APU'KER',aflójalo.,apu'ker'
P00392,Suéltala.,APU'KER',suéltala.,apu'ker'
P00393,Aflójala.,APU'KER',aflójala.,apu'ker'
P00394,Deja sitio.,TA'ITER' A'MERCHA,deja sitio.,ta'iter' a'mercha
P00395,Deja pasar.,TA'ITER' NAKUI,deja pasar.,ta'iter' nakui
P00396,¡Buen tiro!,MUSU' DEK'LA,¡buen tiro!,musu' dek'la
P00397,¡Por supuesto!,TE'KINCHI,¡por supuesto!,te'kinchi
P00398,¿Perdona?,TA'ITULAU,¿perdona?,ta'itulau
P00399,Póntelo.,I'SHI'KER',póntelo.,i'shi'ker'
P00400,Lee esto.,LUNTUKER' ASU',lee esto.,luntuker' asu'
P00401,Lea esto.,LUNTUKER' ASU',lea esto.,luntuker' asu'
P00402,Lean esto.,LUNTUKU' ASU',lean esto.,luntuku' asu'
P00403,Decí hola.,MA'PU'SIN TUKER',decí hola.,ma'pu'sin tuker'
P00404,Véase arriba.,LI'KER' MUSENKEK,véase arriba.,li'ker' musenkek
P00405,¡Cogedlo!,PILLI'TER',¡cogedlo!,pilli'ter'
P00406,¡Arrestadlo!,PILLI'TER',¡arrestadlo!,pilli'ter'
P00407,¡Prendedlo!,PILLI'TER',¡prendedlo!,pilli'ter'
P00408,Ella anda.,NANA DEKUNDULLI,ella anda.,nana dekundulli
P00409,Ella camina.,NANA DEKUNDULLI,ella camina.,nana dekundulli
P00410,Anda.,DEKUNDUNLLI,anda.,dekundunlli
P00411,Está buena.,MUPALLI,está buena.,mupalli
P00412,Firme aquí.,LINSERCHER' ASEK,firme aquí.,linsercher' asek
P00413,Firma esto.,LINSERKER' ASU',firma esto.,linserker' asu'
P00414,Sentate ahí.,DU'KER' NANEK,sentate ahí.,du'ker' nanek
P00415,Tú mantente.,LLIA'KER' KENMA,tú mantente.,llia'ker' kenma
P00416,Quieto.,DU'LA'KER' ,quieto.,du'la'ker'
P00417,Más despacio.,A'PINTA' UTI'LA,más despacio.,a'pinta' uti'la
P00418,Fuera.,ADIPI,fuera.,adipi
P00419,Aléjate.,ÑILUPA'SHA,aléjate.,ñilupa'sha
P00420,Quedate acá.,ASEK LIA'KER',quedate acá.,asek lia'ker'
P00421,Deténlos.,NANEK LIA'INA',deténlos.,nanek lia'ina'
P00422,Párales.,NANEK LIA'INA',párales.,nanek lia'ina'
P00423,¡Cuidate!,INLUUKTER',¡cuidate!,inluukter'
P00424,¡Te cuidas!,INLUUKTER',¡te cuidas!,inluukter'
P00425,Encárgate tú.,KENMA LLI'KER',encárgate tú.,kenma lli'ker'
P00426,Toma esto.,MA'TA ASU',toma esto.,ma'ta asu'
P00427,Tome esto.,MA'TA ASU',tome esto.,ma'ta asu'
P00428,Eso es.,NANA NUKA'A,eso es.,nana nuka'a
P00429,¿Entonces qué?,¿NU'PACHIN MA'NEN?,¿entonces qué?,¿nu'pachin ma'nen?
P00430,Cayeron.,ANU'LLINA',cayeron.,anu'llina'
P00431,Perdieron.,KANA'CHI'ÑINA',perdieron.,kana'chi'ñina'
P00432,Tomás condujo.,TOMAS EKPA'LLI,tomás condujo.,tomas ekpa'lli
P00433,Tom teje.,TOM LANTEÑI,tom teje.,tom lanteñi
P00434,Tom sabe.,TOM ÑINCHITAPALLI,tom sabe.,tom ñinchitapalli
P00435,Tom nada.,TOM IDUMPALLI,tom nada.,tom idumpalli
P00436,Tom juró.,TOM TULLI,tom juró.,tom tulli
P00437,Tomás votó.,TOMAS DEK'LLI,tomás votó.,tomas dek'lli
P00438,Tom camina.,TOM DEKKUNTULLI,tom camina.,tom dekkuntulli
P00439,Tom saludó.,TOM TULLI MA'PU'SIN,tom saludó.,tom tulli ma'pu'sin
P00440,Tomás trabaja.,TOMÁS SAKA'TAPALLI,tomás trabaja.,tomás saka'tapalli
P00441,Tom irá.,TOM PA'ECHU,tom irá.,tom pa'echu
P00442,Pruébatelo.,TEKLERIER',pruébatelo.,teklerier'
P00443,Espera aquí.,WA'TENTER' ASEK,espera aquí.,wa'tenter' asek
P00444,Aguarda aquí.,WA'TENTER' ASEK,aguarda aquí.,wa'tenter' asek
P00445,Esperen aquí.,WA'TENKU' ASEK,esperen aquí.,wa'tenku' asek
P00446,Fallamos.,APER'LLIDEK,fallamos.,aper'llidek
P00447,Nos olvidamos.,PINANER'LLIDEK,nos olvidamos.,pinaner'llidek
P00448,Conversamos.,LUNÑIDEK,conversamos.,lunñidek
P00449,Nosotros esperamos.,KUDA WA'TENTULIDEK,nosotros esperamos.,kuda wa'tentulidek
P00450,Después veremos.,NANEKLA LLI'ATERWA',después veremos.,nanekla lli'aterwa'
P00451,Ya veremos.,IPA' LLI'ATERWA',ya veremos.,ipa' lli'aterwa'
P00452,¡Hemos ganado!,¡KANA'TULLIDEK!,¡hemos ganado!,¡kana'tullidek!
P00453,¿Qué hay?,¿MA'NEN ÑAPALLI?,¿qué hay?,¿ma'nen ñapalli?
P00454,¿Quién es?,¿DEN A'CHA?,¿quién es?,¿den a'cha?
P00455,Tú maneja.,KENMA EKPA'KER',tú maneja.,kenma ekpa'ker'
P00456,Tú empieza.,KENMA TENMIANSUER',tú empieza.,kenma tenmiansuer'
P00457,Lo intentaste.,INTEK'LLI'WINA,lo intentaste.,intek'lli'wina
P00458,Más alto.,A'PINTA' MUSENKEK,más alto.,a'pinta' musenkek
P00459,¿Me equivoco?,¿APER'LEK A'CHA?,¿me equivoco?,¿aper'lek a'cha?
P00460,¿Estoy equivocada?,¿APER'SUKU A'CHA?,¿estoy equivocada?,¿aper'suku a'cha?
P00461,¿Estás bien?,¿MUPALAN'CHA?,¿estás bien?,¿mupalan'cha?
P00462,¿Estás levantado?,¿YUNSANSU' ÑAPALA?,¿estás levantado?,¿yunsansu' ñapala?
P00463,¡Ten cuidado!,¡LI'KER'LA!,¡ten cuidado!,¡li'ker'la!
P00464,¡Sé cuidadoso!,¡LI'KER'LA!,¡sé cuidadoso!,¡li'ker'la!
P00465,Estate contento.,ÑAPAKER' MUSU'KANKANTUSU',estate contento.,ñapaker' musu'kankantusu'
P00466,Sea paciente.,WA'TENKER' A'MERCHA.,sea paciente.,wa'tenker' a'mercha.
P00467,Sé serio.,YAMERCHA,sé serio.,yamercha
P00468,Traed comida.,KENCHER' WERAN,traed comida.,kencher' weran
P00469,Trae vino.,KENCHER' VINU',trae vino.,kencher' vinu'
P00470,¿Puedo ayudar?,¿YENNITECHEK KATU'PA'TAK?,¿puedo ayudar?,¿yennitechek katu'pa'tak?
P00471,Lleva esto.,EKPA'KER' ASU',lleva esto.,ekpa'ker' asu'
P00472,Comprueba esto.,TEKLERIER' ASU',comprueba esto.,teklerier' asu'
P00473,Escoge uno.,WADUNKER' ALA'SA',escoge uno.,wadunker' ala'sa'
P00474,Ven solo.,WENLLER' KENMASA',ven solo.,wenller' kenmasa'
P00475,Vente.,WENLLER' ,vente.,wenller'
P00476,Ven temprano.,WENLLER' DASU'LA,ven temprano.,wenller' dasu'la
P00477,¡Pásale!,ENKA'KER',¡pásale!,enka'ker'
P00478,¡Pásenle!,ENKA'KU',¡pásenle!,enka'ku'
P00479,¡Ven rápido!,¡WENCHER' WIUKSU'!,¡ven rápido!,¡wencher' wiuksu'!
P00480,¡Vení rápido!,¡WENCHER' WIUKSU'!,¡vení rápido!,¡wencher' wiuksu'!
P00481,¡Ya párale!,¡PILLI'TER' NANEK!,¡ya párale!,¡pilli'ter' nanek!
P00482,¿Fue Tom?,¿TOM ÑIWIÑI?,¿fue tom?,¿tom ñiwiñi?
P00483,No vengas.,YAWENCHA'TA,no vengas.,yawencha'ta
P00484,¡No salten!,¡YAINDEKTAMA'!,¡no salten!,¡yaindektama'!
P00485,No miren.,YALLI'TAMA,no miren.,yalli'tama
P00486,No cantes.,YATULUNER'TA,no cantes.,yatuluner'ta
P00487,No canten.,YATULENER'TAMA,no canten.,yatulener'tama
P00488,No pares.,YATAITULA'TA,no pares.,yataitula'ta
P00489,¡No hables!,¡YALUNTA'!,¡no hables!,¡yalunta'!
P00490,No hables.,YALUNTA',no hables.,yalunta'
P00491,¡No esperes!,¡YAWA'TENTA!,¡no esperes!,¡yawa'tenta!
P00492,¡No esperen!,¡YAWA'TENTUTAMA!,¡no esperen!,¡yawa'tentutama!
P00493,No esperes.,YAWA'TENTUTA,no esperes.,yawa'tentuta
P00494,No grites.,YALAMAPU'TA,no grites.,yalamapu'ta
P00495,Come despacio.,WERANKER' UTI'LA,come despacio.,weranker' uti'la
P00496,¡Comé despacio!,¡WERANKER' UTI'LA!,¡comé despacio!,¡weranker' uti'la!
P00497,Síguele.,TUPITER',síguele.,tupiter'
P00498,Olvídenlo.,PINANER'KU',olvídenlo.,pinaner'ku'
P00499,Perdónenos.,TAITULA'U'KUDEK,perdónenos.,taitula'u'kudek
P00500,Dios existe.,YUS NAMPIPALLI,dios existe.,yus nampipalli
P00501,Tosió.,CHINKU'LLI,tosió.,chinku'lli
P00502,Descolgó.,U'NU'WAÑI,descolgó.,u'nu'wañi
P00503,Está arruinado.,SAPUSU' ÑAPALLI,está arruinado.,sapusu' ñapalli
P00504,Él miente.,NANA TUMU'PALLI,él miente.,nana tumu'palli
P00505,Es inteligente.,ÑINCHIDINUSU'NUKA'A,es inteligente.,ñinchidinusu'nuka'a
P00506,Aquí está.,ASEK' ÑAPALLI,aquí está.,asek' ñapalli
P00507,Aquí vamos.,ASEK' PA'APILALLIDEK,aquí vamos.,asek' pa'apilallidek
P00508,"Hey, cálmate.",LAUK'LA TUNA'KER',"hey, cálmate.",lauk'la tuna'ker'
P00509,Mantente quieto.,YALENMEKTA,mantente quieto.,yalenmekta
P00510,¡Qué aburrimiento!,¡MUSU' KANKANCHI'NEK!,¡qué aburrimiento!,¡musu' kankanchi'nek!
P00511,¡Qué bonito!,¡EMBU'NI MUSHIPA'!,¡qué bonito!,¡embu'ni mushipa'!
P00512,¡Encantador!,¡MUPENCHA!,¡encantador!,¡mupencha!
P00513,Lo admito.,YAN'KATEKTULEK,lo admito.,yan'katektulek
P00514,Estoy aburrida.,MUIN'SU' ÑAPALEK,estoy aburrida.,muin'su' ñapalek
P00515,Soy feliz,MUSU' NAMPIPALEK,soy feliz,musu' nampipalek
P00516,¡Estoy feliz!,¡MUSU' NAMPIPALEK!,¡estoy feliz!,¡musu' nampipalek!
P00517,Puedo saltar.,INNITULEK INDEK'AK,puedo saltar.,innitulek indek'ak
P00518,Sé leer.,ÑINCHITAPALEK LUN'AK,sé leer.,ñinchitapalek lun'ak
P00519,Puedo cantar.,ÑINCHITAPALEK TULUNER'AK,puedo cantar.,ñinchitapalek tuluner'ak
P00520,Sé nadar.,ÑINCHITAPALEK IDUN'AK,sé nadar.,ñinchitapalek idun'ak
P00521,Lo dudo.,LATEK'IÑEN,lo dudo.,latek'iñen
P00522,Como aquí.,MAPU'SINA ASEK',como aquí.,mapu'sina asek'
P00523,Lo encontré.,KANANEK,lo encontré.,kananek
P00524,Me perdí.,AWER'LEK,me perdí.,awer'lek
P00525,Te detesto.,LUYULLIEN,te detesto.,luyullien
P00526,Te oigo.,LAUK'APALLIEN,te oigo.,lauk'apallien
P00527,Le ayudo.,KATU'PALEK,le ayudo.,katu'palek
P00528,La conozco.,LUWER'CHAPALEK,la conozco.,luwer'chapalek
P00529,Lo conozco.,LUWER'CHAPALEK,lo conozco.,luwer'chapalek
P00530,Ahora sé.,IPA'LA ÑINCHITULEK,ahora sé.,ipa'la ñinchitulek
P00531,Me agradas.,TANTEÑEK,me agradas.,tanteñek
P00532,Me gustó.,TANTENWINEK,me gustó.,tantenwinek
P00533,Lo amo.,TANTEÑEK,lo amo.,tanteñek
P00534,Te quiero.,LUANTULLIEN,te quiero.,luantullien
P00535,Te amo.,LUANTULLIEN,te amo.,luantullien
P00536,¡Te amo!,¡LUANTULLIEN!,¡te amo!,¡luantullien!
P00537,Me encantó.,LUWANTULLIEN,me encantó.,luwantullien
P00538,Lo extraño.,LU'WANEK,lo extraño.,lu'wanek
P00539,Necesito hielo.,LUWANTULEK SANEK,necesito hielo.,luwantulek sanek
P00540,Prometí.,TUWINEK,prometí.,tuwinek
P00541,Me acuerdo.,LLI'INUTAPALEK,me acuerdo.,lli'inutapalek
P00542,Yo recuerdo.,KUA LLI'INUTAPALEK,yo recuerdo.,kua lli'inutapalek
P00543,Grité.,LAMAPU'LEK,grité.,lamapu'lek
P00544,Yo grité.,KUA LAMAPU'LEK,yo grité.,kua lamapu'lek
P00545,Sobreviví.,CHIMINLLINKEKLA NAMPILEK,sobreviví.,chiminllinkekla nampilek
P00546,Viví,NAMPILEK,viví,nampilek
P00547,Eso creo.,NANALATEKAPALEK,eso creo.,nanalatekapalek
P00548,Vomité.,ENMU'LEK,vomité.,enmu'lek
P00549,¡Quiero uno!,ALA'SA' LUANTULEK,¡quiero uno!,ala'sa' luantulek
P00550,¡Quiero una!,ALA'SA' LUANTULEK,¡quiero una!,ala'sa' luantulek
P00551,Llegué tarde.,ETU'KERLEK ER'WA,llegué tarde.,etu'kerlek er'wa
P00552,Lo haré.,NU'TECHEK,lo haré.,nu'techek
P00553,Soy francés.,FRANCES NUKA'KA,soy francés.,frances nuka'ka
P00554,Soy coreano.,KOREANO NUKA'KA,soy coreano.,koreano nuka'ka
P00555,Soy gemelo.,INSILANPI NUKA'KA,soy gemelo.,insilanpi nuka'ka
P00556,Estoy comprando.,MAPA'TAPALEK,estoy comprando.,mapa'tapalek
P00557,Soy torpe.,MA'KIMPU NUKA'KA,soy torpe.,ma'kimpu nuka'ka
P00558,Ahí voy.,NANEK PA'ECHEK,ahí voy.,nanek pa'echek
P00559,Estoy comiendo.,WERAMPALEK,estoy comiendo.,werampalek
P00560,Soy codicioso.,IÑER' LUANTULEK WAPU',soy codicioso.,iñer' luantulek wapu'
P00561,Me mudaré.,YUNSUE'CHEK,me mudaré.,yunsue'chek
P00562,Estoy asustado.,IMANANTUSU' ÑAPALEK,estoy asustado.,imanantusu' ñapalek
P00563,Susto.,IMANAN,susto.,imanan
P00564,Estoy soltero.,KU'APER'WI'NEK,estoy soltero.,ku'aper'wi'nek
P00565,Estoy flacucho.,SHA'MU'SU' ÑAPALEK,estoy flacucho.,sha'mu'su' ñapalek
P00566,¡Tengo sueño!,¡YAWICHI'LEK!,¡tengo sueño!,¡yawichi'lek!
P00567,Tengo sueño.,YAWICHI'LEK,tengo sueño.,yawichi'lek
P00568,He comido.,WERANEK',he comido.,weranek'
P00569,¿Está muerto?,¿CHIMIÑI?,¿está muerto?,¿chimiñi?
P00570,¿Es alto? (estatura - masculino),¿SHIPEN A'CHA?,¿es alto? (estatura - masculino),¿shipen a'cha?
P00571,¿Es alto? (estatura - femenino),¿SHILUN A'CHA?,¿es alto? (estatura - femenino),¿shilun a'cha?
P00572,¿Es alto? (muy arriba),¿MUSENKEK A'CHA?,¿es alto? (muy arriba),¿musenkek a'cha?
P00573,¿Es gratis?,¿PA'CHI'ÑIN'CHA?,¿es gratis?,¿pa'chi'ñin'cha?
P00574,¿Está bueno?,¿MUPALLIN'CHA?,¿está bueno?,¿mupallin'cha?
P00575,¿Es acá?,¿ASEK A'CHA?,¿es acá?,¿asek a'cha?
P00576,¿Aquí?,¿ASEK?,¿aquí?,¿asek?
P00577,¿Está aquí?,¿ASEK A'CHA?,¿está aquí?,¿asek a'cha?
P00578,¿Es seguro?,¿TEKINCHI'CHA?,¿es seguro?,¿tekinchi'cha?
P00579,¿Es verdad?,¿TEKINCHI'CHA?,¿es verdad?,¿tekinchi'cha?
P00580,¿Es ese?,¿NANA'CHA?,¿es ese?,¿nana'cha?
P00581,¿Es así?,¿NU'SU' NUKA'A?,¿es así?,¿nu'su' nuka'a?
P00582,¿Es este?,¿ASU' A'CHA?,¿es este?,¿asu' a'cha?
P00583,Eso pasa.,NANA NAKULLI,eso pasa.,nana nakulli
P00584,Es mío.,KUAKIN NUKA'A,es mío.,kuakin nuka'a
P00585,Está vivo.,NANPIPALLI,está vivo.,nanpipalli
P00586,Está vacío.,INANTEK' NUKA'A,está vacío.,inantek' nuka'a
P00587,Está listo.,INSEK'DIPERPI ÑAPALLI,está listo.,insek'diperpi ñapalli
P00588,Está ahí.,NANEK ÑAPALLI,está ahí.,nanek ñapalli
P00589,Es blanco.,DADAPU NUKA'A,es blanco.,dadapu nuka'a
P00590,Hace viento.,TANLUWATAPALLI,hace viento.,tanluwatapalli
P00591,Jesús lloró.,KISHU WELLEK'LLI,jesús lloró.,kishu wellek'lli
P00592,¡Continúa!,¡TUPITER'!,¡continúa!,¡tupiter'!
P00593,¡Quédate tranquilo!,¡MUSU' LLIA'KER'!,¡quédate tranquilo!,¡musu' llia'ker'!
P00594,¡Guarden silencio!,¡TA'TU'LA'KU!,¡guarden silencio!,¡ta'tu'la'ku!
P00595,Mantente quieto.,YALENMEK'TA,mantente quieto.,yalenmek'ta
P00596,Manténgase quieto.,YALENMEK'TA,manténgase quieto.,yalenmek'ta
P00597,¡Déjale irse!,¡TA'ITULER' PA'I!,¡déjale irse!,¡ta'ituler' pa'i!
P00598,Déjalo entrar.,TA'ITULER' DA'ENCHA'I,déjalo entrar.,ta'ituler' da'encha'i
P00599,¡Déjame salir!,¡TA'ITULA'U YUNSUE'CHEK!,¡déjame salir!,¡ta'itula'u yunsue'chek!
P00600,Déjame ver.,TA'ITULA'U LLI'ECHEK,déjame ver.,ta'itula'u lli'echek
P00601,A ver.,ENTA'I'NA,a ver.,enta'i'na
P00602,Charlemos.,LUN'AWA',charlemos.,lun'awa'
P00603,Besémonos.,INMUSHA'WA',besémonos.,inmusha'wa'
P00604,Juguemos.,INDEKLLITAWA',juguemos.,indekllitawa'
P00605,Renunciemos.,YUNSU'WA',renunciemos.,yunsu'wa'
P00606,Cantemos.,TULUNER'AWA',cantemos.,tuluner'awa'
P00607,Nademos.,IDUNWA',nademos.,idunwa'
P00608,Conversemos.,LUN'AWA',conversemos.,lun'awa'
P00609,Votemos.,DEK'AWA',votemos.,dek'awa'
P00610,Caminemos.,DEK'KUNTAWA',caminemos.,dek'kuntawa'
P00611,Trabajemos.,SAKA'TAWA',trabajemos.,saka'tawa'
P00612,Levántalo.,USANKER',levántalo.,usanker'
P00613,Mira allí.,LLI'KER' NANEK,mira allí.,lli'ker' nanek
P00614,Mamá lloró.,AWA WELLEK'LLI,mamá lloró.,awa wellek'lli
P00615,Sin comentarios.,MA'NEN' ÑI'ÑI LUN'AK',sin comentarios.,ma'nen' ñi'ñi lun'ak'
P00616,Reemplázalo.,A'PAWILEK'KER',reemplázalo.,a'pawilek'ker'
P00617,Di papa.,TUKER' TATA,di papa.,tuker' tata
P00618,Sonría.,YAMERLADAKER',sonría.,yamerladaker'
P00619,Es vieja.,NAPI'DA' NUKA'A,es vieja.,napi'da' nuka'a
P00620,Es guapa.,MULUNSHA NUKA'A,es guapa.,mulunsha nuka'a
P00621,Canta.,TULUNER'KER',canta.,tuluner'ker'
P00622,Huele esto.,LANERKER' ASU',huele esto.,lanerker' asu'
P00623,Huelan esto.,LANERKU' ASU',huelan esto.,lanerku' asu'
P00624,Empieza aquí.,TENMIAN'SUER' ASU',empieza aquí.,tenmian'suer' asu'
P00625,Mantente alerta.,ÑAPAKER' INSEK'DIPERSU',mantente alerta.,ñapaker' insek'dipersu'
P00626,Mantente despierto.,ÑAPAKER' NANPILADASU',mantente despierto.,ñapaker' nanpiladasu'
P00627,Mantente cerca.,ÑAPAKER' KAWIK,mantente cerca.,ñapaker' kawik
P00628,Quédate ahí.,NANEK LLIA'KER',quédate ahí.,nanek llia'ker'
P00629,¡Más rápido!,¡A'PINTA' WIUKSU'!,¡más rápido!,¡a'pinta' wiuksu'!
P00630,Detente ahí.,LLIA'KER' NANEK,detente ahí.,llia'ker' nanek
P00631,Estudia mucho.,NINCHITER' WAPU',estudia mucho.,ninchiter' wapu'
P00632,¡Háblame!,¡LUNTUU!,¡háblame!,¡luntuu!
P00633,¡Habla conmigo!,¡LUNKER' KUALEK!,¡habla conmigo!,¡lunker' kualek!
P00634,Buen chico.,WILA MUKANKAN,buen chico.,wila mukankan
P00635,Eso duele.,NANA IKERLLI,eso duele.,nana ikerlli
P00636,Eso funciona.,NANA SAKA'TAPALLI,eso funciona.,nana saka'tapalli
P00637,Engañaron.,TUMU'LLINA',engañaron.,tumu'llina'
P00638,Hicieron trampas.,ALLISEK NU'TAPALLINA',hicieron trampas.,allisek nu'tapallina'
P00639,Se quedaron.,LLIA'LLINA',se quedaron.,llia'llina'
P00640,Se mantuvieron.,LLIA'LLINA',se mantuvieron.,llia'llina'
P00641,Lo intentaron.,INDEK'LLINA',lo intentaron.,indek'llina'
P00642,Ellos votaron.,NAWA DEKLLINA',ellos votaron.,nawa dekllina'
P00643,Votaron.,DEKLLINA',votaron.,dekllina'
P00644,Hemos llegado.,EKTU'LEKWA',hemos llegado.,ektu'lekwa'
P00645,Éste es.,ASU' NUKA'A,éste es.,asu' nuka'a
P00646,Esto funciona.,ASU' SAKA'TAPALLI,esto funciona.,asu' saka'tapalli
P00647,Esto trabaja.,ASU' SAKA'TAPALLI,esto trabaja.,asu' saka'tapalli
P00648,Tomás eructó.,CHUMA EK'LLI,tomás eructó.,chuma ek'lli
P00649,Tom llamó.,TOM PEKLU'TULLI,tom llamó.,tom peklu'tulli
P00650,Tomás bailó.,CHUMA LANSA'LLI,tomás bailó.,chuma lansa'lli
P00651,Tom baila.,TOM LANSA'PALLI,tom baila.,tom lansa'palli
P00652,Tom bebe.,TOM UWAPALLI,tom bebe.,tom uwapalli
P00653,Tom toma.,TOM UWAPALLI,tom toma.,tom uwapalli
P00654,Tomás conduce.,CHUMA EKPA'PALLI,tomás conduce.,chuma ekpa'palli
P00655,Tom fracasó.,TOM APER'LLI,tom fracasó.,tom aper'lli
P00656,Tom peleó.,TOM IDENMALLI,tom peleó.,tom idenmalli
P00657,Tom luchó.,TOM IDENMALLI,tom luchó.,tom idenmalli
P00658,Tom ayudó.,TOM KATU'PA'TULLI,tom ayudó.,tom katu'pa'tulli
P00659,Tom saltó.,TOM INDEK'LLI,tom saltó.,tom indek'lli
P00660,Tom miró.,TOM LLI'TULLI,tom miró.,tom lli'tulli
P00661,Tom asintió.,TOM TULLI AJÁ,tom asintió.,tom tulli ajá
P00662,Tom obedeció.,TOM LATEK'TULLI,tom obedeció.,tom latek'tulli
P00663,Tomás llamó.,CHUMA PEKLU'TULLI ,tomás llamó.,chuma peklu'tulli
P00664,Tomás llamó soplando hoja.,CHUMA PEKLU'TULLI PENMEK'TAN,tomás llamó soplando hoja.,chuma peklu'tulli penmek'tan
P00665,Tom rezó.,TOM MALLA'LLI,tom rezó.,tom malla'lli
P00666,Tom sonrió.,TOM YAMERLADALLI,tom sonrió.,tom yamerladalli
P00667,Tom ronca.,TOM TUKULU'PALLI,tom ronca.,tom tukulu'palli
P00668,Tom charló.,TOM LUNÑI,tom charló.,tom lunñi
P00669,Tomás esperó.,CHUMA WA'TENTULLI,tomás esperó.,chuma wa'tentulli
P00670,Tom caminó.,TOM DEK'KUNTULLI,tom caminó.,tom dek'kuntulli
P00671,Tom trabajó.,TOM SAKA'TULLI ,tom trabajó.,tom saka'tulli
P00672,Tom bostezó.,TOM LAUKI'LLI,tom bostezó.,tom lauki'lli
P00673,Tom gritó.,TOM LAMAPU'LLI,tom gritó.,tom lamapu'lli
P00674,Tom llorará.,TOM WELLEK'ECHU,tom llorará.,tom wellek'echu
P00675,Tom morirá.,TOM CHIMINCHU,tom morirá.,tom chiminchu
P00676,Tom pagará.,TOM PANWILEK'TECHU,tom pagará.,tom panwilek'techu
P00677,Enciéndelo. (fuego),A'TENDER',enciéndelo. (fuego),a'tender'
P00678,¿Fue divertido?,¿MULLI'NCHA'?,¿fue divertido?,¿mulli'ncha'?
P00679,¿Era divertido?,¿MUWIÑIN?,¿era divertido?,¿muwiñin?
P00680,Mira esto.,LLI'KER' ASU',mira esto.,lli'ker' asu'
P00681,Miren esto.,LLI'KU' ASU',miren esto.,lli'ku' asu'
P00682,Somos hombres.,ENMU'PINEN NUKA'KUDEK,somos hombres.,enmu'pinen nuka'kudek
P00683,Podemos ganar.,YENNITULEKWA' KANA'TAK,podemos ganar.,yennitulekwa' kana'tak
