anchor,positive,negative
¿puedes levantarte?,¿yennitula yunsan'a'mak?,¿yennitula ek'ker'cha'mak?
ahí se ha ido a quedar.,nanek ima ñikuñi.,nanek tawetchulli.
señálalo.,tañituker',a'sanek'ker'
tengo caspa.,añapalek kisek'mutu',ñapalek sadasu'
apunta. ¡fuego!,tañiter' . ¡pen!,¡wanerker'! ¡apechutek!
ella desapareció.,nana wer'lli,nana taserpitulli
demasiado tarde.,nakusuin'chi erwa',empu'duncha'
pruébatelo.,teklerier',tek'ker'
"todas esas cosas, porque dios quiere, estamos cambiando.","nanadaper ima, yus luwanta'su' malek, nana nu'apilalekwa'.","kenmu'wa' wapu'mu'wa', ma'ki'na asu' katu'shadapersa'."
vístete.,ishinwer',wenller'
¡hemos ganado!,¡kana'tullidek!,¡asek ñapallidek!
está envejeciendo.,taserpitapilalli,insek'lutenapalli
odia correr.,luyu'lli teka'ak,luyulek saka'tak
adoro aprender.,iyatulek ñinchitak,innitulek indek'ak
demuéstramelo.,a'lli'u,llinser'chu'u
¡ojalá alguna vez llegue escrito esto que estamos hablando!,¡ma'allimi'na enpi' uklli llinserpi namasu' lunpa'kawa'su' ektu'nchinaa!,nana'lek llipu'mutu'tan dei'tawa' nana wa'dan!
soy importante.,luwantulliner'ku,llinserchutek' nuka'ka
¿es dulce?,¿kaser'llincha?,¿iñer'a'cha?
quiero dinero.,luwantulek kulliker',luwantuwinek kulliker'
nademos.,idunwa',adanta'wa'
necesito hielo.,luwantulek sanek,wayusa' luwantulek
tomás desapareció.,chuma wer'lli,tomas inllipu'ite'lalli
tenía hambre.,uki'la a'ñiwinek,luwantulek saka'tak
estoy casado.,ñapalek sadasu',sadasu' ñapalek'
¿estás contento?,¿musu'cha ñapala?,¿musu' ñapala?
¿es popular?,¿luwer'pia'cha?,¿musu'cha ñapala?
estamos bien.,mu'pallidek',welliek'apallidek
¡aquí estamos!,¡asek ñapallidek!,¡pilli'pi ñapalekwa'!
estamos bromeando.,si'lentapallidek,lansa'pallidek
estamos asustados.,imantusu' ñapallidek,yampu'su' ñapallidek
somos gemelos.,insilan nuka'kawa',yalli'walusa' nuka'kawa'
¡no esperes!,¡yawa'tenta!,¡yaindektama'!
estoy descalzo.,inapilante'ñapalek,kaluwi'su' ñapalek
me asustas.,a'imanantulun,a'sakek'u
¿es privado?,¿sekipia'cha?,¿wichisu'a'cha?
¿son altos?,¿shipenlusa' nuker'ka?,¿enñupa'cha ñapalama'?
necesito descansar.,luwantulek neriak,luwantulek wichi'ak
se desmayaron.,muisu' kankantullina,inmusha'llina'
¿puedo visitar?,¿yennitulek lliak?,¿yennitulek lli'dek'ak?
olvídame.,pinaner'u,llinser'chu'u
él corrió.,nana tekaklli,nana katu'patulli
decí hola.,ma'pu'sin tuker',alantapalek kulliker'
comí demasiado.,nakusu' weranek,luwantulek saka'tak
¿tom ayudó?,¿tom katu'pa'tulli?,¿tom ñiwiñi?
"¡tom, respóndeme!","¡tom, na'piu!","tom, nanpiladalli"
está ocupado.,ipia'la yennichi'ñi,dek'kuntaper'pi'la
¿lo recuerdas?,¿lli'inutapala?,¿ilañiner'ken?
estaba equivocado.,pektunsu' ñapawinek,illiapalek'inpu ñapawinek
te extrañé.,lu'wañen,yen'ner'lek'
¿cuánto es?,¿enpuduncha?,¿den a'cha?
sobrevivirá.,chimillinkekla nanpichu,chiminllinkekla nanpiterwa'
tom obedeció.,tom latek'tulli,tom ektu'lli
están enojados.,yusu' ñapallina',nanpipallina'
olvídenme.,pinaner'u'ku,llinser'chu'u
están casados.,sadasu' ñapallina',kinekla' ñapallina'
¿es maestro?,¿a'lek'tutek' nuka'a?,¿tekinchi nuka'ma?
déjame arreglarlo.,ta'itula'u tekdiperechek,ta'itula'u lek'techek
tom ayudará.,tom katu'pa'techu,tom panwilek'techu
estaba atrapado.,pilli'pi ñapawinek,inanpilatek ñapawinek
despiertalos.,uchinande'ker,enchuku'
tom morirá.,tom chiminchu,tom idenmechu
le cogieron.,pilli'tullina,kanañina'
¿vendrá ella?,¿wenche'chu nana?,¿lli'la?
¿duele?,¿ikerlli?,¿ikerli?
tenemos perro.,a'ñapallidek ñiñi'wa,ka'llidek kadu'
nadie preguntó.,ñiden lekchi'ñi,ñiden pek'klu'chi'ñi
soy turco.,turku nuka'ka,turka nuka'ka
come mucho.,wapu' werampalli,musu' ñiker
¿estás levantado?,¿yunsansu' ñapala?,¿sakek'su' ñapala?
abre.,ek'ke'cher',uencher'
estoy atrapado.,ñapalek pilli'pi,ukapisu' ñapalek
somos adultos.,nuka'kawa taserpilusa',uki'latek ñapallidek
¿cuándo vamos?,¿enpi'a'cha pa'ater?,¿enpi'teke'chu?
¡qué lástima!,!embu'ni we'inuipa'!,¡embu'ni mushipa'!
"ni la piraña,","ñi dunan,",nana wer'lli
de acuerdo.,muetchun,kuanta'
¡qué encanto!,¡empu'ni mushipa'!,¡empu'ni luyaipa'!
fuera.,adipi,ishinwer'
sekputchek no era de buen corazón.,nana sekputchek ima nana mukankinpu'a'su'.,nanek imi'na pacher kelli u'ñishala shanchushala.
¡encantador!,¡mupencha!,¡nanpiker'!
compláceme.,a'sakek'u,peklu'u
es sábado.,sawadu' nuka'a,lunes nuka'a
la abracé.,wiperi'lek,peklu'lek
tenemos esos.,nanadaper a'ñapallidek,a'ñapalekwa' asu'
fracasé.,a'aper'lek',aper'lek
estás soñando.,wa'latapala,yanu'tapala
estamos perdidos.,wer'su' ñapallidek,lachek'insu' ñapallidek
"donde llumallun hemos ido a vivir, así dijo el otro.","llumallunkek ñikuñidek, tullima nana ali'la.","nanadaper ima, yus luwanta'su' malek, nana nu'apilalekwa'."
atacarán.,panper'echuna',ekte'chechuna'
no pagué.,panwilekchi'nek,ka'api'nek
comamos fuera.,adipi ka'awa',inapi ñapallidek
"vamos, levántate.","yunsanker', enchu","pa'awa, nu'ter'"
puedo sentirlo.,yennitulek lauk'ak,yennitulek a'nañiak
¿dónde estábamos?,¿enñupa'cha ñapawinekwa'?,¿inapi ñapala?
alguien llegó.,ala'sa' yalli' ektukerlli,amu utek'wañi
así a otros recriminan.,"nu'su' ali'ladaper llipetchullina',",kananna' nanasa' llikantullina' dei'tullina'.
has ganado.,kana'tula,yapa'lli
"no se están peleando, aunque no nos queremos mucho.","ñi idenmapi'ñina', ñi'na musu' intantennapi'ñidek kuda.","kenmu'wa' mutupi muda', kenmu'wa' ñi asu'lupa'dei'npu'."
es francesa.,nuka'a francesa,francés nuka'a
vienen.,uk'apilellina',kanañina'
volvamos.,adanta'wa',perlli'llidek
¿era divertido?,¿muwiñin?,¿chimiñi?
¿lo ves?,¿li'apala?,¿lli'la?
puedes irte.,yennitula pa'a'masu',yennitula nu'ta'mak
pasó.,nakulli,u'lanñi
"los lagos grandes se secaron,","shidek enñi,","panwalalan uklli,"
antes no. a augusto le decían akushupi.,napi'i'na ma'sha augusto itullina' akushupi.,naneklima asu' ali'lima panta'lli.
tom espiró.,tom deklli nerideknen,tom peklu'tulli
él gritó.,nana lamapu'lli,iyatulli
"desde entonces en adelante, poco a poco algunos barriobajinos se rabian cuando los barrioaltinos van por ahí.",ipa'leklanlek a'metchala nu'unta' chilenñusa' yullina' winenllusa' pa'a'ser nanalupa'.,naneklima llia'lli asu' wa'dan panpateklu' ipa'la walek luwetchapalekwa'.
¡compruébalo!,¡lli'ker' mupallinpa'!,¡inlu'uk'ter!
es mío.,kuakin nuka'a,chinu nuka'ka
nadie mintió.,ñiden tumui'ñi,ñiden pek'klu'chi'ñi
te mostraré.,alli'echen,yen'ner'lek'
¿estás bien?,¿mupalan'cha?,¿musu' ñapala?
ólvidalo.,pinaner'ker',tañituker'
¿está satisfecho?,¿musu' ñapalli?,¿sanekwantula?
¿firmaron?,¿llillinpenma' nu'tulama'?,¿te'kuawina?
falta tomás.,pawanpalli chuma,tomás saka'tapalli
¿puedes leer?,¿yennitula lunta'mak?,¿yennitula ek'ker'cha'mak?
soy médico.,lulentutek' nuka'ka,doktor nuka'ka
déjanos.,tai'tula'udek,lli'aterwa'
debo esconderme.,insek'kita'kasu'ñapalli,insek'dipersu' ñapi'nek
¡alto! ¡ladrón!,¡wanerker'! ¡apechutek!,tañiter' . ¡pen!
¡míralo!,¡lli'ker'!,¡ta'ituler'!
sé confiado.,lu'uktutek'ken ñiker,da'sek'su' ñapala
quiero hablar.,yalun'nek,luantapalundek
te necesitaba.,luwantuwiñen,luwantulliden
estoy horrorizado.,tekua'dansu' ñapalek,inapilante'ñapalek
regresa pronto.,adencher' wiuk'su',wek'ker' ipia'la
¿está dormido?,¿wichisu'a'cha?,¿wer'su' ñapala?
están vivos.,nanpipallina',yusu' ñapallina'
tom juró.,tom tulli,tom ektu'lli
¿pueden ayudarme?,¿yennitulama katupa'a'muk?,¿yennitula kanan'a'mak?
¿qué haremos?,¿ma'nen'a'cha nu'taterwa'?,¿ma'nen'nu'tula?
después me hicieron abuela.,nanekla amitullinerku.,nanek wadekllun awawek shiwiluk.
¡qué interesante!,¡empu'ni luyaipa'!,¡embu'ni mushipa'!
¿estás casado?,¿sadasu'cha ñapala?,¿yunsansu' ñapala?
sobrevivió.,chiminllinkekla nampilli,nudu'pi ñiwiñi
ellos bailarán.,nawa' lanse'chuna',nawa panper'chechuna'
viven allá.,nanek nanpipallina',asek ñapallina'
estábamos listos.,insek'diperpi ñapawiñidek,chiminllinkekla nampipalekwa'
estaba cansado.,saka'tusu' ñapawinek,yawichi'winek
está despedido.,saka'tunakla usu'llina,pada'sa'tapalli
están bailando.,lansa'pallina',tumu'pallina'
están despedidos.,saka'tunakla usu'dekllina',sadasu' ñapallina'
bebo café.,ulek wayusa',musu' paskua'
quiero descansar.,yanerilek,ñapalek sakeksu'
tom insistió.,tom a'perchulli,tom kana'tulli
esperaremos.,wa'tentaterwa',teka'per'aterwa'
hay reglas.,ñapalli la'la'lusa',lauk'apalek la'la'lusa'
encárgate tú.,kenma lli'ker',weker' da'encher'
estás estancado.,pilli'pi ñapala,wichi'su' ñapala
sé leer.,ñinchitapalek lun'ak,ku'la tunansin
cerramos temprano.,shampasik unku'tulekwa',asek' pa'apilallidek
apesta.,analli,aper'lli
puedo compartir.,yennitulek a'nañiak,yennitulek adanta'ak
explícamelo.,musu' wintu'u,llinser'chu'u
sigue mirando.,lli'taper'i'la,lauk'la tuna'ker'
quedé inconsciente.,lliya'lek inlli'inui'su',ñapawiñi kawik
presto dinero.,alantapalek kulliker',enka'deker' kulliker'
¿qué necesito?,¿ma'nen luwantulek?,¿yennitechek katu'pa'tak?
nos vemos.,inlli'ter,lli'aterwa'
¿están bien?,¿musu' ñapalama'?,¿chacha'wanpala?
estás invitado.,peklupi nuka'ma,insekdiperpi nuka'ma
me perdí.,awer'lek,aper'lek
¡increíble!,¡latek'i'nek!,!kaluwi'pala!
hizo trampa.,tumu'lli,dekundunlli
me ignoraron.,luwer'chi'ñiner'ku,ilanñiner'ku
¿puedes ayudarme?,¿yennitula katupa'a'muk?,¿yennitula kanan'a'mak?
hablen claramente.,lunku' lachek'ak,inlli'inuter' musu'
lo pintaremos.,llinserllidek,tu'nek'echidek
¿tenías miedo?,¿te'kuawina?,¿luwantapala?
estar atento.,insekdipersu' ñapaker',nantapitek' ñiker'
estoy calvo.,nuwek'mutu' ñapalek,kaluwi'su' ñapalek
hicimos waffles.,nu'tulekwa' waffles,nakusu' wichi'llidek
de esta manera ahora están olvidando la lengua shiwilu.,ipa'la nu'anna' ipa' shiwilu la'la' pinaner'apilallina'.,nana malallinapu'wa'su' ñillin iñer enmu'pinen.
¿puedes ver?,¿yennitulan'cha lli'ta'mak?,¿yennitula lunta'mak?
¿estás loco?,¿wa'danpindek ñapala?,¿musu'cha ñapala?
¡cálmate!,¡tuna'ker'!,¡yalunta'!
están conmigo.,kualek ñapallina',nanpipallina'
"tom, despierta.","tom, nanpiladalli",tom si'lentulli
vomité.,enmu'lek,yutulli
soy zurdo.,amennan nuka'ka,sadasu' nuka'ka
abajo.,dawik',adipi
estaré esperando.,wa'tentapechek,wa'tenchi'nek
no cantes.,yatuluner'ta,yatumu'ta
me matarán.,dei'techuner'ku,peklue'chenma'
tom estornudó.,tom a'shulli,tom peklu'tulli
fui arrestado.,pillituwiñinerku',perwatendusu' ñapalek
estoy embarazada.,kadulunsu' ñapalek,wa'danpintek ñapalek
hablo inglés.,lunpalek ingles,alek'apalliner'ku ingles
ellos votaron.,nawa dekllina',nawa' werañina'
ayudaremos.,katu'pa'taterwa',saka'taterwa'
ellos cenaron.,nawa' werañina',nawa' inyutullina'
tomás votó.,tomas dek'lli,tomas ekpa'lli
con placer.,sakeksu'lek,yayunsu'lek
entonces el cura ha traído santitos chiquititos.,nanek imi'na pacher kelli u'ñishala shanchushala.,naneklima asu' ali'lima panta'lli.
¡feliz año!,¡muek'kilala!,¡illiñi u'chimu!
tengo cerveza.,añapalek cerveza,vinu' a'ñapalek
voy saliendo.,yunsu'pilalek,si'lentapalek
déjame llevarlo.,ta'itula'u ekpe'chek,ta'itula'u pae'chek
¡suena genial!,¡illiñi u'chimu!,¡u'chimu lli'inu!
lo necesitas.,luantapala,luwantulliden
pregúntame mañana.,lek'ku ek'klli,etu'kerlek er'wa
soy japonés.,japones nuka'ka,finlandis nuka'ka
están celosos.,a'pisadatuteklusa' ñapallina',sadasu' ñapallina'
aprendí mucho.,ninchitulek wapu',kera'pilellek la'la'lusa'
¡no salten!,¡yaindektama'!,¡yatumu'ta!
necesitas ayuda.,katu'pa' luwantula,kanan'a'kasu' ñapalli
somos jóvenes.,nadi'nek nuka'kawa',yalli'walusa' nuka'kawa'
deberías ir.,pa'a'masu' ñapalli,adanta'a'kasu' ñapalli
"nosotros somos bastantes, ellos son doscitos nomas.","kenmu'wa' wapu'mu'wa', ma'ki'na asu' katu'shadapersa'.","ñi idenmapi'ñina', ñi'na musu' intantennapi'ñidek kuda."
podría caminar.,yennituwinasku dekkunta',yennitula pa'a'masu'
¡qué divertido!,¡empu'ni wa'danpintek'ipa'!,¡embu'ni mushipa'!
¿la conoces?,¿luwer'chapala?,¿luwer'chapallien?
desde una ciudad grande ha venido.,kupin ñinanlukla weklli.,nanek wadekllun awawek shiwiluk.
¡piérdete!,¡wer'ker'!,¡paku'!
necesito trabajar.,luwantulek saka'tak,luwantulek katu'pa'
"vino la vacamarina,","panwalalan uklli,",kerlliek vinu'
tomás bailó.,chuma lansa'lli,tomas ekpa'lli
guárdalo.,sekdiperker',a'tashunker'
"nosotros somos gente de cerro, nosotros no somos de aquí.","kenmu'wa' mutupi muda', kenmu'wa' ñi asu'lupa'dei'npu'.","ñi idenmapi'ñina', ñi'na musu' intantennapi'ñidek kuda."
mándenlo adentro.,aku'ku' kinekla,tupiter' inpalerian
estoy loco.,wa'danpintek ñapalek,inapilante'ñapalek
sonreí.,yamerladalek',yulek
quedate conmigo.,llia'ker' kualek,wek'ker' kualek
¿estoy calificado para el trabajo?,¿mupalek saka'tunanki?,¿yennitulek katupa'tak?
son huevos.,kadu'lusa' nuker'ka,wiuksu'lusa' nuker'ka
iremos.,pa'aterwa',lli'aterwa'
seré paciente.,wa'tentutek ñiechek,tuna'su' ñapalek
soy turca.,turka nuka'ka,turku nuka'ka
¿y tú?,¿kenma?,¿den?
me caí.,anu'lek,aper'lek
votemos.,dek'awa',adanta'wa'
¿puedo sentarme?,¿yennitulek du'ak?,¿yennitulek tenmiansu'ak?
tom nada.,tom idumpalli,tom wer'lli
¿estás emocionado?,¿sakek'su' ñapala?,¿yunsansu' ñapala?
sin comentarios.,ma'nen' ñi'ñi lun'ak',ku'la u'wa'ta'pi'ñi
no escuché.,lauk'i'nek,ñinchichi'nek
es falso.,tumu' nuka'a,nanapu'su' nuka'a
ganamos.,kana'llidek,adanta'wa'
ellos ayudarán.,nawa' katu'pa'techuna',nawa panper'chechuna'
sudaron.,elli'llina',da'llina'
lo necesito.,luantulek,a'ta'wantulek
¿estás enfermo?,¿kaluwipala?,¿sakek'su' ñapala?
no vengas.,yawencha'ta,ku'la nakui'nchu
tengo tiempo.,manennu'tapi'nek,nakusu' weranek
te perdono.,ma'ichin'chen,uchinande'ker
¿eres sordo?,¿luuktek' nukama?,¿musu' ñapala?
achícalo.,de'a'merker',ekte'cher'
perdónenos.,taitula'u'kudek,inmusha'wa'
bailemos.,lansa'wa',mu'pallidek'
déjame.,tai'tula'u,na'pi'u
sé nadar.,ñinchitapalek idun'ak,yatuluner'ta
arregla esto.,asu' tekdi'per'ker',teklerier' asu'
soy tom.,nuka'ku tom,tom nuka'a
tom rezó.,tom malla'lli,tom kana'tulli
siéntate aquí.,du'ker' asek,ta'ituler' asek
estamos cansados.,saka'tusu' ñapalidek,sakeksu' ñapallidek
tienes vino.,a'ñapala' vinu',kerlliek vinu'
¿es venenoso?,¿sulliman wanpalli?,¿wichisu'a'cha?
tengo hermanas.,utrinwanpalek,ñinchitapalek ma'tapallinpa'
¿estabas ocupado?,¿añapawinancha' ma'nen'un'ta' nuta'mak?,¿saka'tusu' ñapala?
dales dinero.,enka'deker' kulliker',luwantullina' kulliker
somos débiles.,saputek nuka'kudek,enmu'pinen nuka'kudek
¿quién murió?,¿den chimiñi?,¿den iduñi?
son inteligentes.,iñer' ñinchitulusa' nuker'ka,nuka'kawa taserpilusa'
almorzamos.,ikinek'uklli werañidek,yadekllidek
¿dónde están?,¿enñupa'cha ñapalama'?,¿inapi ñapala?
soy escritor.,llinserchutek' nuka'ka,lulentutek' nuka'ka
¿la conocen?,¿luwer'chapalama?,¿te'kuawina?
no copien.,nana pu'su' yanu'tutama',yatumu'ta
él miente.,nana tumu'palli,nana chimiñi
traje vino.,kerlliek vinu',a'ñapala' vinu'
"así vamos a estar viviendo pues ahora, otras gentes han entrado en jeberos.","nu'su' ñapilaterwa' enta' ipa'la, nermuda'lusi'pa' danker'kuñina' shiwiluk.","nanekla, ipa'li'na iñer inapu'su' pa'akwa' luwetllekwa'."
gritaron.,lamapu'llina',da'llina'
lo permitiré.,ta'itulekchek,iyatulek
tom escuchó.,tom lauk'tulli,tom lauki'lli
estoy nervioso.,amercha tekuasu' ñapalek,inapilante'ñapalek
quiero morir.,yachiminek,wichi'echek
es tarde.,er'wa nuka'a,sanek'apalli
necesito pintura.,luwantulek llinserchunan,a'pinta' luwantulek
¿estás embarazada?,¿kadu'lunsu' ñapala?,¿yunsansu' ñapala?
"bien ardió hasta el amanecer, quedó pura ceniza.","musui'ma ukllishin uksuketchulli, pendalu'sa' llia'lli.",nanek imi'na pacher kelli u'ñishala shanchushala.
sea paciente.,wa'tenker' a'mercha.,nantapitek' ñiker'
huelan esto.,lanerku' asu',a'ta'wantuku' asu'
la vacamarina.,panwalalan.,taserpitapilalli
no entiendo.,ku'la lachek'i'nek,ñinchichi'nek
¿estoy equivocada?,¿aper'suku a'cha?,¿weipensu' ñapalek?
di papa.,tuker' tata,adipi
se abrazaron.,inwiperi'llina',lachek'llina'
lo extraño.,lu'wanek,wa'danpintek
lo extrañaba.,lu'wanwinek,a'pawileklli
muéstrame eso.,a'lli'u nana,ta'ituler' asek
escríbeme.,llinser'chu'u,luwuk'tu'u
está sufriendo.,insek'lutenapalli,pulunker'wanpalli
todo bien.,iñer musu',musu' ñiker
sé despiadado.,lutanteninpu'ker',mumu'su' ñapaku'
puedes negarte.,ku'la tunansin,yennitula nu'ta'mak
solo bromeo.,si'lentapaleksa',empu'ni yaluntama'
tú dormías.,kenma wichi'wina',yalenmekta'
conversamos.,lunñidek,tuluner'awa'
entiendo.,lachekapalek,latekdeklek
tom ayudó.,tom katu'pa'tulli,tom ektu'lli
¿qué hiciste?,¿ma'nen'nu'tula?,¿ma'nen'a'cha nakulli?
no dolerá.,ku'la ikerinchu,ku'la nakui'nchu
sobreviví.,chiminllinkekla nampilek,yawichi'winek
estoy estornudando.,a'shupalek,inapilante'ñapalek
puedo ir.,yennitulek pa'ak,yennitulek adanta'ak
estoy perdida.,wer'su' ñapalek,neriapalek
estaba celoso.,apisadatutek ñapawinek,inanpilatek ñapawinek
lo miraré.,lli'echek,lli'dek'lek
soy feliz,musu' nampipalek,yawelleklek
¿está mal?,¿ñapalli muin'su?,¿chacha'wanpala?
apágalo.,a'tashunker',tañituker'
¿quién renunció?,¿den yunsu'lli?,¿den inllipu'iteklatulli?
te admiro.,kenmapu'su' ñiina'ka,a'imanantulun
lo odio.,luyulek',aper'lek
pónganlo allí.,aku'ku' nanek,ta'ituler' asek
es suyo.,kenmakin nuka'a,sawadu' nuka'a
soy principiante.,tenmiansu'palek,llinserchutek' nuka'ka
odio planchar.,empu'duncha',luyulek saka'tak
¿puedo tomarlo?,¿yennitulek pilli'tak?,¿yennitulek katupa'tak?
"encontrándole, a él nomás lo revolcaron golpéandolo y lo mataron.",kananna' nanasa' llikantullina' dei'tullina'.,"nu'unti'ma kelluluñiñi'ler ka'deklli, pa'nunta'nni'ma ipa' di'tullina'."
¿lo hiciste?,¿nu'tula?,¿naektu'kellia?
está mejorado.,tekdiperpi ñapalli,pulunker'wanpalli
qué dolor.,embu'ni iker'ipa',empu'ni lli'inek
estábamos cerca.,kawitusu' ñapawiñidek,pekuipi ñapalidek
corre rápido.,tek'ker' wiuk'su',paker' uti'la
sé valiente.,nantapitek ñiker',lu'uktutek'ken ñiker
¡he ganado!,¡kana'tulek!,¡yawichi'lek!
tuve suficiente.,a'ñiwinek nanasa',nutulek tanta'shala
¿tienes hijos?,¿wilawanpala'?,¿pumuladawanpalama'?
tomás condujo.,tomas ekpa'lli,tomas inllipu'ite'lalli
tom irá.,tom pa'echu,tom idenmechu
¿puedes andar?,¿yennitapala dekkunta'mak?,¿yennitula ek'ker'cha'mak?
déjame vivir.,taitula'u nanpiak,luwantulek wichi'ak
hasta acá nomás les he contado la lucha de malallina con los españoles.,nanek waleksa' winterkenma' asu' malallina idenma'su' ispaña la'la'lusa'lek.,"malallina nana nu'su' a'kankantullundek,"
la ayuda.,katu'pa',tañituker'
estoy limpio.,pekuipi ñapalek,sha'mu'su' ñapalek
estaba durmiendo.,wicha'pawinek,werampalek
¡pásenle!,enka'ku',¡paku'!
¡sujétalo!,¡pilli'ter'!,¡ta'ituler'!
quiero renunciar.,yayunsu'lek,yasaka'tulek
¿duele esto?,¿ikerlli asu'?,¿den kana'tulli?
¿vives aquí?,¿asek nanpipala?,¿inapi ñapala?
eso ayudará.,nana katu'pa'techu,nana saka'tapalli
¿cuántos murieron?,¿enpu'dun chimiñina'?,¿nakusu' tanluwatulli?
nos recordamos.,lli'inutapallidek,llinserllidek
quiere ir.,yapa'lli,pada'sa'tapalli
tom recuerda.,tom lli'inutapalli,tom lli'inutechu
¡de pie!,¡wanerker'!,¡pen!
¿respira?,¿neriapalli?,¿ulanpallincha?
memorízalo.,sekdiperker' mutu'penkek,de'a'merker'
sé discreto.,luntek yañita,nantapitek ñiker'
ellos aplaudieron.,nawa' inllipu'iteklatullina',iñer'daper yamerladallina'
estoy saludable.,ñapalek mudinusu',sha'mu'su' ñapalek
¡es estupendo!,¡u'chimuinchi nuka'a!,¡empu'ni mushipa'!
me resfrié.,iluwinek,yawichi'lek
¡haz ruido!,¡a'illinker'!,¡lupersu' ñapala!
es blanco.,dadapu nuka'a,nalu' nuka'a
él habló.,nana lunñi,nana lamapu'lli
son rápidos.,wiuksu'lusa' nuker'ka,u'chimuinchilusa' nuker'ka
sigue cantando.,tuluner'aper'i'la,lansa'per'i'la
prepárate.,insek'diper'ker',teka'per'i'la
besémonos.,inmusha'wa',inlulen'awa'
¿estás sola?,¿kenmashasa' ñapala?,¿yunsansu' ñapala?
tom llorará.,tom wellek'echu,tom akusute'chu
¿estás dormido?,¿wichi'su' ñapala?,¿wer'su' ñapala?
ellos gritaron.,nawa lamapu'llina',iñer'daper yamerladallina'
tom mentía.,tom tumu'pawiñi,tom tumu'lli
tráelo aquí.,kencher' asek,saka'tapallek asek
eras simpático.,u'cha'paya ñiwina,ñapaker' musu'kankantusu'
eso duele.,nana ikerlli,asu' analli
¿cuándo correrás?,¿enpi'teke'chu?,¿enpi'a'cha pa'ater?
¿quién vino?,¿den uk'lli?,¿den yunsu'lli?
soy codicioso.,iñer' luantulek wapu',kirka'ñinchitutek nuka'ka
quiero este.,asu' luwantulek,luwantulek asu'
¡qué humillante!,¡empu'ni dakuta!,!embu'ni we'inuipa'!
pronto lloverá.,ipia'la u'lenchu,nanekla lli'aterwa'
nadie gritó.,ñiden lamapui'ñi,ñiden tumui'ñi
me acobardé.,sapulek,a'sakek'u
hablo rápido.,wiuksu' lunpalek,nakusu' wichilek
estamos encerrados.,unku'pi ñapallidek,pilli'pi ñapalekwa'
estamos seguros.,musu'lu'ukpi ñapallidek,imantusu' ñapallidek
dámelo.,enka'u,de'a'merker'
esperaron.,wa'tentullina',na'pitechuna'
es rojo.,pipersu' nuka'a,nalu' nuka'a
estaban muertos.,ñapawiñina' chimipi,nu'misansu' chimiñina'
fui bienvenido.,musu' sekaper'llinerku,mumu'wanbalek
cantemos.,tuluner'awa',adanta'wa'
nadie vino.,ñiden u'i'ñi,ñiden tumui'ñi
necesito respuestas.,luwantulek na'pia'musu',luwantulek llinserchunan
me corto.,indei'techek,llinser'chu'u
estaba escuchando.,lauk'tapawinek,utrinwanpalek
yo invito.,kua peklu'tulek,yan'katektulek
fallamos.,aper'llidek,perlli'llidek
"ten, pruébatelo.","ma'a'tasu', lataker'","pa'awa, nu'ter'"
gritó arákayu.,lukatullima arakayu.,nanekla amitullinerku.
adelántante,ekte'cher',a'nambiker'
dolor,iker,uklli
compartimos ideas.,a'nañiwa' lli'inulusa',a'ñapallidek la'la'lusa' latek'ak
"hasta aquí nomás les voy a contar sobre moyobamba. jeberos, julio 2007",nanek waleksa' winterkenma' asu' muyunpaki.,napi'i'na ma'sha augusto itullina' akushupi.
estoy caliente.,ukapisu' ñapalek,sha'mu'su' ñapalek
tenemos hambre.,uki'lallidek,saka'tusu' ñapalidek
¿me extrañaste?,¿lu'wan'nun?,¿ta'itule'chuner'ku?
odio trabajar.,luyulek saka'tak,luwanchi'nek
siendo señorita encontré marido.,wilaluntamu sudawek kananek.,"malallina nana nu'su' a'kankantullundek,"
ahí se fueron a vivir los laulates12.,nanek ima ñikuñi laweklateklusa'.,naneklima asu' ali'lima panta'lli.
tomás miente.,tomas tumu'palli,tomás saka'tapalli
se desmayó.,muisu' kankatulli,dekundunlli
tomás trabaja.,tomás saka'tapalli,tomas tumu'palli
te mataré.,dei'techen,ma'ichin'chen
ten cuidado.,inlu'uk'tuker',wa'tenker'la
en verdad le dijeron:,tekkinchima itulli:,arakayuler itudeklli:
estás tratando.,yanu'tapala,we'inutapalli
¡feliz pascua!,¡musu' paskua'!,musu' paskua'
soy inocente.,ma'nen nu'chi'nek,llinserchutek' nuka'ka
aquí está.,asek' ñapalli,asek a'ñapala
"ahora vamos a vivir así, ahora ya no vamos a pandillar todo el pueblo.","nu'su' ipa'la ñaterwa', ñi kenmu'wa' ipa'la chu'kenapi'nterwa' iñer ñinanlu'.","kenmu'wa' mutupi muda', kenmu'wa' ñi asu'lupa'dei'npu'."
necesito esto.,luwantulek asu',asu' luwantulek
muévase ya.,lenme'ker' ipa,ta'ituler' nakui
nos estamos muriendo.,chimianpilallidek.,uki'lallidek
olvídalo ya.,ipa' pinanerker',ta'ituler nanek
¿estás ganando?,¿kana'tapala?,¿saka'tapala?
¡contrólate!,¡inlu'uk'ter!,¡ta'ituler'!
nos preparamos.,insek'diperlekwa',teka'per'aterwa'
tom baila.,tom lansa'palli,tom lauktapalli
grité.,lamapu'lek,ishinwer'
no hables.,yalunta',yalli'tama
te escucharé.,lauk'echen,tuluner'echek
están amarillos.,sha'pi'su'sa' ñapallina,sadasu' ñapallina'
huele bien.,u'chimu lanelliek,iñer musu'
