pair_id,ESP_original,SHIWILU_original,ESP_normalizado,SHIWILU_normalizado,has_audit_flags
P00337,Soy ciega.,DAPINANTEK' NUKA'KA,soy ciega.,dapinantek' nuka'ka,True
P00338,Soy ciego.,DAPINANTEK' NUKA'KA,soy ciego.,dapinantek' nuka'ka,True
P00339,Estoy quebrado.,NUPEK'PI ÑAPALEK,estoy quebrado.,nupek'pi ñapalek,False
P00340,Estoy loco.,WA'DANPINTEK ÑAPALEK,estoy loco.,wa'danpintek ñapalek,False
P00341,Estoy borracho.,LUPERSU' ÑAPALEK,estoy borracho.,lupersu' ñapalek,True
P00342,Estoy tomada.,LUPERSU' ÑAPALEK,estoy tomada.,lupersu' ñapalek,True
P00343,Soy amado.,LUANPI NUKA'KA,soy amado.,luanpi nuka'ka,True
P00344,Soy amada.,LUANPI NUKA'KA,soy amada.,luanpi nuka'ka,True
P00345,Soy obeso.,WEIPENSU' NUKA'KA,soy obeso.,weipensu' nuka'ka,False
P00346,Soy obesa.,WEILUNSU' NUKA'KA,soy obesa.,weilunsu' nuka'ka,True
P00347,Estoy listo.,INSEK'DIPERPI ÑAPALEK,estoy listo.,insek'diperpi ñapalek,False
P00348,Lo siento.,WE'INU,lo siento.,we'inu,False
P00349,He perdido.,A'WER'LEK,he perdido.,a'wer'lek,False
P00350,Ólvidalo.,PINANER'KER',ólvidalo.,pinaner'ker',False
P00351,¿Está Tom?,¿ÑAPALLI TOM?,¿está tom?,¿ñapalli tom?,False
P00352,¿Es grave?,¿NU'LA'LLI?,¿es grave?,¿nu'la'lli?,False
P00353,¿Es malo?,¿MUKANKAN'INPU'?,¿es malo?,¿mukankan'inpu'?,False
P00354,¿Está lejos?,¿WEIA'CHA ÑAPALLI?,¿está lejos?,¿weia'cha ñapalli?,False
P00355,¿Eres tú?,¿KENMA'CHA'?,¿eres tú?,¿kenma'cha'?,False
P00356,Se quemó.,UKER'LLI,se quemó.,uker'lli,False
P00357,Falló.,APER'LLI,falló.,aper'lli,False
P00358,Fracasó.,A'APER'LLI,fracasó.,a'aper'lli,False
P00359,Llovió.,U'LANÑI,llovió.,u'lanñi,False
P00360,Apesta.,ANALLI,apesta.,analli,False
P00361,Funcionó.,SAKA'TULLI,funcionó.,saka'tulli,False
P00362,Hace frío.,SANEK'WAÑI,hace frío.,sanek'wañi,False
P00363,Está frío.,SANEK'APALLI,está frío.,sanek'apalli,False
P00364,Está fresco.,NALU  ÑAPALLI,está fresco.,nalu ñapalli,False
P00365,Está oscuro.,KASISER' ÑAPALLI,está oscuro.,kasiser' ñapalli,False
P00366,¡Está listo!,¡INSEK'DIPERPI ÑAPALLI!,¡está listo!,¡insek'diperpi ñapalli!,False
P00367,Es tarde.,ER'WA NUKA'A,es tarde.,er'wa nuka'a,False
P00368,Es agradable. (persona),MUKANKAN,es agradable. (persona),mukankan,True
P00369,Es agradable. (sabor),IYALLI,es agradable. (sabor),iyalli,True
P00370,Se terminó.,TA'WAN'TULLI,se terminó.,ta'wan'tulli,False
P00371,Se acabó.,TEKINEKLLI,se acabó.,tekineklli,False
P00372,¡Es verdad!,¡TEKKINCHI NUKA'A!,¡es verdad!,¡tekkinchi nuka'a!,False
P00373,Es verdad.,TEKKINCHI NUKA'A,es verdad.,tekkinchi nuka'a,False
P00374,Guarda esto.,SEK'DIPERKER' ASU',guarda esto.,sek'diperker' asu',False
P00375,Guarden esto.,SEK'DIPERKU' ASU',guarden esto.,sek'diperku' asu',False
P00376,Mantente caliente.,UKAPISU' ÑAPER',mantente caliente.,ukapisu' ñaper',True
P00377,Manténgase caliente.,UKAPISU' ÑAPER',manténgase caliente.,ukapisu' ñaper',True
P00378,Mantente abrigado.,I'SHIWANSU' ÑAPER',mantente abrigado.,i'shiwansu' ñaper',False
P00379,Manténganse abrigados.,I'SHIWANSU' ÑAPAKU',manténganse abrigados.,i'shiwansu' ñapaku',False
P00380,Ahora vete.,PAKER' IPA'LA,ahora vete.,paker' ipa'la,True
P00381,Ahora lárgate.,PAKER' IPA'LA,ahora lárgate.,paker' ipa'la,True
P00382,¡Suéltame!,¡APU'U!,¡suéltame!,¡apu'u!,False
P00383,¡Déjeme ir!,¡TA'ITULA'U'KU YAPANTA'LEK!,¡déjeme ir!,¡ta'itula'u'ku yapanta'lek!,False
P00384,Déjame entrar.,TA'ITULA'U YADA'LEK,déjame entrar.,ta'itula'u yada'lek,True
P00385,Déjeme entrar.,TA'ITULA'U YADA'LEK,déjeme entrar.,ta'itula'u yada'lek,True
P00386,Déjanos entrar.,TA'ITULA'UDEK YADA'LLIDEK,déjanos entrar.,ta'itula'udek yada'llidek,False
P00387,Comamos.,WERANWA',comamos.,weranwa',False
P00388,Veamos.,LLI'AWA',veamos.,lli'awa',False
P00389,¡Intentémoslo!,¡INTEK'KLIERIWA'!,¡intentémoslo!,¡intek'klieriwa'!,False
P00390,Escucha.,LAUK'TER',escucha.,lauk'ter',True
P00391,Aflójalo.,APU'KER',aflójalo.,apu'ker',True
P00392,Suéltala.,APU'KER',suéltala.,apu'ker',True
P00393,Aflójala.,APU'KER',aflójala.,apu'ker',True
P00394,Deja sitio.,TA'ITER' A'MERCHA,deja sitio.,ta'iter' a'mercha,False
P00395,Deja pasar.,TA'ITER' NAKUI,deja pasar.,ta'iter' nakui,False
P00396,¡Buen tiro!,MUSU' DEK'LA,¡buen tiro!,musu' dek'la,False
P00397,¡Por supuesto!,TE'KINCHI,¡por supuesto!,te'kinchi,False
P00398,¿Perdona?,TA'ITULAU,¿perdona?,ta'itulau,False
P00399,Póntelo.,I'SHI'KER',póntelo.,i'shi'ker',False
P00400,Lee esto.,LUNTUKER' ASU',lee esto.,luntuker' asu',True
P00401,Lea esto.,LUNTUKER' ASU',lea esto.,luntuker' asu',True
P00402,Lean esto.,LUNTUKU' ASU',lean esto.,luntuku' asu',False
P00403,Decí hola.,MA'PU'SIN TUKER',decí hola.,ma'pu'sin tuker',False
P00404,Véase arriba.,LI'KER' MUSENKEK,véase arriba.,li'ker' musenkek,False
P00405,¡Cogedlo!,PILLI'TER',¡cogedlo!,pilli'ter',True
P00406,¡Arrestadlo!,PILLI'TER',¡arrestadlo!,pilli'ter',True
P00407,¡Prendedlo!,PILLI'TER',¡prendedlo!,pilli'ter',True
P00408,Ella anda.,NANA DEKUNDULLI,ella anda.,nana dekundulli,True
P00409,Ella camina.,NANA DEKUNDULLI,ella camina.,nana dekundulli,True
P00410,Anda.,DEKUNDUNLLI,anda.,dekundunlli,False
P00411,Está buena.,MUPALLI,está buena.,mupalli,True
P00412,Firme aquí.,LINSERCHER' ASEK,firme aquí.,linsercher' asek,False
P00413,Firma esto.,LINSERKER' ASU',firma esto.,linserker' asu',False
P00414,Sentate ahí.,DU'KER' NANEK,sentate ahí.,du'ker' nanek,False
P00415,Tú mantente.,LLIA'KER' KENMA,tú mantente.,llia'ker' kenma,False
P00416,Quieto.,DU'LA'KER' ,quieto.,du'la'ker',False
P00417,Más despacio.,A'PINTA' UTI'LA,más despacio.,a'pinta' uti'la,False
P00418,Fuera.,ADIPI,fuera.,adipi,False
P00419,Aléjate.,ÑILUPA'SHA,aléjate.,ñilupa'sha,False
P00420,Quedate acá.,ASEK LIA'KER',quedate acá.,asek lia'ker',False
P00421,Deténlos.,NANEK LIA'INA',deténlos.,nanek lia'ina',True
P00422,Párales.,NANEK LIA'INA',párales.,nanek lia'ina',True
P00423,¡Cuidate!,INLUUKTER',¡cuidate!,inluukter',True
P00424,¡Te cuidas!,INLUUKTER',¡te cuidas!,inluukter',True
P00425,Encárgate tú.,KENMA LLI'KER',encárgate tú.,kenma lli'ker',False
P00426,Toma esto.,MA'TA ASU',toma esto.,ma'ta asu',True
P00427,Tome esto.,MA'TA ASU',tome esto.,ma'ta asu',True
P00428,Eso es.,NANA NUKA'A,eso es.,nana nuka'a,False
P00429,¿Entonces qué?,¿NU'PACHIN MA'NEN?,¿entonces qué?,¿nu'pachin ma'nen?,False
P00430,Cayeron.,ANU'LLINA',cayeron.,anu'llina',False
P00431,Perdieron.,KANA'CHI'ÑINA',perdieron.,kana'chi'ñina',False
P00432,Tomás condujo.,TOMAS EKPA'LLI,tomás condujo.,tomas ekpa'lli,False
P00433,Tom teje.,TOM LANTEÑI,tom teje.,tom lanteñi,False
P00434,Tom sabe.,TOM ÑINCHITAPALLI,tom sabe.,tom ñinchitapalli,False
P00435,Tom nada.,TOM IDUMPALLI,tom nada.,tom idumpalli,False
P00436,Tom juró.,TOM TULLI,tom juró.,tom tulli,False
P00437,Tomás votó.,TOMAS DEK'LLI,tomás votó.,tomas dek'lli,False
P00438,Tom camina.,TOM DEKKUNTULLI,tom camina.,tom dekkuntulli,False
P00439,Tom saludó.,TOM TULLI MA'PU'SIN,tom saludó.,tom tulli ma'pu'sin,False
P00440,Tomás trabaja.,TOMÁS SAKA'TAPALLI,tomás trabaja.,tomás saka'tapalli,False
P00441,Tom irá.,TOM PA'ECHU,tom irá.,tom pa'echu,False
P00442,Pruébatelo.,TEKLERIER',pruébatelo.,teklerier',False
P00443,Espera aquí.,WA'TENTER' ASEK,espera aquí.,wa'tenter' asek,True
P00444,Aguarda aquí.,WA'TENTER' ASEK,aguarda aquí.,wa'tenter' asek,True
P00445,Esperen aquí.,WA'TENKU' ASEK,esperen aquí.,wa'tenku' asek,False
P00446,Fallamos.,APER'LLIDEK,fallamos.,aper'llidek,False
P00447,Nos olvidamos.,PINANER'LLIDEK,nos olvidamos.,pinaner'llidek,False
P00448,Conversamos.,LUNÑIDEK,conversamos.,lunñidek,False
P00449,Nosotros esperamos.,KUDA WA'TENTULIDEK,nosotros esperamos.,kuda wa'tentulidek,False
P00450,Después veremos.,NANEKLA LLI'ATERWA',después veremos.,nanekla lli'aterwa',False
P00451,Ya veremos.,IPA' LLI'ATERWA',ya veremos.,ipa' lli'aterwa',False
P00452,¡Hemos ganado!,¡KANA'TULLIDEK!,¡hemos ganado!,¡kana'tullidek!,False
P00453,¿Qué hay?,¿MA'NEN ÑAPALLI?,¿qué hay?,¿ma'nen ñapalli?,False
P00454,¿Quién es?,¿DEN A'CHA?,¿quién es?,¿den a'cha?,False
P00455,Tú maneja.,KENMA EKPA'KER',tú maneja.,kenma ekpa'ker',False
P00456,Tú empieza.,KENMA TENMIANSUER',tú empieza.,kenma tenmiansuer',False
P00457,Lo intentaste.,INTEK'LLI'WINA,lo intentaste.,intek'lli'wina,False
P00458,Más alto.,A'PINTA' MUSENKEK,más alto.,a'pinta' musenkek,False
P00459,¿Me equivoco?,¿APER'LEK A'CHA?,¿me equivoco?,¿aper'lek a'cha?,False
P00460,¿Estoy equivocada?,¿APER'SUKU A'CHA?,¿estoy equivocada?,¿aper'suku a'cha?,False
P00461,¿Estás bien?,¿MUPALAN'CHA?,¿estás bien?,¿mupalan'cha?,False
P00462,¿Estás levantado?,¿YUNSANSU' ÑAPALA?,¿estás levantado?,¿yunsansu' ñapala?,False
P00463,¡Ten cuidado!,¡LI'KER'LA!,¡ten cuidado!,¡li'ker'la!,True
P00464,¡Sé cuidadoso!,¡LI'KER'LA!,¡sé cuidadoso!,¡li'ker'la!,True
P00465,Estate contento.,ÑAPAKER' MUSU'KANKANTUSU',estate contento.,ñapaker' musu'kankantusu',False
P00466,Sea paciente.,WA'TENKER' A'MERCHA.,sea paciente.,wa'tenker' a'mercha.,False
P00467,Sé serio.,YAMERCHA,sé serio.,yamercha,False
P00468,Traed comida.,KENCHER' WERAN,traed comida.,kencher' weran,False
P00469,Trae vino.,KENCHER' VINU',trae vino.,kencher' vinu',False
P00470,¿Puedo ayudar?,¿YENNITECHEK KATU'PA'TAK?,¿puedo ayudar?,¿yennitechek katu'pa'tak?,False
P00471,Lleva esto.,EKPA'KER' ASU',lleva esto.,ekpa'ker' asu',False
P00472,Comprueba esto.,TEKLERIER' ASU',comprueba esto.,teklerier' asu',False
P00473,Escoge uno.,WADUNKER' ALA'SA',escoge uno.,wadunker' ala'sa',False
P00474,Ven solo.,WENLLER' KENMASA',ven solo.,wenller' kenmasa',False
P00475,Vente.,WENLLER' ,vente.,wenller',False
P00476,Ven temprano.,WENLLER' DASU'LA,ven temprano.,wenller' dasu'la,False
P00477,¡Pásale!,ENKA'KER',¡pásale!,enka'ker',True
P00478,¡Pásenle!,ENKA'KU',¡pásenle!,enka'ku',False
P00479,¡Ven rápido!,¡WENCHER' WIUKSU'!,¡ven rápido!,¡wencher' wiuksu'!,True
P00480,¡Vení rápido!,¡WENCHER' WIUKSU'!,¡vení rápido!,¡wencher' wiuksu'!,True
P00481,¡Ya párale!,¡PILLI'TER' NANEK!,¡ya párale!,¡pilli'ter' nanek!,False
P00482,¿Fue Tom?,¿TOM ÑIWIÑI?,¿fue tom?,¿tom ñiwiñi?,False
P00483,No vengas.,YAWENCHA'TA,no vengas.,yawencha'ta,False
P00484,¡No salten!,¡YAINDEKTAMA'!,¡no salten!,¡yaindektama'!,False
P00485,No miren.,YALLI'TAMA,no miren.,yalli'tama,False
P00486,No cantes.,YATULUNER'TA,no cantes.,yatuluner'ta,False
P00487,No canten.,YATULENER'TAMA,no canten.,yatulener'tama,False
P00488,No pares.,YATAITULA'TA,no pares.,yataitula'ta,False
P00489,¡No hables!,¡YALUNTA'!,¡no hables!,¡yalunta'!,False
P00490,No hables.,YALUNTA',no hables.,yalunta',False
P00491,¡No esperes!,¡YAWA'TENTA!,¡no esperes!,¡yawa'tenta!,False
P00492,¡No esperen!,¡YAWA'TENTUTAMA!,¡no esperen!,¡yawa'tentutama!,False
P00493,No esperes.,YAWA'TENTUTA,no esperes.,yawa'tentuta,False
P00494,No grites.,YALAMAPU'TA,no grites.,yalamapu'ta,True
P00495,Come despacio.,WERANKER' UTI'LA,come despacio.,weranker' uti'la,False
P00496,¡Comé despacio!,¡WERANKER' UTI'LA!,¡comé despacio!,¡weranker' uti'la!,False
P00497,Síguele.,TUPITER',síguele.,tupiter',False
P00498,Olvídenlo.,PINANER'KU',olvídenlo.,pinaner'ku',False
P00499,Perdónenos.,TAITULA'U'KUDEK,perdónenos.,taitula'u'kudek,False
P00500,Dios existe.,YUS NAMPIPALLI,dios existe.,yus nampipalli,False
P00501,Tosió.,CHINKU'LLI,tosió.,chinku'lli,False
P00502,Descolgó.,U'NU'WAÑI,descolgó.,u'nu'wañi,False
P00503,Está arruinado.,SAPUSU' ÑAPALLI,está arruinado.,sapusu' ñapalli,False
P00504,Él miente.,NANA TUMU'PALLI,él miente.,nana tumu'palli,False
P00505,Es inteligente.,ÑINCHIDINUSU'NUKA'A,es inteligente.,ñinchidinusu'nuka'a,False
P00506,Aquí está.,ASEK' ÑAPALLI,aquí está.,asek' ñapalli,False
P00507,Aquí vamos.,ASEK' PA'APILALLIDEK,aquí vamos.,asek' pa'apilallidek,False
P00508,"Hey, cálmate.",LAUK'LA TUNA'KER',"hey, cálmate.",lauk'la tuna'ker',False
P00509,Mantente quieto.,YALENMEKTA,mantente quieto.,yalenmekta,True
P00510,¡Qué aburrimiento!,¡MUSU' KANKANCHI'NEK!,¡qué aburrimiento!,¡musu' kankanchi'nek!,False
P00511,¡Qué bonito!,¡EMBU'NI MUSHIPA'!,¡qué bonito!,¡embu'ni mushipa'!,False
P00512,¡Encantador!,¡MUPENCHA!,¡encantador!,¡mupencha!,False
P00513,Lo admito.,YAN'KATEKTULEK,lo admito.,yan'katektulek,False
P00514,Estoy aburrida.,MUIN'SU' ÑAPALEK,estoy aburrida.,muin'su' ñapalek,True
P00515,Soy feliz,MUSU' NAMPIPALEK,soy feliz,musu' nampipalek,False
P00516,¡Estoy feliz!,¡MUSU' NAMPIPALEK!,¡estoy feliz!,¡musu' nampipalek!,False
P00517,Puedo saltar.,INNITULEK INDEK'AK,puedo saltar.,innitulek indek'ak,False
P00518,Sé leer.,ÑINCHITAPALEK LUN'AK,sé leer.,ñinchitapalek lun'ak,False
P00519,Puedo cantar.,ÑINCHITAPALEK TULUNER'AK,puedo cantar.,ñinchitapalek tuluner'ak,False
P00520,Sé nadar.,ÑINCHITAPALEK IDUN'AK,sé nadar.,ñinchitapalek idun'ak,False
P00521,Lo dudo.,LATEK'IÑEN,lo dudo.,latek'iñen,False
P00522,Como aquí.,MAPU'SINA ASEK',como aquí.,mapu'sina asek',False
P00523,Lo encontré.,KANANEK,lo encontré.,kananek,True
P00524,Me perdí.,AWER'LEK,me perdí.,awer'lek,False
P00525,Te detesto.,LUYULLIEN,te detesto.,luyullien,False
P00526,Te oigo.,LAUK'APALLIEN,te oigo.,lauk'apallien,False
P00527,Le ayudo.,KATU'PALEK,le ayudo.,katu'palek,False
P00528,La conozco.,LUWER'CHAPALEK,la conozco.,luwer'chapalek,True
P00529,Lo conozco.,LUWER'CHAPALEK,lo conozco.,luwer'chapalek,True
P00530,Ahora sé.,IPA'LA ÑINCHITULEK,ahora sé.,ipa'la ñinchitulek,False
P00531,Me agradas.,TANTEÑEK,me agradas.,tanteñek,True
P00532,Me gustó.,TANTENWINEK,me gustó.,tantenwinek,True
P00533,Lo amo.,TANTEÑEK,lo amo.,tanteñek,True
P00534,Te quiero.,LUANTULLIEN,te quiero.,luantullien,True
P00535,Te amo.,LUANTULLIEN,te amo.,luantullien,True
P00536,¡Te amo!,¡LUANTULLIEN!,¡te amo!,¡luantullien!,False
P00537,Me encantó.,LUWANTULLIEN,me encantó.,luwantullien,False
P00538,Lo extraño.,LU'WANEK,lo extraño.,lu'wanek,False
P00539,Necesito hielo.,LUWANTULEK SANEK,necesito hielo.,luwantulek sanek,False
P00540,Prometí.,TUWINEK,prometí.,tuwinek,False
P00541,Me acuerdo.,LLI'INUTAPALEK,me acuerdo.,lli'inutapalek,False
P00542,Yo recuerdo.,KUA LLI'INUTAPALEK,yo recuerdo.,kua lli'inutapalek,False
P00543,Grité.,LAMAPU'LEK,grité.,lamapu'lek,False
P00544,Yo grité.,KUA LAMAPU'LEK,yo grité.,kua lamapu'lek,False
P00545,Sobreviví.,CHIMINLLINKEKLA NAMPILEK,sobreviví.,chiminllinkekla nampilek,False
P00546,Viví,NAMPILEK,viví,nampilek,False
P00547,Eso creo.,NANALATEKAPALEK,eso creo.,nanalatekapalek,False
P00548,Vomité.,ENMU'LEK,vomité.,enmu'lek,False
P00549,¡Quiero uno!,ALA'SA' LUANTULEK,¡quiero uno!,ala'sa' luantulek,True
P00550,¡Quiero una!,ALA'SA' LUANTULEK,¡quiero una!,ala'sa' luantulek,True
P00551,Llegué tarde.,ETU'KERLEK ER'WA,llegué tarde.,etu'kerlek er'wa,False
P00552,Lo haré.,NU'TECHEK,lo haré.,nu'techek,False
P00553,Soy francés.,FRANCES NUKA'KA,soy francés.,frances nuka'ka,False
P00554,Soy coreano.,KOREANO NUKA'KA,soy coreano.,koreano nuka'ka,False
P00555,Soy gemelo.,INSILANPI NUKA'KA,soy gemelo.,insilanpi nuka'ka,False
P00556,Estoy comprando.,MAPA'TAPALEK,estoy comprando.,mapa'tapalek,False
P00557,Soy torpe.,MA'KIMPU NUKA'KA,soy torpe.,ma'kimpu nuka'ka,False
P00558,Ahí voy.,NANEK PA'ECHEK,ahí voy.,nanek pa'echek,False
P00559,Estoy comiendo.,WERAMPALEK,estoy comiendo.,werampalek,False
P00560,Soy codicioso.,IÑER' LUANTULEK WAPU',soy codicioso.,iñer' luantulek wapu',False
P00561,Me mudaré.,YUNSUE'CHEK,me mudaré.,yunsue'chek,False
P00562,Estoy asustado.,IMANANTUSU' ÑAPALEK,estoy asustado.,imanantusu' ñapalek,True
P00563,Susto.,IMANAN,susto.,imanan,False
P00564,Estoy soltero.,KU'APER'WI'NEK,estoy soltero.,ku'aper'wi'nek,False
P00565,Estoy flacucho.,SHA'MU'SU' ÑAPALEK,estoy flacucho.,sha'mu'su' ñapalek,False
P00566,¡Tengo sueño!,¡YAWICHI'LEK!,¡tengo sueño!,¡yawichi'lek!,False
P00567,Tengo sueño.,YAWICHI'LEK,tengo sueño.,yawichi'lek,False
P00568,He comido.,WERANEK',he comido.,weranek',False
P00569,¿Está muerto?,¿CHIMIÑI?,¿está muerto?,¿chimiñi?,False
P00570,¿Es alto? (estatura - masculino),¿SHIPEN A'CHA?,¿es alto? (estatura - masculino),¿shipen a'cha?,True
P00571,¿Es alto? (estatura - femenino),¿SHILUN A'CHA?,¿es alto? (estatura - femenino),¿shilun a'cha?,True
P00572,¿Es alto? (muy arriba),¿MUSENKEK A'CHA?,¿es alto? (muy arriba),¿musenkek a'cha?,True
P00573,¿Es gratis?,¿PA'CHI'ÑIN'CHA?,¿es gratis?,¿pa'chi'ñin'cha?,False
P00574,¿Está bueno?,¿MUPALLIN'CHA?,¿está bueno?,¿mupallin'cha?,False
P00575,¿Es acá?,¿ASEK A'CHA?,¿es acá?,¿asek a'cha?,True
P00576,¿Aquí?,¿ASEK?,¿aquí?,¿asek?,False
P00577,¿Está aquí?,¿ASEK A'CHA?,¿está aquí?,¿asek a'cha?,True
P00578,¿Es seguro?,¿TEKINCHI'CHA?,¿es seguro?,¿tekinchi'cha?,True
P00579,¿Es verdad?,¿TEKINCHI'CHA?,¿es verdad?,¿tekinchi'cha?,True
P00580,¿Es ese?,¿NANA'CHA?,¿es ese?,¿nana'cha?,False
P00581,¿Es así?,¿NU'SU' NUKA'A?,¿es así?,¿nu'su' nuka'a?,False
P00582,¿Es este?,¿ASU' A'CHA?,¿es este?,¿asu' a'cha?,False
P00583,Eso pasa.,NANA NAKULLI,eso pasa.,nana nakulli,True
P00584,Es mío.,KUAKIN NUKA'A,es mío.,kuakin nuka'a,False
P00585,Está vivo.,NANPIPALLI,está vivo.,nanpipalli,False
P00586,Está vacío.,INANTEK' NUKA'A,está vacío.,inantek' nuka'a,False
P00587,Está listo.,INSEK'DIPERPI ÑAPALLI,está listo.,insek'diperpi ñapalli,False
P00588,Está ahí.,NANEK ÑAPALLI,está ahí.,nanek ñapalli,False
P00589,Es blanco.,DADAPU NUKA'A,es blanco.,dadapu nuka'a,False
P00590,Hace viento.,TANLUWATAPALLI,hace viento.,tanluwatapalli,True
P00591,Jesús lloró.,KISHU WELLEK'LLI,jesús lloró.,kishu wellek'lli,False
P00592,¡Continúa!,¡TUPITER'!,¡continúa!,¡tupiter'!,False
P00593,¡Quédate tranquilo!,¡MUSU' LLIA'KER'!,¡quédate tranquilo!,¡musu' llia'ker'!,False
P00594,¡Guarden silencio!,¡TA'TU'LA'KU!,¡guarden silencio!,¡ta'tu'la'ku!,False
P00595,Mantente quieto.,YALENMEK'TA,mantente quieto.,yalenmek'ta,True
P00596,Manténgase quieto.,YALENMEK'TA,manténgase quieto.,yalenmek'ta,True
P00597,¡Déjale irse!,¡TA'ITULER' PA'I!,¡déjale irse!,¡ta'ituler' pa'i!,False
P00598,Déjalo entrar.,TA'ITULER' DA'ENCHA'I,déjalo entrar.,ta'ituler' da'encha'i,False
P00599,¡Déjame salir!,¡TA'ITULA'U YUNSUE'CHEK!,¡déjame salir!,¡ta'itula'u yunsue'chek!,False
P00600,Déjame ver.,TA'ITULA'U LLI'ECHEK,déjame ver.,ta'itula'u lli'echek,True
P00601,A ver.,ENTA'I'NA,a ver.,enta'i'na,False
P00602,Charlemos.,LUN'AWA',charlemos.,lun'awa',True
P00603,Besémonos.,INMUSHA'WA',besémonos.,inmusha'wa',False
P00604,Juguemos.,INDEKLLITAWA',juguemos.,indekllitawa',False
P00605,Renunciemos.,YUNSU'WA',renunciemos.,yunsu'wa',True
P00606,Cantemos.,TULUNER'AWA',cantemos.,tuluner'awa',False
P00607,Nademos.,IDUNWA',nademos.,idunwa',False
P00608,Conversemos.,LUN'AWA',conversemos.,lun'awa',True
P00609,Votemos.,DEK'AWA',votemos.,dek'awa',False
P00610,Caminemos.,DEK'KUNTAWA',caminemos.,dek'kuntawa',False
P00611,Trabajemos.,SAKA'TAWA',trabajemos.,saka'tawa',False
P00612,Levántalo.,USANKER',levántalo.,usanker',True
P00613,Mira allí.,LLI'KER' NANEK,mira allí.,lli'ker' nanek,False
P00614,Mamá lloró.,AWA WELLEK'LLI,mamá lloró.,awa wellek'lli,False
P00615,Sin comentarios.,MA'NEN' ÑI'ÑI LUN'AK',sin comentarios.,ma'nen' ñi'ñi lun'ak',False
P00616,Reemplázalo.,A'PAWILEK'KER',reemplázalo.,a'pawilek'ker',False
P00617,Di papa.,TUKER' TATA,di papa.,tuker' tata,False
P00618,Sonría.,YAMERLADAKER',sonría.,yamerladaker',False
P00619,Es vieja.,NAPI'DA' NUKA'A,es vieja.,napi'da' nuka'a,True
P00620,Es guapa.,MULUNSHA NUKA'A,es guapa.,mulunsha nuka'a,False
P00621,Canta.,TULUNER'KER',canta.,tuluner'ker',False
P00622,Huele esto.,LANERKER' ASU',huele esto.,lanerker' asu',False
P00623,Huelan esto.,LANERKU' ASU',huelan esto.,lanerku' asu',False
P00624,Empieza aquí.,TENMIAN'SUER' ASU',empieza aquí.,tenmian'suer' asu',False
P00625,Mantente alerta.,ÑAPAKER' INSEK'DIPERSU',mantente alerta.,ñapaker' insek'dipersu',False
P00626,Mantente despierto.,ÑAPAKER' NANPILADASU',mantente despierto.,ñapaker' nanpiladasu',False
P00627,Mantente cerca.,ÑAPAKER' KAWIK,mantente cerca.,ñapaker' kawik,False
P00628,Quédate ahí.,NANEK LLIA'KER',quédate ahí.,nanek llia'ker',False
P00629,¡Más rápido!,¡A'PINTA' WIUKSU'!,¡más rápido!,¡a'pinta' wiuksu'!,False
P00630,Detente ahí.,LLIA'KER' NANEK,detente ahí.,llia'ker' nanek,False
P00631,Estudia mucho.,NINCHITER' WAPU',estudia mucho.,ninchiter' wapu',False
P00632,¡Háblame!,¡LUNTUU!,¡háblame!,¡luntuu!,False
P00633,¡Habla conmigo!,¡LUNKER' KUALEK!,¡habla conmigo!,¡lunker' kualek!,False
P00634,Buen chico.,WILA MUKANKAN,buen chico.,wila mukankan,False
P00635,Eso duele.,NANA IKERLLI,eso duele.,nana ikerlli,False
P00636,Eso funciona.,NANA SAKA'TAPALLI,eso funciona.,nana saka'tapalli,False
P00637,Engañaron.,TUMU'LLINA',engañaron.,tumu'llina',True
P00638,Hicieron trampas.,ALLISEK NU'TAPALLINA',hicieron trampas.,allisek nu'tapallina',False
P00639,Se quedaron.,LLIA'LLINA',se quedaron.,llia'llina',True
P00640,Se mantuvieron.,LLIA'LLINA',se mantuvieron.,llia'llina',True
P00641,Lo intentaron.,INDEK'LLINA',lo intentaron.,indek'llina',False
P00642,Ellos votaron.,NAWA DEKLLINA',ellos votaron.,nawa dekllina',False
P00643,Votaron.,DEKLLINA',votaron.,dekllina',False
P00644,Hemos llegado.,EKTU'LEKWA',hemos llegado.,ektu'lekwa',False
P00645,Éste es.,ASU' NUKA'A,éste es.,asu' nuka'a,False
P00646,Esto funciona.,ASU' SAKA'TAPALLI,esto funciona.,asu' saka'tapalli,True
P00647,Esto trabaja.,ASU' SAKA'TAPALLI,esto trabaja.,asu' saka'tapalli,True
P00648,Tomás eructó.,CHUMA EK'LLI,tomás eructó.,chuma ek'lli,False
P00649,Tom llamó.,TOM PEKLU'TULLI,tom llamó.,tom peklu'tulli,False
P00650,Tomás bailó.,CHUMA LANSA'LLI,tomás bailó.,chuma lansa'lli,False
P00651,Tom baila.,TOM LANSA'PALLI,tom baila.,tom lansa'palli,False
P00652,Tom bebe.,TOM UWAPALLI,tom bebe.,tom uwapalli,True
P00653,Tom toma.,TOM UWAPALLI,tom toma.,tom uwapalli,True
P00654,Tomás conduce.,CHUMA EKPA'PALLI,tomás conduce.,chuma ekpa'palli,False
P00655,Tom fracasó.,TOM APER'LLI,tom fracasó.,tom aper'lli,False
P00656,Tom peleó.,TOM IDENMALLI,tom peleó.,tom idenmalli,True
P00657,Tom luchó.,TOM IDENMALLI,tom luchó.,tom idenmalli,True
