ESP,SHIWILU
estamos despiertos,nampilalasu' ñapalidek
estamos limpios,pekuipi ñapalidek
estamos listos,insekdiperpi ñapalidek
lo sentimos,we'inutulidek
estamos cansados,saka'tusu' ñapalidek
somos gemelos,insilan nuka'kawa'
somos jóvenes,nadi'nek nuka'kawa'
qué burro,ma'nen ñinchichi'na
qué imbécil,ma'nen ñinchichi'na
qué pérdida,embu'ni wer'ipa'
qué desastre,embu'ni panger'ipa'
qué mugre,embu'ni uchutek'ipa'
qué confusión,embu'ni luwer'chi'ñi
qué dolor,embu'ni iker'ipa'
qué lástima,embu'ni we'inuipa'
qué pena,embu'ni we'inuipa'
qué equipo,mumu'wanbalek
quiénes sois,denlusa'acha
quién sos,denkena'cha
quién vitoreó,den inllipu'iteklatulli
quién escapó,den chi'yeklli
quién viene,den u'apilelli
sos grande,a'lliupiken nuka'ma
estás loca,wa'danpindek ñapala
hizo trampa,tumu'lli
hicieron trampa,tumu'llina'
se desmayaron,muisu' kankantullina
te desmayaste,muisu' kankantula
se desmayó,muisu' kankatulli
me lastimas,a'kaluwi'lun
quédatelo,lia'ker'
lo necesitas,luantapala
nos necesitas,luantapalundek
eres libre,inapiken nuka'ma
estás loco,wadanpintek ñapala
estás enfermo,kaluwi'pala
estás débil,nantapi'na
estoy invitado,peklu'pi ñapalek
nada nuevo,ñimanen nalu
tienes frío,sanekwantula
estás muerto,chimipi ñapala
eres sordo,luuktek' nukama
estás libre,inapi ñapala
estás lleno,mer'su' ñapala
estás herida,chacha'wanpala
estás perdido,wer'su' ñapala
estás enfermo,kaluwipala
está segura,tekinchi'cha' ñapala
está seguro,tekinchi'cha' ñapala
están seguros,tekinchi'cha' ñapalama
estar atento,insekdipersu' ñapaker'
sé confiado,lu'uktutek'ken ñiker
ten seguridad,latek'u
sé despiadado,lutanteninpu'ker'
hazle pasar,a'nakuker'
puedo intentar,yennitulek inpaleriak
puede hacerlo,yennitulek nu'tak
puedes venir,yennitula uk'a'mak
puedes ayudar,yennitula katu'pa'ta'mak
puedes leer,yennitula lunta'mak
sabes nadar,ñinchitapala idun'ak
puedes andar,yennitapala dekkunta'mak
pueden andar,yennitulama' dekkunta'mamak
compruébalo,lli'ker' mupallinpa'
ven enseguida,wek'ker' ipia'la
acércate,kawiter'
regresa,adencher'
baja,nu'wanker'
baje,nu'wanker'
sal fuera,yunsuer' adipi
venga conmigo,wek'ker' kualek
enfríalo,a'sanek'ker'
vino tom,tom wek'lli
ayudaste,katu'pa'tula
firmaste,llillinpen nu'tula
firmaron,llillinpenma' nu'tulama'
luzco bien,llitapalek musu'
usted fuma,kenma u'wa'tapala
fumas,u'wa'tapala
usted ronca,kenma tukulu'pala
tú roncas,kenma tukulu'pala
no divagues,cheksu' ñiker'
conduce lentamente,ekpa'ker' utila'
examine esto,lli'ker' asu'
examinen esto,lli'ku' asu'
dame eso,enka'u nana
deme tiempo,wa'ten'u
ve adentro,paker' kinekla
buenos días,muuklli
espera tom,wa'tenker' tom
feliz pascua,musu' paskua'
tómate algo,uker' ma'pinta'
come algo,kaker' ma'pinta'
toma otro,uker' ali'la'
toma otro,ma'atasu' ali'la'
sé valiente,nantapitek ñiker'
él gritó,nana lamapu'lli
la ayuda,katu'pa'
es francés,francés nuka'a
está comiendo,weranpalli
corre rápido,tek'ker' wiuk'su'
esperará,wa'tentechu
está sufriendo,insek'lutenapalli
oye aguarda,lau'ker' wa'tenter'
qué pesado,enpu'ni saka'dek'ipa'
qué horrible,enpu'ni aperpipa'
qué romántico,enpu'ni mupenchipa'
te admiro,kenmapu'su' ñiina'ka
soy chino,chinu nuka'ka
quiero saberlo,yañinchitulek
estoy lesionado,ñapalek da'peksu'
estoy rezando,mallia'palek
comí manzanas,ka'lek manzanas
comí caviar,ka'lek caviar
podría caminar,yennituwinasku dekkunta'
me corto,indei'techek
me corté,indei'tulek
no mentí,tumui'nek
no pagué,panwilekchi'nek
no sé,ñinchichi'nek
lo desconozco,luver'chi'nek
tomé leche,mudidek ulek
los encontré,kanandeklek
tengo dinero,kulliker'wanpalek
la abracé,wiperi'lek
te extrañé,lu'wañen
necesito pintura,luwantulek llinserchunan
necesito dormir,luwantulek wichi'ak
necesito agua,luwantulek dek'
te necesitaba,luwantuwiñen
leo frecuentemente,lunpa'lek utalinpu'sa'
lo llamé,pekklu'lek
leo libros,luntulek kerka'lusa'
hablo rápido,wiuksu' lunpalek
simpatizo,musu' lli'apalek
entiendo,lachekapalek
quiero dinero,luwantulek kulliker'
quiero ir,yapa'lek
tenía miedo,tekuawinek
fui enmarcado,a'apitulliner'ku
tenía hambre,uki'la a'ñiwinek
estaba solo,kuashasa' ñapawinek
tenía sueño,yawichi'winek
volveré,adenche'chek
estaré bien,musu' ñapechek
seré libre,inapi ñechek
me arriesgaré,inpalerichek
te demandaré,winlapichen
soy médico,lulentutek' nuka'ka
soy doctor,doktor nuka'ka
soy escritor,llinserchutek' nuka'ka
soy adulta,taserlunku nuka'ka
estoy descalzo,inapilante'ñapalek
estoy confuso,lachek'ki'nek
estoy confundido,lachek'ki'nek
estoy divorciada,apu'pi nuka'ka
estoy congelado,nakusu' sanekwantulek
estoy helado,nakusu' sanekwantulek
estoy dudando,ku'la latektapi'nek
soy inocente,ma'nen nu'chi'nek
estoy indignado,yusu' ñapalek
estoy pintando,llinserchapalek
estoy embarazada,kadulunsu' ñapalek
estoy preparado,ñapalek insekdipersu'
soy inquieto,wa'danpintek nuka'ka
soy intranquilo,wa'danpintek nuka'ka
estoy estudiando,kerka' ñinchitapalek
estoy exhausto,ñapalek saka'tusu'
estoy reventado,ñapalek saka'tusu'
está roto,nusha'tusu' ñapalli
es suficiente,nanasa'cha iñer'
ha empezado,tenmiansu'lli
empezó,tenmiansu'lli
comenzó,tenmiansu'lli
era negro,kerpi'a'cha'
fue repugnante,nudu'pi ñiwiñi
se quemará,uker'echu
me toca,pata'lliu
está perfecto,mupalli
está nevando,pulunker'wanpalli
está funcionando,saka'tapalli
sólo espera,wa'tenker'la
sigue bailando,lansa'per'i'la
sigue cavando,iwa'taper'i'la
sigue conduciendo,ekpa'aper'i'la
sigue mirando,lli'taper'i'la
siga leyendo,luntaper'i'la
sigue corriendo,teka'per'i'la
sigan corriendo,teka'pa'ku'i'la
sigue cantando,tuluner'aper'i'la
continuá hablando,lun'aper'i'la
continúe hablando,lun'aper'pi'la
sigue caminando,dek'kuntaper'pi'la
sigue escribiendo,llinsecher'pi'la
déjalo ir,ta'ituler' pa'i
déjame ir,ta'itula'u pa'ak
déjame irme,ta'itula'u pa'ak
dejame hablar,ta'itula'u lun'echek
déjame pensar,ta'itula'u inlli'inutechek
salgamos,yunsu'wa'
escuchemos,lauk'tawa'
no vayamos,pa'inpu'wa'
adivina,teklerier' ninchita'mak
entró mary,da'kerlli mari
continúa tom,tupiter' tom
prosigue tom,tupiter' tom
nadie sabe,ñiden ñinchichi'ñi
nadie preguntó,ñiden lekchi'ñi
ahora déjanos,ipa'la ta'itula'u'kudek
ahora sientate,ipa'la du'ker'
ah entiendo,ah lachek'apalek
sonrian,yamerladaku'
señálalo,tañituker'
ábrela,ek'ker'cher'
ponlo allí,aku'ker' nanek
pónganlo allí,aku'ku' nanek
ponlo ahí,aku'ker' nanek
repítelo,tununter'
hasta pronto,pante'chek
hasta entonces,pante'chek
qué vergüenza,dakuta'lek
avergüénzate,dakuta'ker'
le disparó,ilanñi
ella salió,nana yunsu'lli
muéstrame eso,a'lli'u nana
alguien llegó,ala'sa' yalli' ektukerlli
concéntrate,lli'ker' musu'
quedate conmigo,llia'ker' kualek
no discutas,yainyututa
cállate,ta'tuler'
felices sueños,u'chimusha wichi'ker'
dulces sueños,u'chimusha wichi'ker'
relajate,latada'ker'
cuéntame más,wintu'u a'pinta'
dime más,wintu'u a'pinta'
dígame más,wintu'u a'pinta'
dinos más,wintu'udek a'pinta'
dígannos más,wintu'udek a'pinta'
cuéntanos más,wintu'udek a'pinta'
gracias nuevamente,yuspeinet'echun nanapu'si'la
eso ayudará,nana katu'pa'techu
así es,nu'su' nuka'a
es raro,nerpi'la nuka'a
son grandes,a'llupi nuker'ka
se chocaron,da'pañina'
se estrellaron,da'pañina'
se escaparon,chi'yek llina'
me conocían,luwer'chuwiñiner'ku
rieron,lumer'llina'
se negaron,luwanchi'ñina'
pararon,ta'itula'llina
sudaron,elli'llina'
llamarán,peklu'techuna'
ellos llamarán,nawa' peklu'techuna'
ellos vendrán,nawa' wenche'chuna'
vendrán,wenche'chuna'
son huevos,kadu'lusa' nuker'ka
son rápidos,wiuksu'lusa' nuker'ka
se fueron,pa'llina'
son buenos,u'chimulusa' nuker'ka
son ricas,iyasu'lusa' nuker'ka
son feos,aper'pilusa' nuker'ka
son débiles,saputek'lusa' nuker'ka
esto ayudará,asu' katu'pa'techu
tom respondió,tom na'pitulli
tom canceló,tom a'ta'wantulli
tom terminó,tom a'ta'wantulli
tom insistió,tom a'perchulli
tom escuchó,tom lauk'tulli
tom prometió,tom tekinchi'walek tulli
tom huyó,tom teka'lli
tom creció,tom susu'lli
tomás renunció,chuma yunsu'lli
tom tartamudea,tom musu' lunpi'ñi
tom balbucea,tom musu' lunpi'ñi
tom sobrevivió,tom chimillinkekla nampilli
tomás desapareció,chuma wer'lli
tom hablará,tom lun'echu
tom despierta,tom nanpiladalli
pruébate estos,tekle'rier asu'lusa
espera fuera,adipi wantenter'
despiertalos,uchinande'ker
despiértate tom,nanpiladaker' tom
camina conmigo,dek'kunter' kualek
podemos hacerlo,yennitulekwa' nu'tak
nos preparamos,insek'diperlekwa'
estábamos listos,insek'diperpi ñapawiñidek
almorzamos,ikinek'uklli werañidek
tenemos vino,a'ñapallidek vinu'
los amamos,tanten'ñidek
necesitamos ayuda,luwantullidek katu'pa'
necesitamos más,luwantullidek a'pinta'
lo necesitamos,luwantullidek
dormimos demasiado,nakusu' wichi'llidek
deberíamos irnos,pa'a'kawa'su' ñapalli
lo conseguimos,kananekwa'
lo logramos,kananekwa'
nos rendimos,yennichi'nek'wa'
estábamos heridos,llipu'pi ñapawiñidek
estábamos lastimados,llipu'pi ñapawiñidek
somos adultos,nuka'kawa taserpilusa'
estamos asustados,imantusu' ñapallidek
estamos encerrados,unku'pi ñapallidek
estamos hambrientos,uki'latek ñapallidek
estamos bromeando,si'lentapallidek
estamos perdiendo,wer'apallidek
lo tenemos,a'ñapallidek
quiénes son,denlusa'cha
quién canceló,den ata'wantulli
quién escuchó,den lauk'tulli
quién renunció,den yunsu'lli
quién desapareció,den wer'lli
quién empieza,den tenmian'su'lli
quién parte,den tenmian'su'lli
acaso vivirá,nanpichua'cha
eres bueno,u'chimu nuka'ma
estás bien,mu'su' ñapala
eres rico,kulliker'wanpala
puedes venir,yennitula' uk'a'mak
puedes quedarte,yennitula' llia'a'mak
tú primera,nanentupen
ustedes primero,nanentu kenmama'
lo heriste,llipu'tula
le conoces,luwer'chapala
puedes nadar,yennitula' idun'a'mak
prometiste,nu'techun tuwina
tú prometiste,kenma nu'techun tuwina
prometió,nana tuwiñi nu'techu
usted prometió,kenma tuwina nu'techu
ustedes prometisteis,kenmama' tuwinama' nu'techuma
prometieron,tuwiñina' nu'techuna
ustedes prometieron,kenmama' tuwinama' nu'techuma
lo prometiste,nu'techun tuwina
lo prometió,tuwiñi nu'techu
lo prometieron,tuwiñina' nu'techuna
me asustas,a'imanantulun
sobreviviste,chiminllinkekla nampila
tú sobreviviste,kenma chiminllinkekla nampila
sobrevivió,chiminllinkekla nampilli
usted sobrevivió,kenma chiminllinkekla nampila
estarás bien,musu' ñape'chu
estás loco,wa'danpintek ñapala
es cruel,mukankan'inpu' nuka'a
estás borracha,lupersu' ñapala
está despedido,saka'tunakla usu'llina
están despedidos,saka'tunakla usu'dekllina'
estás gordo,weipensu' ñapala
estás mintiendo,tumu'pala
tienes razón,tekinchi nuka'a
eres inteligente,iñer' ñinchitapala'
son inteligentes,iñer' ñinchitulusa' nuker'ka
eres listo,insekdiperpi nuka'ma
estás cansado,saka'tusu' ñapala
eres duro,watensu' nuka'ma
estás equivocado,aper'su' ñapala
estoy soñando,wa'latapalek
están ocupados,yennichi'nama'
son polis,suntadulusa'cha
son altos,shipenlusa' nuker'ka
estás sola,kenmashasa' ñapala
estás enojada,yusu' ñapala
estás despierta,nanpiladasu' ñapala
estás borracho,lupersu' ñapala
estás ebrio,lupersu' ñapala
estás embriagado,lupersu' ñapala
estás contento,musu'cha ñapala
eres feliz,musu' ñapala
contento,musu'
estás lista,insek'diperpi ñapala
están listos,insek'diperpi ñapalama'
estás,ñapala
pórtate bien,musu' ñiker
apóyame,katu'pa'u
apóyanos,katu'pa'udek
tráelo aquí,kencher' asek
pide ayuda,lekter' katu'pa'
pida ayuda,lekter' katu'pa'
pidan ayuda,lektuku' katu'pa'
llámame después,peklu'u ma'isik
puedo entrar,yennitulek da'ak
puedo tenerlo,yennitulek a'ñak
puedo abrazarte,yennitulek wiperi'a'kik
puedo participar,yennitulek katupa'tak
puedo quedármelo,yennitulek ek'llia'ak
puedo visitar,yennitulek lliak
puedo tomarlo,yennitulek pilli'tak
puedes dormir,yennitula wichi'a'mak
venga mañana,weker' eklli
baila conmigo,lansa'ker' kualek
hablaste,lun'na
le conozco,luwer'chapalek
te conozco,luwer'chapallien
necesito uno,luantulek ala'sa'
serás bienvenido,musu' sek'kaperechuner'ken
hazlo rápidamente,wiu'su' nu'ter'
hágalo rápido,wiu'su' nu'ter'
hazlo conmigo,kualek nu'ter'
me sigues,tupitechunku
lo ves,li'apala
me ves,li'apalu
no engordes,yaweyta
come algo,ma'shapin'ta ka'ker'
todos ganan,iñer' kana'tullina'
dámelo,enka'u
dímelo,wintu'u
dame algunos,enka'u nu'unta'lusa'
deme esos,enka'u nanalusa'
aguanta,yan'katekter'
espera ahí,nanek watenker'
espere allí,nanek watenker'
agárrate fuerte,pili'ker' ikersu'
guarda eso,sekdiperker' nana
conserva eso,sekdiperker' nana
hazlo venir,a'wencher'
come mucho,wapu' werampalli
le cogieron,pilli'tullina
está leyendo,lunta'palli
la besó,musha'lli
luce pálido,shapi'tek nuka'a
me pellizcó,sek'tek'lliu
camina rápido,wiu'su' dekunter'
quiere más,a'pinta' luwantulli
es abogado,chimidekpi nuka'a
aquí viene,asek uk'apilelli
abrazame fuertemente,wiperi'u ikersu'
espera allí,wa'tender' nanek
sujétalo fuerte,pilli'ter' ikersu'
sujétalo,pilli'ter'
cómo estáis,ma'pu'sin
cuántos murieron,enpu'dun chimiñina'
qué emocionante,embu'nimushipa'
apúrate tom,wiuk'er' tom
casi morí,chiminwinek
siempre camino,nerpi'pu' dekundapalek
soy americano,americano nuka'ka
soy japonés,japones nuka'ka
estoy tosiendo,chinku'palek
me indigna,a'yiulliu
estoy estornudando,a'shupalek
te creo,latekllien
les creo,latekdeklek
los llamé,peklu'deklek
puedo sentirlo,yennitulek lauk'ak
puedo verte,yennitulek li'an'su'
yo contribuí,kua katu'patulek
no esperé,wa'tenchi'nek
no estudio,ku'la ñinchitapi'nek
yo exageré,kua a'nadalek
me dormí,wichi'lek
te perdono,ma'ichin'chen
me casé,sadalek (hombre) / sudalek (mujer)
odio volar,luyulek pennu'ak
detesto volar,luyulek pennu'ak
odio perder,luyulek wer'ak
detesto perder,luyulek wer'ak
estoy resfriado,ilusu' ñapalek
estoy acatarrado,ilusu' ñapalek
he pecado,aper'lek
escucho voces,lauk'apalek la'la'lusa'
te mentí,tumu'tullien
les mentí,tumu'tuleklek
hice café,wayusa' nu'tulek
preparé cena,kalutulek
necesito café,wayusa' luwantulek
la rescaté,kananek
lo rescaté,kananek
lo abofeteé,patenchulek
dormí mucho,nakusu' wichilek
quiero café,luwantulek wayusa'
quiero llorar,yawelleklek
quiero morir,yachiminek
quiero comer,yawerannek
quiero intentarlo,yateklerilek
quiero ganar,yakana'lek
tuve cuidado,inlu'uktuwinek
estaba furioso,yupawinek
estaba celoso,apisadatutek ñapawinek
estaba atrapado,pilli'pi ñapawinek
estaba desarmado,illiapalek'inpu ñapawinek
escribo versos,linserchapalek la'la'lusa'
lo permitiré,ta'itulekchek
estaré solo,kuasa' ñapechek
seré breve,wiuksu' ñin'chek
estaré ahí,ñapechek nanek
lo compraré,mape'chek
lo llamaré,peclu'echek
comeré aquí,asek werenchek
lo mataré,dei'techek
le mataré,dei'techek
te mataré,dei'techen
lo demostraré,alli'echek
te mostraré,alli'echen
le mostraré,alli'echek
lo llevaré,epa'echek
cogeré uno,maechek alasa'
lo miraré,lli'echek
soy islandés,islandes nuka'ka
soy estudiante,kirka'ñinchitutek nuka'ka
soy maestro,alektutek nuka'ka
soy huérfano,suila nuka'ka
soy guapa,mulun nuka'ka
estoy desesperado,perwatendusu' ñapalek
estoy agotado,saka'tusu' ñapalek
soy olvidadizo,pinanerchek'ku nukaka
estoy horrorizado,tekua'dansu' ñapalek
estoy impaciente,yennichinek wa'tentak
soy importante,luwantulliner'ku
estoy impresionada,ñapalek imanantusu'
estoy escuchando,lauk'apalek
te escucharé,lauk'echen
estoy satisfecho,ñapalek sakeksu'
soy sensible,manenpita' ikerchulek
tengo cerveza,añapalek cerveza
está mirando,lli'tapalli
es doloroso,ikerli
es popular,luwer'pia'cha
es privado,sekipia'cha
está lloviendo,ulanpallincha
es dulce,kaser'llincha
hay más,ñapalli a'pinda'
se quebró,nupek'tulli
empeora,nu'la'lli
había nevado,pulunker' ñapawiñi
aquí duele,asek ikerlli
me enferma,a'kaluwi'liu
fue irónico,si'len ñiwiñi
no dolerá,ku'la ikerinchu
no servirá,ku'la pa'chinchu
funciona bien,saka'tapalli musu'
será fácil,saka'dekimpu ñichu
es adorable,u'chimusha nuka'a
son negocios,uku'latak nuker'ka
está desierto,manen ñi'ñi
es emocionante,sakeknansu' nuka'a
está mejorado,tekdiperpi ñapalli
es obsoleto,napi'da' nuka'a
está ocupado,ipia'la yennichi'ñi
está obsoleto,ñapalli napi'da'
déjelo,ta'ituler'
solo levántate,kenmasa' yunsanker'
aprende italiano,ñinchiter' italianu
déjelo aquí,ta'ituler' asek
déjale pasar,ta'ituler' nakui
déjame terminar,ta'itula'u ata'wantak
déjame cogerlo,ta'itula'u pilli'te'chek
déjame verlo,ta'itula'u lli'echek
déjame intentarlo,ta'itula'u tekle'richek
déjame probarlo,ta'itula'u tekle'richek
preguntémosle,lek'kawa'
hagamos más,a'pinta' nu'tawa'
hagamos eso,nu'tawa' nana
comamos fuera,adipi ka'awa'
vámonos,enchuku'
volvamos,adanta'wa'
vayamos abajo,nuwanta'wa'
mantengámoslo,tupi'wa'
prosigamos,tupi'wa'
avancemos,pa'awa' ekter'lupa'
abrámoslo,ek'ker'chawa'
sigamos adelante,tupi'wa' ekter'lupa'
hazlo rápido,wiuk'su' nu'ter'
resume,tunka'su' nu'ter'
puedo verlo,yennitulek lli'ak
memoriza esto,sekdiperker' asu' mutu'penkek
nadie llamó,ñiden pek'klu'chi'ñi
di algo,tuker' ma'nen'unta'
digan algo,tuku' ma'nen'unta'
mándamelo,a'uktuwu
empiezo,tenmiansu'chek
debo continuar,tupite'chekpi'la
es francesa,nuka'a francesa
sientate tomás,duker' chuma
habla claramente,lunker' lachek'ak
hable claramente,lunker' lachek'ak
hablen claramente,lunku' lachek'ak
habla bajito,ta'tula'shasu' lunker'
habla calladito,ta'tula'shasu' lunker'
sé positivo,inlli'inuter' musuk
sigue positivo,musuk'i'la lli'inuper'
mantenganse juntos,mumu'su' ñapaku'
qué listo,dakuti'ñi
ya basta,ta'ituler'
es suficiente,nanasa'
es simple,saka'dek'inpu'
aquí tienes,asek a'ñapala
están aquí,asek ñapallina'
cancelaron,ta'itula'llina'
lo encontraron,kanañina'
te conocen,luwer'chapalliñer'ken
deben morir,chimin'er'kasu'ñapalli
gritaron,lamapu'llina'
ellos bailarán,nawa' lanse'chuna'
están vivos,nanpipallina'
están solos,nawa'sa' ñapallina'
están enojados,yusu' ñapallina'
están limpias,mupisusa' ñapallina'
están mintiendo,tumu'pallina'
están cansados,saka'tusu' ñapallina'
son gemelos,insilanpi nuker'ka
es incorrecto,mui'su' nuka'a
tom aplaudió,tom inllipu'itek'latulli
tom dudó,tom latek'chi'ñi
tom recuerda,tom lli'inutapalli
tom vaciló,tom si'lentulli
tom mentía,tom tumu'pawiñi
tom palideció,tom sha'pi'wiñi
tom cocinará,tom akusute'chu
tom obedecerá,tom latekte'chu
intenta hacerlo,teklerier' nu'ta'mak
estaba roncando,tukulu'pawiñi
estamos llorando,welliek'apallidek
estamos arruinados,nakusu' muin'su' ñapallidek
estamos condenados,nakusu' muin'su' ñapallidek
tenemos hambre,uki'lallidek
podríamos leer,yennituwinaskudek luntak
podríamos caminar,yennituwinaskudek dek'kuntak
fuimos robados,ape'chuwiñiner'kudek
nos robaron,aperlliner'kudek
tenemos perro,a'ñapallidek ñiñi'wa
tenemos planes,a'ñapallidek ma'nen'un'ta' nu'tak
tenemos reglas,a'ñapallidek la'la'lusa' latek'ak
necesitamos dinero,kulliker' luwantullidek
nunca hablamos,ñinpi' lunpi'ñidek
deberíamos comer,ka'a'kawa'su' ñapalli
lo entendemos,lachek'apallidek
estábamos cerca,kawitusu' ñapawiñidek
estábamos borrachos,lupersu' ñapawiñidek
teníamos razón,a'persu' ñapiñidek
sobreviviremos,chiminllinkekla nanpiterwa'
somos primos,yalli'walusa' nuka'kawa'
estamos intrigados,lachek'insu' ñapallidek
estamos bailando,lansa'pallidek
nos vamos,pa'echidek
estamos casados,sadasu' ñapalek'
estamos leyendo,kerka' luntapallidek
somos egoístas,kenmu'sak lli'i'nupalekwa'
somos serios,ku'la yamerapiñidek
nos quedamos,llia'terwa'
miramos,lli'aterwa'
estamos atrapados,pilli'pi ñapalekwa'
estamos ganando,kana'tapalekwa'
estamos trabajando,saka'tapalekwa'
estabas ocupado,añapawinancha' ma'nen'un'ta' nuta'mak
te dispararon,ilañiner'ken
estabas enfermo,kaluwi'su' ñapawina
qué fiasco,enpu'ni dakuta'ipa'
qué alivio,enpu'ni mui'pa
qué ocurrió,ma'nen'a'cha nakulli
qué haremos,ma'nen'a'cha nu'taterwa'
cuándo vamos,enpi'a'cha pa'ater
dónde estás,enñupa'cha ñapala
dónde están,enñupa'cha ñapalama'
dónde estábamos,enñupa'cha ñapawinekwa'
quién gana,den kana'tulli
ella vendrá,nana wenche'chu
vendrá ella,wenche'chu nana
llegaste temprano,dasu'la ektu'kerllia
se equivocan,aper'llina'
puedes hacerlo,yennitula nu'ta'mak
tienes vino,a'ñapala' vinu'
hipócrita,katu'lada
pareces ocupado,ma'nen'nu'tapa'masu'pu'su' lli'tula
pareces enfermo,kaluwinanpu'su' lli'tula
puedes hablar,yennitula lun'a'mak
debes esperar,wa'tenta'masu' ñapalli
necesitas ayuda,katu'pa' luwantula
necesitas esto,luwantula asu'
deberías ir,pa'a'masu' ñapalli
hueles mal,anapila
pareces loco,wa'danpintek'pu'su' lli'tula
quieres esto,asu' luwantula
estabas ocupado,saka'tapawina
eras mío,kuakin ñiwina
eras simpático,u'cha'paya ñiwina
fracasarás,nu'chin'chu
trabajas duro,saka'techu watensu'
trabajas mucho,saka'techu empu'nipa
llegaran lejos,wei ek'tue'chuna'
llegará lejos,wei ek'tue'chu
lo verás,lli'echu
la verás,lli'echu
eres parcial,denlekpin'ta' ñapala
bromeas,si'lentapala'
estás bromeando,si'lentapala
eres guapa,mulunsha nuka'ma
estás soltero,inapiken nuka'ma
estás delgado,sha'mu'su' nuka'ma
estás dormido,wichi'su' ñapala
estás tratando,yanu'tapala
estoy calificado para el trabajo,mupalek saka'tunanki
tenías miedo,te'kuawina
vendrás,wenche'chun
vienes,wenche'chun
estás soltero,inapiken ñapala
tráemelo,keritu'u
puedo ayudarle,yennitulek katu'pa'a'kik
puedo ayudarte,yennitulek katu'pa'a'kik
puedo besarte,yennitulek musha'a'kik
puedo verlos,yennitulek lli'dek'ak
puedo sentarme,yennitulek du'ak
podemos proseguir,yennitaterwa tupitak
podemos continuar,yennitaterwa tupitak
puedes levantarte,yennitula yunsan'a'mak
puedes verlo,yennitula lli'a'mak
vuelve aquí,adencher' asek
regresa pronto,adencher' wiuk'su'
baja aquí,nu'wanker' asek
ven entra,weker' da'encher'
vamos hazlo,pa'awa nu'ter'
vamos háganlo,pa'awa nu'tuku'
ven acá,wencher' asek
entendió,lachek'la
lo viste,lli'la
hágalo mañana,eklli nu'ter'
te conocemos,luwer'chapalliden
lo tienes,a'ñapala
me oyes,lauk'apalun
me escuchás,lauk'apalun
lo sabes,ñinchitapala
me conocen,luwer'chapalama'u
nos conoces,luwer'chapalama'udek
te gusta,iyatula
me quieres,luwantulun
me amas,luwantulun
te gusto,iyatulun
duele esto,ikerlli asu'
no forcejees,yanantapita
cómete todo,ka'ker' iñer'
cómanse todo,ka'ku' iñer'
todos mienten,iñer' tumu'llina'
todos pagaron,iñer' panwilek'tullina'
dáselo,enka'ker'
buenas tardes,muer'wa
pásaselo,enka'ker'
feliz año,muek'kilala
has comido,werana
comiste,werana
ya comiste,ipa werana
él aceleró,apinta'a'tekalli
tiene barba,amu utek'wañi
ha cambiado,a'pawileklli
es canadiense,kanadiense nuka'a
la increpó,yutulli
parece enfadada,yupa'masu'pusu' lli'tula
vende frutas,uku'latapalli wayupilusa'
debería venir,wencha'winsu'
quiere ir,yapa'lli
se ahogó,chimidek'tulli
está deprimido,we'inutapalli
aquí vienen,asek uk'apilellina'
cuánto es,enpuduncha
apúrensen muchachos,wiuk'ku wilalusa'
ya sé,ipa' ñinchitulek
comí demasiado,nakusu' weranek
te creí,latekllien
presto dinero,alantapalek kulliker'
traje vino,kerlliek vinu'
puedo demostrarlo,yennitulek a'lli'tak
lo noto,lli'apalek
no pico,ku'la ek'kuanpinek
no sigo,ku'la tupiapi'nek
no entiendo,ku'la lachek'i'nek
bebo café,ulek wayusa'
me arrestaron,pilli'tulliner'ku'
me divorcié,yanpu'lek
me divertí,sakek'lek
odio bailar,luyulek lansa'ak
detesto bailar,luyulek lansa'ak
odio planchar,empu'duncha'
odio trabajar,luyulek saka'tak
tengo tos,ilulek
ni idea,ninchichi'nek
tengo hermanas,utrinwanpalek
adoro ganar,iyatulek kana'tak
hice panecitos,nutulek tanta'shala
debo regresar,adanta'a'kasu' ñapalli
necesito respuestas,luwantulek na'pia'musu'
necesito descansar,luwantulek neriak
necesito trabajar,luwantulek saka'tak
necesitaba dinero,luwantuwinek kulliker'
ahora recuerdo,ipa'la lli'inutulek
te recuerdo,lli'inutapallien
estornudo mucho,a'shulek wapu'
hablo francés,lumpalek frances
estudio francés,a'lek'apalliner'ku frances
estudio coreano,a'lek'apalliner'ku koreano
enseño francés,a'lek'tapalek frances
quiero otro,luwantulek ali'la
quiero ayudar,yakatupa'tulek
quiero vivir,yanampilek
quiero jugar,yaintekllitulek
quiero renunciar,yayunsu'lek
quiero descansar,yanerilek
quiero hablar,yalun'nek
quiero trabajar,yasaka'tulek
fui arrestado,pillituwiñinerku'
estaba soñando,wa'latapawinek
estaba durmiendo,wicha'pawinek
estaba sudando,ellia'pawinek
fui bienvenido,musu' sekaper'llinerku
estaba agotado,ñapawinek saka'tusu'
desearía poder,yen'nichina'ka
sería cuidadoso,ñi'inaka inlu'uktutek
preferiría morir,chimin'ina'ka
estaré cerca,kawik ñapechek
seré directo,cheksu' ñechek
los llamaré,peklue'chenma'
te llamaré,peklue'chen
lo regañaré,yute'chek
le reñiré,yute'chek
te invitaré,peklue'chen
soy principiante,tenmiansu'palek
soy músico,tuluner'cheku nuka'ka
estoy asombrada,imanantusu' ñapalek
estoy apurado,wiuk'apalek
me desnudo,inanpilechek
estoy desempleado,makek saka'tapi'nek
estoy parado,wanerapalek
estoy desempleada,makek saka'tapi'nek
estoy acostumbrado,ñapalek da'iyasu'
