pair_id,ESP,SHIWILU
P00257,Yo le estoy enseñando.,A’lek’apalek kualer.
P00258,Yo le voy a enseñar todo lo que sé.,kualer a’lek’etchek iñer ñinchita’kasu’.
P00259,"Sólo eso he hablado. Yurimaguas, Julio 2005",kua nanasa’ lunek.
P00260,Ahora les voy a contar cómo antiguamente se quemaron estas riberas del río Pampayacu.,Ipa’la lunchek ma’pu’si’pa’ napi’ uketllin asu’ Panpadek ukuchinlusa’.
P00261,Cuentan que antiguamente el gobernante (de Jeberos) se levantó y habló:,Napi’ ima wa’an yunsa’n luñi:
P00262,“Ya el verano empezó. ¡Vamos a pescar muchachos y muchachas!” les dijo.,"“Ipa’ ekkilala pilli’ncha’lli. ¡Enchuku’ pur’awa’ nadi’neklusa’, wilalunlusa’!” itudekllima."
P00263,Entonces sí todos se pusieron de acuerdo. Dijeron “¡Vamos a pescar” y se fueron.,Ipa’linchi iñerdaper inlli’inutullina’ “¡Enchuku’ purkunwa’!” tanni’ma pa’llina’.
P00264,Dicen que en ese tiempo el dueño (del Pampayacu) todavía vivía ahí en esa ribera del río.,Nanimi’na napi’pui’mi’na wa’anen nanpi’pawiñinpi’la nana Panpadek ukuchinkek.
P00265,"Entonces los hombres llegaron y construyeron tambo, chancaron barbasco.","Ipa’linchi nawa’ ektu’na’ palenñantullina’, puñañin llisantullina’."
P00266,"Luego de hacer eso, dijeron “pesquemos mañana”.",Nu’anna’ “eklli pur’awa’” tullini’ma.
P00267,"Dicen que en ese momento bajó un catalán como hembra, este era una unchala5.","Nanek’ima ipa’linchi nu’wencha’lli ala’sa’ sasa’lunpu’a’su’, asu’ silakun."
P00268,Este era asistente del gobernante.,Nana wa’an wala’wanen.
P00269,"Ahí vino volando, bajó y le dijo (a la gente):","Nanima pennu’pilenchan, unchan itudeklli:"
P00270,"“Dicen que este monte lo van a quemar”, pero no le creyeron.",“Asu’ tanan ima di’setchetchuna’” itudekllima ñima latekchiñina’.
P00271,"Dicen que en esos tiempos el gobernante (de Jeberos) era el Pelejo, el Pelejo era gobernante.","Napi’pui’mi’na wa’an ñapawiñi asu’ Kuntek, Kuntek wa’an."
P00272,"Ahí dice, en ese momento, amaneciendo cuando echaban el barbasco,","Naneklima ipa’linchi ukllinantanna’, apu’pa’ser puñañin,"
P00273,5 Se trata de un ave de malagüero. llegaron dos niños huérfanos todo cubiertos de chupos (viruela).,ektu’lli katu’ta’ wila suwilalusa’ iñer ima sa’la’ta’ser.
P00274,Dice que como estaban cubiertos de chupos les dijeron:,Sa’la’wenkasu’ malek ima itudekllina’:
P00275,“¿Por qué ustedes han venido por acá? Nos van a contagiar la viruela.,“¿Ma’ki’na kenmama’ asu’lupa’ uklama’? Sa’la’ a’dantetchenmu’wa’.
P00276,"¡Bótenlos, que se regresen!” les dijeron.","¡Dinsuludekku’, adanti’na’!” itudekllima."
P00277,"Los policías fueron (hacia los niños enfermos), les quitaron sus pescados y les dijeron:",Wala’wanlusa’ler pa’an samenñenna’ siwetchudek’an
P00278,"“¡Váyanse, regrésense por donde vinieron!”.","“!Paku’, adanta’ku’!” itudekllini’ma’."
P00279,"Los niños se venían llorando y cuando regresaban, dice, The children left, crying, and on their way back,","Wilalusa’ wellek’apilenchan ima, uk’apilenchani’ma,"
P00280,un hombre joven de cuello colorado y cara colorada.,"ipi’ma nana ukalu’ yata’wanta’su’lupa’ ima, uk’apilincha’, nanek kapeklli ala’sa’ enmu’pinen nadi’nek piperunkallu’la’su’, pipelladasu’. cuando iban terminando ese bajial, cuando venían, allí encontraron a"
P00281,“¿Por qué regresan muchachitos?” les preguntó.,"- “¿Ma’kin adanpilenchalama’, wilashala?” itudekllima."
P00282,(Los hombres de Jeberos) nos mezquinaron la pesca.,"- Pu’yek aperku’tullinerkudek,"
P00283,Cuando estábamos agarrando pescado nos botaron porque tenemos esta enfermedad sa’la’.,samer mapa’sekudek dinsulullinerkudek asu’ sa’la’ a’kudeksu’ malek.
P00284,"Un pescadito nomás he traído, mi hermanito también unito nomás” le respondió.","Alla’shasa’ samer kencha’lek, yalli’washawek’unta’ alla’shasa’pi’la” itullima."
P00285,“¿Tienen hambre? Cuando abra mi boca metan los dos pescados.,- “¿Uki’lalama’ a’cha? Lauk’a’seku asu’ katu’ta’ samer i’la dekwa’ku’ la’la’wekkek.
P00286,Voy a cerrar mi boca fuerte. Cuando vuelva a abrirla y saque (los pescados) coman.,Inlasiser’chek. Lauknunta’ asek kui’na usunma’ ka’ku’.
P00287,"Después de comer van a encontrar una quebradita en el camino,","Ka’a’mamasu’ supinak ala’sa’ dekshadek kanenchuma’ inchilalak,"
P00288,agua blanquísima y cristalina van a encontrar.,enpu’ni dadapudekshipa’ enpu’ni pektudekshipa’ kanenchuma’.
P00289,Recojan eso con sus manitos y beban.,Nana iteklashapenma’lek inshen’anma’ ukku’.
P00290,Entonces con eso mismo lávense y frótense sus cuerpos.,"Nu’anma’ nanalek i’la inpamu’pi’ku’, inpanka’pi’ku’."
P00291,Ahí toda esta enfermedad sa’la’ va a desaparecer” les dijo.,Nanek iñer asu’ sa’la’ apu’tetchun” itudekllima.
P00292,“Después levántense y corran hasta un árbol inclinado.,- “Nanekla yunsanma’ tekka’nta’ku’ ala’sa’ nala inner’apek walek.
P00293,De ahí sí voltéense y miren.,"Nanekla, nanekla’nka pi’shek’anma’ lli’ku’."
P00294,"A ver qué cosa van a ver ustedes, algo que nunca antes han visto” les dijo a los niños”.","Ma’pu’si’pa’ lli’etchuma’ kenmama’, ñienpi’ lli’npu’a’mama’su’” itudekllima wilalusa’”."
P00295,De veras corrieron ellos hasta que se cansaron.,Tekkinchi tekka’llini’ma nawa’ saka’terkek walek.
P00296,“Aquí está el árbol inclinado. ¡Detengámonos!”,“Ma’atasu’ nala inner’apalli. ¡Wanera!”
P00297,Se detuvieron y miraron atrás.,Waneranni’ma pi’shekllina’.
P00298,Enorme se levantaba el ardor.,Enpu’nipi’ma ituwetchapalli ulunta’su’.
P00299,"Sobrepasaba las copas de los árboles, muy cerca del cielo ardía.","Nalamulu’lusa’ nakutusu’, kekkilu’tek kawima uluntulli."
P00300,"Hasta donde se detuvieron los niños, dice, ardió todo.",Nana wilalusa’ wanererkek walek ima uketlli.
P00301,Cuentan que tres años ardió.,Kala ekkilala ima uketlli.
P00302,"Cuando los niños llegaron (a Jeberos), le contaron al gobernante:","Nana wilalusa’shima ektu’ntanna’, wa’an wintunta’llina’:"
P00303,"“Jefe, han quemado Pampayacu, todos están pereciendo quemados... los que pescaban” dijeron.","“Wa’an, Panpadek di’setchullina’, iñer uki’tapilallina’.... purwanlusa’” itullima."
P00304,"(El Jefe) hizo reunir a los policías, y cuando se reunieron les mandó que se vayan a ver y ellos vieron.","Wala’wanlusi’ma a’idiuntundek’an, indiuntunser a’panta’deklli lli’unta’llina’."
P00305,"“De verdad está ardiendo todavía, no se puede apagar el fuego.","“Tekkinchi uluntapallinpi’la, innichi’ñi tashu’nsu’."
P00306,Los carbones de los árboles se quemaron bien hasta convertirse en ceniza”.,"Nala pendakilanenlusa’ musu’ ukpendalu’tek walek ima uketlli”,"
P00307,Tres años ardió (Pampayacu).,Kala ekkilala uketlli.
P00308,Cuentan que así sucedió hace mucho tiempo.,Nu’sui’ma napi’ nakulli.
P00309,"Entonces (los jeberinos) se arrepintieron, no pescaron más.","Naneklima luna’tullina’, ñi a’pinta’ pur’i’ñina’."
P00310,"Atemorizados, cuando contaban nosotros (los jóvenes) los hemos oído a los viejos ya finados sentados en la calle,","Tek kuanna’, ta’ser kuda lauktullidek papinkuku’lusa’ du’anna’ adipik kallilalak,"
P00311,mientras bebían su masato....empuñando sus mocahuas.,uklulu’nenna’ uwanna’pu’su’... sinanpachinenna’ pilli’tanna’.
P00312,Las viejitas tenían mucha pena y lloraban.,"Amilusa’ wa’inutullina’, willekllina’."
P00313,"Las jóvenes también, alzando la vista, mirando al cielo, mirando las estrellas, lloraban.","Wilalunlusa’nta kuten’anna’, kekkilu’tek lli’anna’, tandulalusa’ lli’anna’, willekllina’."
P00314,De esa manera quizá los antiguos perecieron.,Nu’si’pa’ papinkuku’lusa’ taketllina’.
P00315,Por eso los sobrevivientes dijeron:,Nana malek dansu’lusa’ tullina’:
P00316,“Nosotros no vamos a equivocarnos más. Nosotros no vamos a pecar más.,“Kenmu’wa’ a’pinta’ tu’aper’interwa’. Kenmu’wa’ a’pinta’ usha’winterwa’.
P00317,No vamos a mezquinar. ¡No sean mezquinos! Por ser miserables les hicieron eso”.,Aperkwi’nterwa’. ¡Aner yaperku’tama’! Aperku’teklusa’ ñerkasu’ malek nana nu’tudekllina’”.
P00318,"Hasta ahora escuchamos y vemos gallos que cantan,","Ipa’la walek lauk’apallidek, lli’apallidek wa’dantek pekla’su’,"
P00319,"perros que ladran, bebes que lloran, (gente) que chanca barbasco, que cortan leña, que se llaman.","ñiñi’wa pekla’su’, wawaser willek’a’su’, llise’nkasu’, diwek’erkasu’, peklu’terkasu’."
P00320,despertamos y escuchamos.,"Nanadaper panta’mudek wichi’nta’mudek, ikineklli’ nanpincha’mudek laukllidek. Todas esas cosas cuando nos vamos a dormir, a medianoche"
P00321,A veces nos despiertan para que escuchemos y nos asustamos6 cuando escuchamos.,"Nerpi’pu’ uchinañinerkudek lauk’a’kudek, imanankankantullidek lauk’amudek."
P00322,Todas esas cosas verdad es lo que contaron los viejos que escuchaban cuando iban (a Pampayacu).,Nanadaper tekkinchinen luñina’ taserpilusa’ pantanna’ lauk’erkasu’.
P00323,"También hallaban restos de cerámica, restos de adobe para parar las ollas, al bañarse, al bucear sacaban.","Nu’sik sunka’teklusa’, sunkapilusa’ kananpallina’, ama’nna’pu’su’ dadektanna’ usu’pallina’."
P00324,Cuando contaban yo también a los abuelos ya finados les he escuchado.,"Ta’ser kuanta’ papinkuku’lusa’ laukdeklek, wilakuñamu,"
P00325,"Cuando era niño me acercaba, sentándome cerca les escuchaba contar. 6 Se expresa en shiwilu como ”late nuestro hígado”.","Wilaku ñamu kawitulek, du’pa’tamu laweklek lunpa’ser."
P00326,"De ahí, escuchándoles, nosotros también hasta ahora nos acordamos de eso que hablaban.",Nanekla’nka lawektapamudek kudanta’ ipa’la walek lli’inutapallidek nana lunka’su’.
P00327,Así dicen que Pampayacu se quemó.,Nu’sui’ma asu’ Panpadek uksu’ketchulli.
P00328,"Ahora les digo hasta ahí nomás, todo lo de Pampayacu les he contado.","Ipa’la itullenma’ nanek waleksa’, iñer Panpadekkin lunek."
P00329,"Jeberos, julio 2007","Yuspainek’etchun, senñula’lusa’. Muchas gracias, señoras."
P00330,Ahora voy a contar de qué manera vivió Arákayu en la ribera del río Pampayacu.,Ipa’la lunchek Arakayu ma’pu’si’pa’ nanpilli Panpadek ukuchik.
P00331,Los antiguos finados contaron que antes ellos no conocían la ribera del Pampayacu.,Papinkuku’lusa’ tullina’ napi’ ima nawa’ luwer’inpu’wiñina’ Panpadek ukuchin.
P00332,"Dice que ellos (los shawalas) yendo una vez, abriendo trocha yendo, vieron que estaba humeando.","Nawi’mi’na’ panta’nna’, ala’lusa’, sekllintanni’ma panta’nna’, lli’llini’ma mu’katapasik."
P00333,Alguien estaba haciendo fuego en su casa.,Penwanpasik pidekñik.
P00334,“¿Quién será?” dijeron y se sorprendieron.,“¿Den a’ta’ chi?” tanna’ imanankankantullina’.
P00335,Dijeron “¡Vamos a conocer quién será!”,Tanni’mi’na “¡Enchuku’ luwetchunta’wa’ den’ipa’tek!”
P00336,Diciendo (eso) se acercaron y (Arákayu) salió de su casa (a encontrarlos). Al verlos los llamó:,Tanni’ma kawinta’llini’ma yunsu’lli pidekñikla. Lli’dek’an peklu’deklli:
P00337,"“¡Vengan pues (caramba me alegra) hermanos mayores, hermanos menores! ¿A dónde van?”","- “¡Uku’ chai alli’shalusa’, yalli’walusa’! ¿Enñupa’ a’cha pa’apilalama’?”"
P00338,"“Nosotros abriendo trocha en el monte estamos cazando,","- “Sekllintamudek asu’ tanak yunek’amudekpu’su’,"
P00339,"por este lugar hemos salido sin saber dónde,","asu’lupa’ pekpikellidek, luwer’inpu’la’pi’mudek,"
P00340,divisando lo que levanta humo tu candela”.,lli’amudek mu’katapa’su’ penpen”.
P00341,Haciendo eso nosotros dijimos “¡Vamos a ver quiénes son esos que viven!” y vinimos a salir (del monte).,Nu’amudek i’na’ “¡Enchu lli’kunwa’ nana den ipa’ nanpipalli!” tamudek pekpiwatukellillen itullini’ma.
P00342,Entonces dijo Arákayu“¿Por qué no llamaron de lejos para oírlos?”,Tulli “Ma’pu’mi’na’ peklu’chi’nama’ weilan lauk’a’killek” tullima Arakayu.
P00343,Después dice que Arákayu se alegró.,Nu’an ima Arakayu sakeklli.
P00344,Luego alegrándose los invitó a su patio exterior.,Nu’an ima Arakayu sakek’an peklu’deklli inyulateknen ima.
P00345,"Dice que bonito, bien deshierbado y barrido estaba su patio.",U’chimu mushasu’ pilu’pi witekwanpi.
P00346,De ahí vieron esa quebrada de Pampayacu.,Lli’llini’ma nana dekshadek asu’ Panpadek.
P00347,“¿Cómo se llama esta quebrada?” preguntaron.,- “¿Ma’dek a’cha asu’?” itullini’mi’na’.
P00348,"“Por acá he entrado yo para criar peces, se llama Pampayacu” Arákayu les respondió","- “Asui’na asu’lupa’ da’kellek kua samer yapektawamu, Panpadek nuka’a” tullima."
P00349,“Entonces te queremos visitar. Queremos conocer tu casa”.,- “Nu’pachi yalli’llen. Yaluwerpidektullen”.
P00350,"“No, sólo vayan alrededor, por la vereda de mi casa nomás, por los cantos de mi casa den la vuelta, pero no vayan a entrar.","- “Ma’sha, kunetlla’ku’, pidekwek sekllanen, pidekwek dunsanen kunetchuku’, ñi’na da’i’nchuma’."
P00351,Arakayu.,Da’pachenma’ kenmama’ tekwetchuma’” itudekllima. Si entran ustedes van a tener miedo” les dijo.
P00352,No le permitía a nadie entrar a su casa.,Ñima ya’da’dek’i’ñi pidekñik.
P00353,Por eso todos en el patio nomás se quedaron.,Nu’anni’ma iñer inyulatekkeksa’ llia’llina’.
P00354,De ahí los shawala le dijeron:,Naneklima Shawalalusa’ler itullina’:
P00355,"“¿Tienes pescado, hermano mayor?”","- “¿Samerwanpala’ncha, alli’shá?”"
P00356,“Tengo abundante. Vengan a conocer”.,- “A’ñapalek wapu’. Enchu luwetchukerku’”.
P00357,Y los llamó (a los peces) y toda clase de peces salieron.,"Peklu’dekllima, intekdudui’su’ samellusa’ yunsu’lli."
P00358,Ahí dice se sorprendieron.,Nanek ima imanankankantullina’.
P00359,“¿Qué clase de (gente) es este hermano que hasta pescados cría?,“¿Ma’pu’a’su’ asu’ yalli’ samerunta’ pektawapallinchi?
P00360,“Regálanos tus pescaditos. Tenemos hambre”.,- “Panuudek sametchapen. Uki’lallidek”.
P00361,¿Tienen candela?”,¿Pen a’cha a’ñapalama’?”
P00362,“Con mi candela no van a cocinar.,- “Ñi asu’ penweklek akusuchi’nchuma’.
P00363,Mi candela es diferente.,Penwek i’na nerpi’la.
P00364,"Se van a confundir, se van a extraviar.","Aper’etchuma’, wer’etchuma’."
P00365,Por eso con mi candela no van a cocinar.,Nana malek asu’ penweklek penwei’nchuma’.
P00366,"Hagan candela ustedes, ustedes mismos con su candela.","Penwanku’ kenmama’, kenmami’nchi penpenma’lek."
P00367,¿Han traído candela?,¿Pen ipa’ kellama’?
P00368,"Con esa candela enciendan, corten leña, junten los palos para hacer fogata, hiervan y coman (su chilcano)” dijo Arákayu.","Nanalek pen a’tentanma’, diuk’anma’, dintunma’, kalu’tanma’, uranku’” tullima Arakayu."
P00369,"Dicen que ellos, los shawala, se reunieron y comentaron.","Nawi’mi’na, Shawalalusa’, indiuntunna’ luñina’."
P00370,“¿Por qué este hermano vive solo?,“¿Ma’pu’a’su’ asu’ yalli’ i’na nanashasa’ nanpipalli?
P00371,"No tiene nada, no tiene hijos, no tiene perro, no tiene gallinas, no tiene nada”.","Ñi ma’wi’ñi, wilawi’ñi, ñi ñiñi’wi’ñi, wa’dantekwi’ñi, ñi ma’wi’ñi”."
P00372,"“No” dijo un viejo,","“Ma’sha” tullima ala’sa’ taserpi,"
P00373,"“él no cría gallinas, no cría huanganas, nada de esos animales.","“ñi nana wa’dantek pektawapi’ñi, ñi laman pektawapi’ñi, ñi ma’nen nanadaper."
P00374,"Él es, éste es criador de peces exclusivamente.",Nani’na asi’na samersa’ pektawa’su’ nuka’a.
P00375,Entonces tratémosle bien para que él también nos trate bien” dijo un viejo.,Nu’pachi munu’tawa’ nananta’ munu’ta’kudik” tullima ala’sa’ taserpi.
P00376,En verdad le dijeron:,Tekkinchima itulli:
P00377,"“Tus pececitos regálanos, por favor, hermano” le dijeron.","“Sametchapen panula’udek, chai, yallí’” itullima."
P00378,“¿Qué tipo de peces quieren?”,“¿Ma’lusa’ samellusa’cha luwantulama’?”
P00379,"Dicen que en esa época ellos, los shiwilu finados, no conocían (todos) los peces.","Napi’pui’mi’na ñi nawa’, asu’ Shiwiluku’lusa’, samerunta’ luwetchi’ñina’."
P00380,"Solamente las mojarras, bujurquis, fasacos, shirui grande, los pucahuicsa, sólo eso conocían.","Pektalusa’sa’, adu, a’lanan, punkapi, asu’ pupunlusa’, nanasi’ma luwetchullina’."
P00381,"Pero dice que no conocían el acarahuasú,","Ñimi’na luwetchi’ñina’ iker’adu,"
P00382,"no conocían el tucunaré,","ñi luwetchi’ñina’ asu’ tukuner,"
P00383,"ni la piraña,","ñi dunan,"
P00384,"no conocían el paiche,","ñi luwetchi’ñina’ asu’ unma’,"
P00385,la vacamarina.,panwalalan.
P00386,Dice que Arákayu llamó (a los peces) y le dijo (a la gente):,"Arakayu ima peklu’deklli, itudeklli:"
P00387,"“No corran,","- “¡Anetlla yatek kuatama’,"
P00388,"no tengan miedo,","aner yatek kuatama’,"
P00389,no lloren!,aner yawellektama’!
P00390,Van a venir los peces”.,Uketchu samellusa’”.
P00391,"Dicen que revolcándose vino el paiche,","Inpikanpiler’an ima unma’ uklli,"
P00392,"vino la vacamarina,","panwalalan uklli,"
P00393,"vino el tucunaré,","tukuner uklli,"
P00394,"vino la doncella,","da’wanser uklli,"
P00395,"vino la gamitana,","dunanser uklli,"
P00396,"vino la corvina,","lapi’samer uklli,"
P00397,todo tipo de peces.,dudinpu’ samer.
P00398,"La matamata, la taricaya, la charapa salieron del agua.","Mapapa’, damer’ita, puka’ yunchinkelli."
P00399,“Esto así estoy criando.,“Asu’ u’su kua pektawapalek.
P00400,¿Qué más van a necesitar ustedes?”,¿Ma’nen ila’cha luwantekchuma’ kenmama’?”
P00401,(Entonces) preguntaron esos hermanos (shawala) que habían ido:,Tullina’ nana yalli’lusa’ pa’lusa’:
P00402,“¿Estos qué peces son?”,- “¿Asu’ ma’nen samer a’cha? itullina’.
P00403,"“Sábalo, y este es acarahuasú, y este es …este... fasaco, este es lisa, palometa, gamitana....” les dijo.","- “Nansek, asui’na iker’adu, asui’na ..ma’i.. a’lanan, asu’ nerkala, terek, dunanser....” itudekllima."
P00404,"Escogieron (el pescado) y lo ahumaron, regresaron al pueblo y contaron (lo que había sucedido).","Wadunni’ma chintanna’, adenchanna’ ñinanluk luncha’llina’."
P00405,Se corrió la voz sobre Arákayu.,Lawinñini’ma Arakayu.
P00406,En ese tiempo (comentaron) “Dicen que existe un tal Arákayu y tiene peces.,"Napi’pu’ “Arakayu ima nanpipalli, samerwanpalli."
P00407,¡Vayamos!” y salieron en grupos desde el pueblo.,¡Enchuku’ pa’awa’!” nupullini’ma ñinanluklan.
P00408,Dice que fueron a mirar.,Lli’kuñini’ma.
P00409,“En verdad muy buen hombre es este Arákayu.,“Tekkinchi enpu’ni mukankeinpi’ma nana Arakayu.
P00410,Está regalando (pescado).,Panutapalli.
P00411,Pero dicen que no permite que nadie entre a su casa.,Ñimi’na pidekñik ñiden ya’da’i’ñi.
P00412,"Afuera dormía la gente, en el patio exterior”.","Adipi wichi’llina’, inyulatekkek”."
P00413,"Así dice cuando estaba transcurriendo, una vez el gobernante le hizo llamar.","Nu’sui’ma pa’apan, ala’lu’sa’ wa’anler a’peklu’tulli."
P00414,Le fueron a decir los policías:,Wintunta’llima wala’wanlusa’ler:
P00415,"“Arákayu, el gobernante ha dicho que te vayas a pandillar para el carnaval”.","- “Arakayú, wa’an tulli chu’kenpa’tunter ima asu’ mitanpi’”."
P00416,"“Entonces voy a ir” respondió (Arákayu), “el día central del carnaval”.","- “Nu’pachi pantetchek” tan ima, “mitan uklliñik’inchima”."
P00417,aparecer Arákayu.,Asu’ musenkek sellawalusi’ma chu’kenapa’ser lli’tencha’lli Arakayu. Cuando las golondrinas revoloteaban pandillando arriba vino a
P00418,Arákayu dijo “A estas golondrinas yo las estoy criando.,Arakayu ima tulli “Asu’ sellawa i’na kualer pektawapalek.
P00419,A las golondrinas yo las envío.,Sellawa kualer a’uk’apencha’deklek.
P00420,Ellas se van a contarme de qué manera celebraron el carnaval” dijo Arákayu.,Nawi’na wintapanta’llinerku ma’pu’si’pa mitan nakulama’” tullima Arakayu.
P00421,A Arákayu le habló el gobernante.,Arakayu ima luntulli wa’anler.
P00422,Quisieron hacerle tomar chicha punta pero Arákayu no quiso tomar.,"Ya’ullini’ma uklulu’, Arakayu iyui’ñi."
P00423,Quisieron hacerle comer pero Arákayu no quiso.,Yaaurañini’ma Arakayu luwanchiñi.
P00424,Sólo con su mujer pandillaba.,Sadinleksi’ma chu’kenñi.
P00425,Dice que le vieron sus pies con los dedos hacia atrás y su espalda era barriga. the front and his belly where his back should be.,Lli’llini’mi’na lanteknen pi’sheksu’ ali’la piteknenunta’ merpinen.
P00426,"“¿Qué tipo de hombre es este, Arákayu?” dijeron los pobladores.",“¿Ma’pu’lusa’ asu’ muda’ ñan i’na asu’ Arakayu u’lli?” tullini’ma nana ñinanlu’wanlusa’.
P00427,Y después de pandillar regresó Arákayu.,Nu’an ima chu’kenpa’tan adanta’lli Arakayu.
P00428,Otros dijeron “Este Arákayu cuida los peces.,Ali’ladaper tullini’ma “Asu’ Arakayu samer luwektapalli.
P00429,Será mejor que nos apropiemos de estos peces.,A’pimuchun kenmu’wa’ki ñii asu’ samer.
P00430,"Quemémosle la casa a este Arákayu,","Di’serpidektawa’ asu’ Arakayu,"
P00431,"para que salgan para nosotros nomás, para que sean para nosotros nomás estos peces”,","nanapa yunsu’i kenmu’wa’kinsa’ ñii asu’ samer”,"
P00432,dijeron y le quemaron su tambo y su casa.,"tanni’ma di’ser’itullina’ tanpu’nen, pideknen."
P00433,Mientras (Arákayu) estaba pandillando el día central de carnaval las golondrinas estaban también danzando.,Nana chu’kenpa’tapasik mitan ukllik’inchi sellawalusa’ chu’kenapallina’.
P00434,Arriba en el cielo dice estaban dando vueltas.,Musenkek kekkilu’tek ima kunekchapallina’.
P00435,Mientras pasaba eso dice quemaron la casa.,Nana nu’apasik ima di’serpidektullina’.
P00436,"Entonces Arákayu regresó,","Arakayu ima adanta’n,"
P00437,"cuando pasó el carnaval regresó,","mitan nakusik ima adanta’n,"
P00438,and he saw that his house had been completely burned.,"Arakayu lli’unta’llima enpu’ni wa’inuipa’ nana pideknen uksuketchulli,"
P00439,todas sus cosas se habían quemado.,dudinpu’nen uketlli.
P00440,Por eso dice Arákayu se enojó mucho.,Nu’an ima ipa’linchi Arakayu yulli.
P00441,“¿Quiénes son ustedes para que hagan esto a mi casa a pesar de que yo les trataba bien?”,“¿Kenmama’ a’cha u’pidekta’mama’u’kusu’ kua musu’ nu’tapallenma’?”
P00442,gritó Arákayu.,lukatullima Arakayu.
P00443,"Se rabió, lloró, tuvo mucha pena Arákayu.","Yulli, willeklli, wa’inutulli Arakayu."
P00444,Después poniéndose de pie dijo:,Nu’an ima waneran tulli:
P00445,"“Ahora sí ustedes sufrirán hambre,","“Ipa’laka kenmama’ uki’la nakuchuma’,"
P00446,de hambre nomás pasarán sus vidas.,uki’lasa’ nanpichuma’.
P00447,Todos (los animales) que crío me los llevaré al Ucayali”,Iñer pektawawek ekpantetchek Ukayerlupa’”
P00448,diciendo esto Arákayu se fue río abajo.,tan ima Arakayu nu’wanta’lli.
P00449,Dando un brinco se lanzó al agua con su señora.,Sekkankatan indi’dektulli sadinlek.
P00450,De pie cayeron al agua.,Wanersu’ anu’dektullina’.
P00451,Conforme iba riéndose se iba sumergiendo.,Yamer’apila’su’pi’la dankumer’apilalli.
P00452,Cuando se silenció desapareció.,Tuna’sik wetlli.
P00453,Sólo los bufeos salieron.,Sapana’lusa’sa’ pekpillina’.
P00454,Eso hizo Arákayu y se fue río abajo.,Nana nu’tan Arakayu nu’wanta’lli.
P00455,"Dice que cuando iba río abajo los peces lo siguieron,","Nu’wanta’sik ima sameller tupitunta’lli,"
P00456,todos los peces se llevó.,iñer samer ekpanta’lli.
P00457,"Los que no quisieron ir río abajo, unos cuantos se quedaron.","Nana yapanti’npu’lusa’, enpu’dunshipa’ llia’llina’."
P00458,De esta manera los peces nos dejaron.,Nu’siklima’ka asu’ samer chiketllapillenmu’wa’.
P00459,"También los lagos se secaron,","Sennanlusa’nta’ enñi,"
P00460,"los lagos grandes se secaron,","shidek enñi,"
P00461,"el “Rayo Caño” se secó,","Ukilasu’tundek enñi,"
P00462,"el lago “Junto al Pelejo” se secó,","Kundetchek enñi,"
P00463,el “Puerto de Lluvia” se secó.,U’lan Untunan enñi.
P00464,Arakayú icaró y se fue dejándolos.,Arakayuler pekkun pa’lapinta’lli.
P00465,Arákayu shinguró7 (los lagos).,Arakayuler pilleklli.
P00466,"Arákayu, dice, era un shingurador.",Arakayu ima pillektutek.
P00467,"Por eso dice los peces salieron,","Nu’an imaka samellusa’ yu’nketllina’,"
P00468,dijeron “Salgamos todos”.,tullina’ “¡Yu’nker’awa’!”
P00469,"Dicen que una joven que mestruaba por primera vez se había ido ahí, cuando Arákayu estaba enojado.","Nanek ima leklun panta’lli, Arakayu ima yupasik."
P00470,"Enojándose (Arákayu) se fue dejándolos, tras icarar se fue y los dejó.","Yun pa’lapinta’lli, pekkun pa’lapinta’lli."
P00471,"Cuando Arákayu icaró al lago “Junto al Pelejo” la joven de primera menstruación se acabó,","Kuntetchek Arakayuler pekkusik nana leklun ta’wantulli,"
P00472,"ahí desapareció (en el agua),","nanek wetlli,"
P00473,se hundió mientras Arákayu la estaba mirando.,dankumelli Arakayuler lli’apasik.
P00474,Ahora le llamamos a ese lugar “La Poza de la Niña”.,Ipa’la peklu’lek “Leklun Pitun”.
P00475,"Ocurrido esto, (Arákayu) salió del lugar y se fue.",Nu’an ipa’ yunsu’n panta’lli. 7 Hizo daño.
P00476,Entonces dice que ahí llamó al Hombre Candela.,Nanek ima ipa’linchi Tanpen peklu’lli.
P00477,Arakáyu llamó al Hombre Candela y le dijo,Arakayuler Tanpen peklu’n itulli
P00478,quémalos.,"“Tanpen, enpulula’ yapur’anna’ uncha’a’ser di’setchudekker. “Hombre Candela, cuando alguna vez queriendo pescar vengan,"
P00479,"Quémalos a los malos,","Di’setchudekker muinpu’lusa’,"
P00480,"los de mal corazón que se quemen bien,","mukankinpu’lusa’ uksu’ketchina’,"
P00481,sólo los de buen corazón sobrevivirán.,mukankanlusa’sa’ dansu’chuna’.
P00482,Sólo ellos van a poblar de nuevo.,Nawa’sa’ nanpichuna’.
P00483,Sólo el pueblo de ellos se reproducirá” le dijo al Hombre Candela.,Nawa’ ñinanlu’nenna’ a’llupitununtekchuna’” itullima Tanpen muda’.
P00484,"Dicen que el Hombre Candela era alto,","Tanpen mudei’ma shipen,"
P00485,"de cuello colorado, de cara colorada.","piper’unkellu’, pipelladasu’."
P00486,"En eso que estaba enojado (Arákayu), dice que el pueblo se reunió.",Nu’an yupasik ima ipa’ ipa’linchi ñinanlu’ indiuntunñina’.
P00487,"Entonces el pueblo en asamblea dijo,","Ipa’linchi ñinanlu’ indiuntun tulli,"
