pair_id,texto_id,item_number,SHIWILU,ESP,quality_flag
T004_N008,4,8,"pi’murllina’, a’du’llina’.",llenaban el canasto y lo sentaban.,fallback_last_line_as_spanish
T004_N009,4,9,"Wa’anler imi’na itulli “ ¡Pa’apilanter, kenmá!”",Su dueño dice le decía “¡Tú vete yendo!”,ok
T004_N010,4,10,Nu’su’ lantekpi dekkuntuwiñi napi’.,Así el canasto caminaba antiguamente.,fallback_last_line_as_spanish
T004_N010,4,10,Ala’lu’sa’ katu’ta’ wilalunlusa’ katu’ta’ yuyu’walusa’ler kaper’anna’ lumellina’.,Un día dos muchachas y dos muchachos encontrándolo (en el camino) se burlaron de él.,ok
T004_N011,4,11,Dakutan inchilalak anu’lli nana lantekpi.,"Avergonzado, en un desnivel del camino se cayó el canasto.",ok
T004_N012,4,12,"Ipa’lalek, ipa’la walek yunsi’ñi.","Hasta hoy, hasta ahora no se levanta.",ok
T004_N013,4,13,Nana lantekpi luñi “¿Ma’ki’na kenmama’ lumellama’u’ku?,El canasto habló “¿Por qué ustedes se burlaron de mí?,ok
T004_N014,4,14,Ipa’la’ka enpi’pu’sha dekkunchi’nchek.,Ahora sí nunca más voy a caminar.,ok
T004_N015,4,15,"Pipektapapachenma’ chiminchuma’, nanpia’mama’ walek.”","Cargando (toda su vida) van a morir, todo el tiempo que vivan.” Jeberos, julio 2007",ok
T005_N001,5,1,kua Shiwilulunku nuka’ka.,Yo soy jeberina auténtica.,ok
T005_N002,5,2,Nanek wadekllun awawek Shiwiluk.,Ahí me alumbró mi madre en Jeberos.,ok
T005_N003,5,3,Tekkinchintana kua ñinchitulek Shiwilu la’la’.,Verdaderamente yo he aprendido la lengua shiwilu.,ok
T005_N004,5,4,"Nanalek tatawek awawek teksusullun, kua nana lu’nkasu’.","Con ella mi padre y mi madre me criaron, yo la hablo.",ok
T005_N005,5,5,"kua asu’ senñula’ a’lunpallun,","A mí esta señora me está hacienda hablar,",ok
T005_N006,5,6,"ma’i, ma’pu’si’pa’ kua wilaweklusa’ teksudeklek,","este, tal vez sobre cómo he criado a mis hijos,",ok
T005_N007,5,7,"ma’pu’a’kasu’ asek weklek Yurimawek,",a qué he venido a Yurimaguas.,ok
T005_N008,5,8,Nanadaper iñer asu’ senñula’ yañinchitulli.,Todo eso quiere saber esta señora.,fallback_last_line_as_spanish
T005_N009,5,9,Kui’na enpu’nipa’ insekluten’a’kasu’ nanpi’kasu’.,Yo he sufrido mucho en mi vida.,ok
T005_N010,5,10,kua napi’ Simirkek nanpilek.,Hace mucho yo viví en Varadero.,ok
T005_N011,5,11,Shunka’ ekkilala a’ñamu Shiwiluklan yunsu’lek.,Cuando tenía diez años he salido de Jeberos.,ok
T005_N012,5,12,Tanak pa’an tatawek ilantulli.,Yendo al monte mi padre baleaba (animales).,ok
T005_N013,5,13,"Pa’an amantek ilañi, laman ilañi.","Yendo baleaba sajino, baleaba huangana.",fallback_last_line_as_spanish
T005_N014,5,14,Nana ka’amu susulek.,Comiendo eso he crecido.,fallback_last_line_as_spanish
T005_N015,5,15,Awawek tatawek chimiñina’ Simirkek.,Mi madre y mi padre murieron en Varadero.,ok
T005_N016,5,16,Da’wanler kiteklli tatawek.,La víbora mordió a mi padre.,ok
T005_N017,5,17,Ipa’la tatawek awawek chiminsik i’na dinsuwilallidek.,"Ahora, cuando murieron mis padres nos hemos quedado huérfanos.",ok
T005_N018,5,18,“¿Ma’pu’si’pa’ nanpichek tatawek chiminsik?” tulek.,“¿Cómo viviré ahora que ha muerto mi padre?” me preguntaba.,ok
T005_N019,5,19,Kaikshawekleksa’ llia’lek.,Con mi hermana mayor nomás me quedé.,ok
T005_N020,5,20,Nanekla nanpipawinek Simirkek i’la.,De ahí seguía viviendo en Varadero mismo.,ok
T005_N021,5,21,Nanekla yunsu’lek Yurimawek.,Después he salido a Yurimaguas.,ok
T005_N022,5,22,kua wek’amu suktasa’ willaweklusa’ a’ñilek.,Viniendo he tenido sólo seis hijos.,ok
T005_N023,5,23,Wilaweklusa’ ya’ñinchillintudek’amu enpu’nipa’ saka’tulek.,Para hacer estudiar a mis hijos he trabajado bastante.,ok
T005_N024,5,24,Iya’linchi muinchi kua insekluten’amu wilaweklusa’ a’ñinchillintudeklek.,"Entonces, mucho he sufrido para hacer educar a mis hijos.",ok
T005_N025,5,25,Ipa’la nu’amu asek ñapalek.,Por eso ahora estoy aquí.,ok
T005_N026,5,26,Nanekla amitullinerku.,Después me hicieron abuela.,ok
T005_N027,5,27,Nanek kua wek’amu ipa’la asek asu’ senñula’ a’lunpallun.,Entonces a mí viniendo ahora esta señora me está haciendo contar.,ok
T005_N028,5,28,Senñula’ “¿Ma’pu’su’cha nanpipala?” itullun.,La señora me preguntó “¿Cómo vives?”,ok
T005_N029,5,29,"kuashasa’ ñienkasu’ patunwi’nek,","Yo solita vivo, no tengo parientes,",ok
T005_N030,5,30,asek kua patun a’ñinekta’la.,acá no tengo ningún familiar.,ok
T005_N031,5,31,Ipa’la asu’ senñula’ itullun “¡Lunker Shiwilu la’la’!”,Ahora esta señora me pidió “¡Habla la lengua shiwilu!”,ok
T005_N032,5,32,“Ñinchilu’nma’su’ ñilli inluntunansu’”.,“Si usted supiera hablar conversaríamos”.,fallback_last_line_as_spanish
T005_N033,5,33,Ma’sha nana lauk’api’ñi.,Pero ella no entiende.,ok
T005_N034,5,34,Nananti’mi’na yañinchitulli.,Ella también quiere aprender.,ok
T005_N035,5,35,A’lek’apalek kualer.,Yo le estoy enseñando.,ok
T005_N036,5,36,kualer a’lek’etchek iñer ñinchita’kasu’.,Yo le voy a enseñar todo lo que sé.,ok
T005_N037,5,37,kua nanasa’ lunek.,"Sólo eso he hablado. Yurimaguas, Julio 2005",ok
T006_N001,6,1,Ipa’la lunchek ma’pu’si’pa’ napi’ uketllin asu’ Panpadek ukuchinlusa’.,Ahora les voy a contar cómo antiguamente se quemaron estas riberas del río Pampayacu.,ok
T006_N002,6,2,Napi’ ima wa’an yunsa’n luñi:,Cuentan que antiguamente el gobernante (de Jeberos) se levantó y habló:,ok
T006_N003,6,3,"“Ipa’ ekkilala pilli’ncha’lli. ¡Enchuku’ pur’awa’ nadi’neklusa’, wilalunlusa’!” itudekllima.",“Ya el verano empezó. ¡Vamos a pescar muchachos y muchachas!” les dijo.,ok
T006_N004,6,4,Ipa’linchi iñerdaper inlli’inutullina’ “¡Enchuku’ purkunwa’!” tanni’ma pa’llina’.,Entonces sí todos se pusieron de acuerdo. Dijeron “¡Vamos a pescar” y se fueron.,ok
T006_N005,6,5,Nanimi’na napi’pui’mi’na wa’anen nanpi’pawiñinpi’la nana Panpadek ukuchinkek.,Dicen que en ese tiempo el dueño (del Pampayacu) todavía vivía ahí en esa ribera del río.,ok
T006_N006,6,6,"Ipa’linchi nawa’ ektu’na’ palenñantullina’, puñañin llisantullina’.","Entonces los hombres llegaron y construyeron tambo, chancaron barbasco.",ok
T006_N007,6,7,Nu’anna’ “eklli pur’awa’” tullini’ma.,"Luego de hacer eso, dijeron “pesquemos mañana”.",fallback_last_line_as_spanish
T006_N008,6,8,"Nanek’ima ipa’linchi nu’wencha’lli ala’sa’ sasa’lunpu’a’su’, asu’ silakun.","Dicen que en ese momento bajó un catalán como hembra, este era una unchala5.",ok
T006_N009,6,9,Nana wa’an wala’wanen.,Este era asistente del gobernante.,fallback_last_line_as_spanish
T006_N010,6,10,"Nanima pennu’pilenchan, unchan itudeklli:","Ahí vino volando, bajó y le dijo (a la gente):",ok
T006_N011,6,11,“Asu’ tanan ima di’setchetchuna’” itudekllima ñima latekchiñina’.,"“Dicen que este monte lo van a quemar”, pero no le creyeron.",ok
T006_N012,6,12,"Napi’pui’mi’na wa’an ñapawiñi asu’ Kuntek, Kuntek wa’an.","Dicen que en esos tiempos el gobernante (de Jeberos) era el Pelejo, el Pelejo era gobernante.",ok
T006_N013,6,13,"Naneklima ipa’linchi ukllinantanna’, apu’pa’ser puñañin,","Ahí dice, en ese momento, amaneciendo cuando echaban el barbasco,",ok
T006_N014,6,14,ektu’lli katu’ta’ wila suwilalusa’ iñer ima sa’la’ta’ser.,5 Se trata de un ave de malagüero. llegaron dos niños huérfanos todo cubiertos de chupos (viruela).,ok
T006_N015,6,15,Sa’la’wenkasu’ malek ima itudekllina’:,Dice que como estaban cubiertos de chupos les dijeron:,ok
T006_N016,6,16,“¿Ma’ki’na kenmama’ asu’lupa’ uklama’? Sa’la’ a’dantetchenmu’wa’.,“¿Por qué ustedes han venido por acá? Nos van a contagiar la viruela.,ok
T006_N017,6,17,"¡Dinsuludekku’, adanti’na’!” itudekllima.","¡Bótenlos, que se regresen!” les dijeron.",ok
T006_N018,6,18,Wala’wanlusa’ler pa’an samenñenna’ siwetchudek’an,"Los policías fueron (hacia los niños enfermos), les quitaron sus pescados y les dijeron:",ok
T006_N019,6,19,"“!Paku’, adanta’ku’!” itudekllini’ma’.","“¡Váyanse, regrésense por donde vinieron!”.",ok
T006_N020,6,20,"Wilalusa’ wellek’apilenchan ima, uk’apilenchani’ma,","Los niños se venían llorando y cuando regresaban, dice, The children left, crying, and on their way back,",ok
T006_N021,6,21,"ipi’ma nana ukalu’ yata’wanta’su’lupa’ ima, uk’apilincha’, nanek kapeklli ala’sa’ enmu’pinen nadi’nek piperunkallu’la’su’, pipelladasu’. cuando iban terminando ese bajial, cuando venían, allí encontraron a",un hombre joven de cuello colorado y cara colorada.,ok
T006_N022,6,22,"- “¿Ma’kin adanpilenchalama’, wilashala?” itudekllima.",“¿Por qué regresan muchachitos?” les preguntó.,ok
T006_N023,6,23,"- Pu’yek aperku’tullinerkudek,",(Los hombres de Jeberos) nos mezquinaron la pesca.,ok
T006_N024,6,24,samer mapa’sekudek dinsulullinerkudek asu’ sa’la’ a’kudeksu’ malek.,Cuando estábamos agarrando pescado nos botaron porque tenemos esta enfermedad sa’la’.,ok
T006_N025,6,25,"Alla’shasa’ samer kencha’lek, yalli’washawek’unta’ alla’shasa’pi’la” itullima.","Un pescadito nomás he traído, mi hermanito también unito nomás” le respondió.",ok
T006_N026,6,26,- “¿Uki’lalama’ a’cha? Lauk’a’seku asu’ katu’ta’ samer i’la dekwa’ku’ la’la’wekkek.,“¿Tienen hambre? Cuando abra mi boca metan los dos pescados.,ok
T006_N027,6,27,Inlasiser’chek. Lauknunta’ asek kui’na usunma’ ka’ku’.,Voy a cerrar mi boca fuerte. Cuando vuelva a abrirla y saque (los pescados) coman.,ok
T006_N028,6,28,"Ka’a’mamasu’ supinak ala’sa’ dekshadek kanenchuma’ inchilalak,","Después de comer van a encontrar una quebradita en el camino,",ok
T006_N029,6,29,enpu’ni dadapudekshipa’ enpu’ni pektudekshipa’ kanenchuma’.,agua blanquísima y cristalina van a encontrar.,ok
T006_N030,6,30,Nana iteklashapenma’lek inshen’anma’ ukku’.,Recojan eso con sus manitos y beban.,ok
T006_N031,6,31,"Nu’anma’ nanalek i’la inpamu’pi’ku’, inpanka’pi’ku’.",Entonces con eso mismo lávense y frótense sus cuerpos.,ok
T006_N032,6,32,Nanek iñer asu’ sa’la’ apu’tetchun” itudekllima.,Ahí toda esta enfermedad sa’la’ va a desaparecer” les dijo.,fallback_last_line_as_spanish
T006_N033,6,33,- “Nanekla yunsanma’ tekka’nta’ku’ ala’sa’ nala inner’apek walek.,“Después levántense y corran hasta un árbol inclinado.,ok
T006_N034,6,34,"Nanekla, nanekla’nka pi’shek’anma’ lli’ku’.",De ahí sí voltéense y miren.,ok
T006_N035,6,35,"Ma’pu’si’pa’ lli’etchuma’ kenmama’, ñienpi’ lli’npu’a’mama’su’” itudekllima wilalusa’”.","A ver qué cosa van a ver ustedes, algo que nunca antes han visto” les dijo a los niños”.",ok
T006_N036,6,36,Tekkinchi tekka’llini’ma nawa’ saka’terkek walek.,De veras corrieron ellos hasta que se cansaron.,ok
T006_N037,6,37,“Ma’atasu’ nala inner’apalli. ¡Wanera!”,“Aquí está el árbol inclinado. ¡Detengámonos!”,ok
T006_N038,6,38,Waneranni’ma pi’shekllina’.,Se detuvieron y miraron atrás.,ok
T006_N039,6,39,Enpu’nipi’ma ituwetchapalli ulunta’su’.,Enorme se levantaba el ardor.,ok
T006_N040,6,40,"Nalamulu’lusa’ nakutusu’, kekkilu’tek kawima uluntulli.","Sobrepasaba las copas de los árboles, muy cerca del cielo ardía.",ok
T006_N041,6,41,Nana wilalusa’ wanererkek walek ima uketlli.,"Hasta donde se detuvieron los niños, dice, ardió todo.",ok
T006_N042,6,42,Kala ekkilala ima uketlli.,Cuentan que tres años ardió.,ok
T006_N043,6,43,"Nana wilalusa’shima ektu’ntanna’, wa’an wintunta’llina’:","Cuando los niños llegaron (a Jeberos), le contaron al gobernante:",fallback_last_line_as_spanish
T006_N044,6,44,"“Wa’an, Panpadek di’setchullina’, iñer uki’tapilallina’.... purwanlusa’” itullima.","“Jefe, han quemado Pampayacu, todos están pereciendo quemados... los que pescaban” dijeron.",ok
T006_N045,6,45,"Wala’wanlusi’ma a’idiuntundek’an, indiuntunser a’panta’deklli lli’unta’llina’.","(El Jefe) hizo reunir a los policías, y cuando se reunieron les mandó que se vayan a ver y ellos vieron.",ok
T006_N046,6,46,"“Tekkinchi uluntapallinpi’la, innichi’ñi tashu’nsu’.","“De verdad está ardiendo todavía, no se puede apagar el fuego.",ok
T006_N047,6,47,"Nala pendakilanenlusa’ musu’ ukpendalu’tek walek ima uketlli”,",Los carbones de los árboles se quemaron bien hasta convertirse en ceniza”.,ok
T006_N048,6,48,Kala ekkilala uketlli.,Tres años ardió (Pampayacu).,ok
T006_N049,6,49,Nu’sui’ma napi’ nakulli.,Cuentan que así sucedió hace mucho tiempo.,ok
T006_N050,6,50,"Naneklima luna’tullina’, ñi a’pinta’ pur’i’ñina’.","Entonces (los jeberinos) se arrepintieron, no pescaron más.",ok
T006_N051,6,51,"Tek kuanna’, ta’ser kuda lauktullidek papinkuku’lusa’ du’anna’ adipik kallilalak,","Atemorizados, cuando contaban nosotros (los jóvenes) los hemos oído a los viejos ya finados sentados en la calle,",ok
T006_N052,6,52,uklulu’nenna’ uwanna’pu’su’... sinanpachinenna’ pilli’tanna’.,mientras bebían su masato....empuñando sus mocahuas.,ok
T006_N053,6,53,"Amilusa’ wa’inutullina’, willekllina’.",Las viejitas tenían mucha pena y lloraban.,ok
T006_N054,6,54,"Wilalunlusa’nta kuten’anna’, kekkilu’tek lli’anna’, tandulalusa’ lli’anna’, willekllina’.","Las jóvenes también, alzando la vista, mirando al cielo, mirando las estrellas, lloraban.",ok
T006_N055,6,55,Nu’si’pa’ papinkuku’lusa’ taketllina’.,De esa manera quizá los antiguos perecieron.,ok
T006_N056,6,56,Nana malek dansu’lusa’ tullina’:,Por eso los sobrevivientes dijeron:,ok
T006_N057,6,57,“Kenmu’wa’ a’pinta’ tu’aper’interwa’. Kenmu’wa’ a’pinta’ usha’winterwa’.,“Nosotros no vamos a equivocarnos más. Nosotros no vamos a pecar más.,ok
T006_N058,6,58,Aperkwi’nterwa’. ¡Aner yaperku’tama’! Aperku’teklusa’ ñerkasu’ malek nana nu’tudekllina’”.,No vamos a mezquinar. ¡No sean mezquinos! Por ser miserables les hicieron eso”.,ok
T006_N059,6,59,"Ipa’la walek lauk’apallidek, lli’apallidek wa’dantek pekla’su’,","Hasta ahora escuchamos y vemos gallos que cantan,",ok
T006_N060,6,60,"ñiñi’wa pekla’su’, wawaser willek’a’su’, llise’nkasu’, diwek’erkasu’, peklu’terkasu’.","perros que ladran, bebes que lloran, (gente) que chanca barbasco, que cortan leña, que se llaman.",ok
T006_N061,6,61,"Nanadaper panta’mudek wichi’nta’mudek, ikineklli’ nanpincha’mudek laukllidek. Todas esas cosas cuando nos vamos a dormir, a medianoche",despertamos y escuchamos.,ok
T006_N062,6,62,"Nerpi’pu’ uchinañinerkudek lauk’a’kudek, imanankankantullidek lauk’amudek.",A veces nos despiertan para que escuchemos y nos asustamos6 cuando escuchamos.,ok
T006_N063,6,63,Nanadaper tekkinchinen luñina’ taserpilusa’ pantanna’ lauk’erkasu’.,Todas esas cosas verdad es lo que contaron los viejos que escuchaban cuando iban (a Pampayacu).,ok
T006_N064,6,64,"Nu’sik sunka’teklusa’, sunkapilusa’ kananpallina’, ama’nna’pu’su’ dadektanna’ usu’pallina’.","También hallaban restos de cerámica, restos de adobe para parar las ollas, al bañarse, al bucear sacaban.",ok
T006_N065,6,65,"Ta’ser kuanta’ papinkuku’lusa’ laukdeklek, wilakuñamu,",Cuando contaban yo también a los abuelos ya finados les he escuchado.,ok
T006_N066,6,66,"Wilaku ñamu kawitulek, du’pa’tamu laweklek lunpa’ser.","Cuando era niño me acercaba, sentándome cerca les escuchaba contar. 6 Se expresa en shiwilu como ”late nuestro hígado”.",ok
T006_N067,6,67,Nanekla’nka lawektapamudek kudanta’ ipa’la walek lli’inutapallidek nana lunka’su’.,"De ahí, escuchándoles, nosotros también hasta ahora nos acordamos de eso que hablaban.",ok
T006_N068,6,68,Nu’sui’ma asu’ Panpadek uksu’ketchulli.,Así dicen que Pampayacu se quemó.,ok
T006_N069,6,69,"Ipa’la itullenma’ nanek waleksa’, iñer Panpadekkin lunek.","Ahora les digo hasta ahí nomás, todo lo de Pampayacu les he contado.",ok
T006_N070,6,70,"Yuspainek’etchun, senñula’lusa’. Muchas gracias, señoras.","Jeberos, julio 2007",fallback_last_line_as_spanish
T007_N001,7,1,Ipa’la lunchek Arakayu ma’pu’si’pa’ nanpilli Panpadek ukuchik.,Ahora voy a contar de qué manera vivió Arákayu en la ribera del río Pampayacu.,ok
T007_N002,7,2,Papinkuku’lusa’ tullina’ napi’ ima nawa’ luwer’inpu’wiñina’ Panpadek ukuchin.,Los antiguos finados contaron que antes ellos no conocían la ribera del Pampayacu.,ok
T007_N003,7,3,"Nawi’mi’na’ panta’nna’, ala’lusa’, sekllintanni’ma panta’nna’, lli’llini’ma mu’katapasik.","Dice que ellos (los shawalas) yendo una vez, abriendo trocha yendo, vieron que estaba humeando.",ok
T007_N004,7,4,Penwanpasik pidekñik.,Alguien estaba haciendo fuego en su casa.,ok
T007_N005,7,5,“¿Den a’ta’ chi?” tanna’ imanankankantullina’.,“¿Quién será?” dijeron y se sorprendieron.,ok
T007_N006,7,6,Tanni’mi’na “¡Enchuku’ luwetchunta’wa’ den’ipa’tek!”,Dijeron “¡Vamos a conocer quién será!”,ok
T007_N007,7,7,Tanni’ma kawinta’llini’ma yunsu’lli pidekñikla. Lli’dek’an peklu’deklli:,Diciendo (eso) se acercaron y (Arákayu) salió de su casa (a encontrarlos). Al verlos los llamó:,ok
T007_N008,7,8,"- “¡Uku’ chai alli’shalusa’, yalli’walusa’! ¿Enñupa’ a’cha pa’apilalama’?”","“¡Vengan pues (caramba me alegra) hermanos mayores, hermanos menores! ¿A dónde van?”",ok
T007_N009,7,9,"- “Sekllintamudek asu’ tanak yunek’amudekpu’su’,","“Nosotros abriendo trocha en el monte estamos cazando,",ok
T007_N010,7,10,"asu’lupa’ pekpikellidek, luwer’inpu’la’pi’mudek,","por este lugar hemos salido sin saber dónde,",ok
T007_N011,7,11,lli’amudek mu’katapa’su’ penpen”.,divisando lo que levanta humo tu candela”.,ok
T007_N012,7,12,Nu’amudek i’na’ “¡Enchu lli’kunwa’ nana den ipa’ nanpipalli!” tamudek pekpiwatukellillen itullini’ma.,Haciendo eso nosotros dijimos “¡Vamos a ver quiénes son esos que viven!” y vinimos a salir (del monte).,ok
T007_N013,7,13,Tulli “Ma’pu’mi’na’ peklu’chi’nama’ weilan lauk’a’killek” tullima Arakayu.,Entonces dijo Arákayu“¿Por qué no llamaron de lejos para oírlos?”,ok
T007_N014,7,14,Nu’an ima Arakayu sakeklli.,Después dice que Arákayu se alegró.,ok
T007_N015,7,15,Nu’an ima Arakayu sakek’an peklu’deklli inyulateknen ima.,Luego alegrándose los invitó a su patio exterior.,ok
T007_N016,7,16,U’chimu mushasu’ pilu’pi witekwanpi.,"Dice que bonito, bien deshierbado y barrido estaba su patio.",ok
T007_N017,7,17,Lli’llini’ma nana dekshadek asu’ Panpadek.,De ahí vieron esa quebrada de Pampayacu.,ok
T007_N018,7,18,- “¿Ma’dek a’cha asu’?” itullini’mi’na’.,“¿Cómo se llama esta quebrada?” preguntaron.,ok
T007_N019,7,19,"- “Asui’na asu’lupa’ da’kellek kua samer yapektawamu, Panpadek nuka’a” tullima.","“Por acá he entrado yo para criar peces, se llama Pampayacu” Arákayu les respondió",ok
T007_N020,7,20,- “Nu’pachi yalli’llen. Yaluwerpidektullen”.,“Entonces te queremos visitar. Queremos conocer tu casa”.,fallback_last_line_as_spanish
T007_N021,7,21,"- “Ma’sha, kunetlla’ku’, pidekwek sekllanen, pidekwek dunsanen kunetchuku’, ñi’na da’i’nchuma’.","“No, sólo vayan alrededor, por la vereda de mi casa nomás, por los cantos de mi casa den la vuelta, pero no vayan a entrar.",ok
T007_N022,7,22,Da’pachenma’ kenmama’ tekwetchuma’” itudekllima. Si entran ustedes van a tener miedo” les dijo.,Arakayu.,fallback_last_line_as_spanish
T007_N023,7,23,Ñima ya’da’dek’i’ñi pidekñik.,No le permitía a nadie entrar a su casa.,ok
T007_N024,7,24,Nu’anni’ma iñer inyulatekkeksa’ llia’llina’.,Por eso todos en el patio nomás se quedaron.,ok
T007_N025,7,25,Naneklima Shawalalusa’ler itullina’:,De ahí los shawala le dijeron:,ok
T007_N026,7,26,"- “¿Samerwanpala’ncha, alli’shá?”","“¿Tienes pescado, hermano mayor?”",ok
T007_N027,7,27,- “A’ñapalek wapu’. Enchu luwetchukerku’”.,“Tengo abundante. Vengan a conocer”.,fallback_last_line_as_spanish
T007_N028,7,28,"Peklu’dekllima, intekdudui’su’ samellusa’ yunsu’lli.",Y los llamó (a los peces) y toda clase de peces salieron.,ok
T007_N029,7,29,Nanek ima imanankankantullina’.,Ahí dice se sorprendieron.,ok
T007_N030,7,30,“¿Ma’pu’a’su’ asu’ yalli’ samerunta’ pektawapallinchi?,“¿Qué clase de (gente) es este hermano que hasta pescados cría?,ok
T007_N031,7,31,- “Panuudek sametchapen. Uki’lallidek”.,“Regálanos tus pescaditos. Tenemos hambre”.,ok
T007_N032,7,32,¿Pen a’cha a’ñapalama’?”,¿Tienen candela?”,ok
T007_N033,7,33,- “Ñi asu’ penweklek akusuchi’nchuma’.,“Con mi candela no van a cocinar.,ok
T007_N034,7,34,Penwek i’na nerpi’la.,Mi candela es diferente.,ok
T007_N035,7,35,"Aper’etchuma’, wer’etchuma’.","Se van a confundir, se van a extraviar.",ok
T007_N036,7,36,Nana malek asu’ penweklek penwei’nchuma’.,Por eso con mi candela no van a cocinar.,ok
T007_N037,7,37,"Penwanku’ kenmama’, kenmami’nchi penpenma’lek.","Hagan candela ustedes, ustedes mismos con su candela.",ok
T007_N038,7,38,¿Pen ipa’ kellama’?,¿Han traído candela?,ok
T007_N039,7,39,"Nanalek pen a’tentanma’, diuk’anma’, dintunma’, kalu’tanma’, uranku’” tullima Arakayu.","Con esa candela enciendan, corten leña, junten los palos para hacer fogata, hiervan y coman (su chilcano)” dijo Arákayu.",ok
T007_N040,7,40,"Nawi’mi’na, Shawalalusa’, indiuntunna’ luñina’.","Dicen que ellos, los shawala, se reunieron y comentaron.",ok
T007_N041,7,41,“¿Ma’pu’a’su’ asu’ yalli’ i’na nanashasa’ nanpipalli?,“¿Por qué este hermano vive solo?,ok
T007_N042,7,42,"Ñi ma’wi’ñi, wilawi’ñi, ñi ñiñi’wi’ñi, wa’dantekwi’ñi, ñi ma’wi’ñi”.","No tiene nada, no tiene hijos, no tiene perro, no tiene gallinas, no tiene nada”.",ok
T007_N043,7,43,"“Ma’sha” tullima ala’sa’ taserpi,","“No” dijo un viejo,",ok
T007_N044,7,44,"“ñi nana wa’dantek pektawapi’ñi, ñi laman pektawapi’ñi, ñi ma’nen nanadaper.","“él no cría gallinas, no cría huanganas, nada de esos animales.",ok
T007_N045,7,45,Nani’na asi’na samersa’ pektawa’su’ nuka’a.,"Él es, éste es criador de peces exclusivamente.",ok
T007_N046,7,46,Nu’pachi munu’tawa’ nananta’ munu’ta’kudik” tullima ala’sa’ taserpi.,Entonces tratémosle bien para que él también nos trate bien” dijo un viejo.,ok
T007_N047,7,47,Tekkinchima itulli:,En verdad le dijeron:,ok
T007_N048,7,48,"“Sametchapen panula’udek, chai, yallí’” itullima.","“Tus pececitos regálanos, por favor, hermano” le dijeron.",ok
T007_N049,7,49,“¿Ma’lusa’ samellusa’cha luwantulama’?”,“¿Qué tipo de peces quieren?”,ok
T007_N050,7,50,"Napi’pui’mi’na ñi nawa’, asu’ Shiwiluku’lusa’, samerunta’ luwetchi’ñina’.","Dicen que en esa época ellos, los shiwilu finados, no conocían (todos) los peces.",ok
T007_N051,7,51,"Pektalusa’sa’, adu, a’lanan, punkapi, asu’ pupunlusa’, nanasi’ma luwetchullina’.","Solamente las mojarras, bujurquis, fasacos, shirui grande, los pucahuicsa, sólo eso conocían.",ok
T007_N052,7,52,"Ñimi’na luwetchi’ñina’ iker’adu,","Pero dice que no conocían el acarahuasú,",ok
T007_N053,7,53,"ñi luwetchi’ñina’ asu’ tukuner,","no conocían el tucunaré,",ok
T007_N054,7,54,"ñi dunan,","ni la piraña,",fallback_last_line_as_spanish
T007_N055,7,55,"ñi luwetchi’ñina’ asu’ unma’,","no conocían el paiche,",ok
T007_N056,7,56,panwalalan.,la vacamarina.,fallback_last_line_as_spanish
T007_N057,7,57,"Arakayu ima peklu’deklli, itudeklli:",Dice que Arákayu llamó (a los peces) y le dijo (a la gente):,ok
T007_N058,7,58,"- “¡Anetlla yatek kuatama’,","“No corran,",ok
T007_N059,7,59,"aner yatek kuatama’,","no tengan miedo,",ok
T007_N060,7,60,aner yawellektama’!,no lloren!,ok
T007_N061,7,61,Uketchu samellusa’”.,Van a venir los peces”.,ok
T007_N062,7,62,"Inpikanpiler’an ima unma’ uklli,","Dicen que revolcándose vino el paiche,",ok
T007_N063,7,63,"panwalalan uklli,","vino la vacamarina,",fallback_last_line_as_spanish
T007_N064,7,64,"tukuner uklli,","vino el tucunaré,",ok
T007_N065,7,65,"da’wanser uklli,","vino la doncella,",ok
T007_N066,7,66,"dunanser uklli,","vino la gamitana,",fallback_last_line_as_spanish
T007_N067,7,67,"lapi’samer uklli,","vino la corvina,",fallback_last_line_as_spanish
T007_N068,7,68,dudinpu’ samer.,todo tipo de peces.,ok
T007_N069,7,69,"Mapapa’, damer’ita, puka’ yunchinkelli.","La matamata, la taricaya, la charapa salieron del agua.",ok
T007_N070,7,70,“Asu’ u’su kua pektawapalek.,“Esto así estoy criando.,ok
T007_N071,7,71,¿Ma’nen ila’cha luwantekchuma’ kenmama’?”,¿Qué más van a necesitar ustedes?”,ok
T007_N072,7,72,Tullina’ nana yalli’lusa’ pa’lusa’:,(Entonces) preguntaron esos hermanos (shawala) que habían ido:,ok
T007_N073,7,73,- “¿Asu’ ma’nen samer a’cha? itullina’.,“¿Estos qué peces son?”,ok
T007_N074,7,74,"- “Nansek, asui’na iker’adu, asui’na ..ma’i.. a’lanan, asu’ nerkala, terek, dunanser....” itudekllima.","“Sábalo, y este es acarahuasú, y este es …este... fasaco, este es lisa, palometa, gamitana....” les dijo.",ok
T007_N075,7,75,"Wadunni’ma chintanna’, adenchanna’ ñinanluk luncha’llina’.","Escogieron (el pescado) y lo ahumaron, regresaron al pueblo y contaron (lo que había sucedido).",ok
T007_N076,7,76,Lawinñini’ma Arakayu.,Se corrió la voz sobre Arákayu.,ok
T007_N077,7,77,"Napi’pu’ “Arakayu ima nanpipalli, samerwanpalli.",En ese tiempo (comentaron) “Dicen que existe un tal Arákayu y tiene peces.,ok
