CODIGO,TEXTO_SPA,TEXTO_SHI,AUDIO?,,,,,,
FL_0205,¡Quién sabe hasta cuándo llevarán estas pintas!,¡Enpi’walek ipa’ nana llinser ekpetchuna’!,TRUE,,,,,,
FL_0206,"Antiguamente, dice, el Carachupa era pifuanero.",Chi’lek ima napi’ pilenñantutek ñiwiñi.,TRUE,,,,,,
FL_0207,Muy bonito tocaba su pifuano el Carachupa en ese tiempo.,Enpu’nipa’ u’chimusha pilenñantulli Chi’lek napi’.,TRUE,,,,,,
FL_0208,"Cuando pifuaneaba, todas las mujeres bailaban.",Pilenñantusik ima lansa’llina’ iñer’ ima ku’apellusa’,TRUE,,,,,,
FL_0209,"Antes, a las mujeres les decían yungururu, paujil, pucacunga, perdiz…","Napi’ ima ku’apellusa’ itudekllina’ asu’ dunkululun, isha, chunser, uwek…",TRUE,,,,,,
FL_0210,Ellas bailaban cuando pifuaneaba el Carachupa.,Nawa’lusi’ma lansa’llina’ pilenñantusik Chi’lek.,TRUE,,,,,,
FL_0211,"Entonces, andaba (por ahí) el abuelo Tigre.",Nu’an ima pa’apilallima asu’ papinku Amana’.,TRUE,,,,,,
FL_0212,"Andando, el abuelo se fue a ver a las que bailaban tanto, cuando pifuaneaba el Carachupa.","Papinku pa’apilan lli’kuñima enpu’nipi’ma lansa’pa’ser’, pilenñantusik Chi’lek.",TRUE,,,,,,
FL_0213,"Entonces, yendo a ver, les dijo a las mujeres:",Nu’an imi’na nanek lli’apakun ku’aperllusa’ itudeklli:,TRUE,,,,,,
FL_0214,“¿Por qué bailan ustedes cuando pifuanea este Carachupa?” se fue a decirles.,"“Ma’ki’na kenmama’ lansa’palama’ asu’ Chi’lek pilenñantusik”, tukuñima.",TRUE,,,,,,
FL_0215,"“Ya que a nosotras nos gusta cuando él pifuanea, estamos bailando”, le contestaron.",“Kudanta’ nana luwantamudek pilenñantusik lansa’pallidek” na’pillina’’.,TRUE,,,,,,
FL_0216,"“Entonces, yo ahora le voy a quitar su pifuano a este Carachupa,” dijo el abuelo Tigre.","“Nu’pachi kua ipa’la asu’ Chi’lek siwerchechek pilenñanen”, tulli papinku Amana’.",TRUE,,,,,,
FL_0217,Las mujeres le dijeron: “¿Por qué le vas a quitar? Cuando pifuanea nosotras también queremos bailar”.,"Nana shaya’lusa’ler itullina’: “Ma’ki’na siwerc hechu, pilenñantusik kudanta’ yalans a’llidek ”.",TRUE,,,,,,
FL_0218,"“No, yo le voy a quitar. Yo también voy a pifuanear”, diciendo, se acercó al Carachupa.","“Ma’sha, kualer siwerchechek. Kuanta’ nu’pachi pilenñantechek,” tan ima Chi’lek kawilli.",TRUE,,,,,,
FL_0219,"“¿Dónde está tu pifuano, sobrino?” fue a decirle entrando.","“¿Enka’chana pilenñanpen, surinú?” itunta’llima",TRUE,,,,,,
FL_0220,"“Aquí está el pifuano, tío”, diciendo el Carachupa se lo dio.","“Ma’atasu’ pilenñanwek, apetchá”, tan Chi’lekler enka’lli.",TRUE,,,,,,
FL_0221,"“A ver, yo también quiero soplar”, le dijo.","“Enta’n kuanta’ yapenñek,” itullima.",TRUE,,,,,,
FL_0222,"El Tigre trató de soplar, pero el pifuano no sonó.","Amana’ yapenwiñi, ku’li’na illi’ñi pilenñan.",FALSE,,,,,,
FL_0223,"La boca del Tigre, dice, era grande y se equivocó allí nomás, su respiración no daba.","A’llupila’la’ ima nana Amana’, nanimi’na inpektunla’lli, nerideknen ima yenñichi’ñi.",TRUE,,,,,,
FL_0224,"Le hizo sonar, dice, pero no le hizo sonar tan bonito como pifuaneaba el Carachupa.","A’illiwiñima, ma’shi’na mushasu’ nana Chi’lek pilenñanta’su’pu’su’ a’illi’ñi.",TRUE,,,,,,
FL_0225,Sin…sin…sin…sin…. Así nomás (feo) le hacía sonar.,Sin…sin…sin…sin… tula’si’ma a’illiñi.,TRUE,,,,,,
FL_0226,"Así, pues, de cualquier manera le hizo sonar el",Nu’an imi’na ma’pu’su’pi’nta’ a’illiñi Amana’.,TRUE,,,,,,
FL_0227,Dice que ya no quería devolverle su pifuano al Carachupa; se lo llevó donde él vivía.,A’pinti’ma yaenki’ñi Chi’lek pilenñanen; ekpei’tunta’lli enñupi’pa nana ñak.,TRUE,,,,,,
FL_0228,"El Tigre se iba solo, haciendo sonar sin…sin…sin,","Pa’apilanta’llima, sin…sin...sin a’tapilanta’la’llima, pilenñantan Amana’ pidekñikwalek.",TRUE,,,,,,
FL_0229,"El Carachupa, dice, le siguió al Tigre para quitarle su pifuano.","Chi’lek ima tupitunta’lli Amana’, pilenñanen yasiwerchan.",TRUE,,,,,,
FL_0230,"Llegando a la casa del Tigre le gritó: “¡Ven a comerme, tío! ¡Ven a comerme, tío!”","Ektunta’n ima Amana’ pidik lamapu’tulli “¡Ka’encha’u, apetchá! ¡Ka’encha’u apetchá!”",TRUE,,,,,,
FL_0231,"Entonces, el Tigre vino corriendo para agarrar al Carahupa.","Ipa’linchi Amana’ tekkencha’lli, Chi’lek yapilli’tan.",TRUE,,,,,,
FL_0232,"Pero el Carachupa, dice, se metió a un hueco.",Chi’lek imi’na lallik da’kuñi.,TRUE,,,,,,
FL_0233,"Después de que entró al hueco, el Tigre metió su moquete y le agarró al Carachupa de la punta de su cola.",Da’lapisik ima isa’tukuñi pilli’tulli wiñisen llintekñikla Chi’lek.,TRUE,,,,,,
FL_0234,“¿Acaso te he agarrado?” le preguntó.,"¿“Pilli’tullen a’cha,”? itullima.",TRUE,,,,,,
FL_0235,"“Solo has agarrado la raíz de un árbol, tío” le respondió.","“Nalaiteksa’ pilli’tula, apetchá,” itullima.",TRUE,,,,,,
FL_0236,El Tigre le soltó un poco la cola y el Carachupa se metió más al fondo.,"Amana’ler a’mercha apu’lli llinteknen, nanek",TRUE,,,,,,
FL_0237,"“Aquí te voy a esperar. Cuando sientas hambre y salgas, te voy a comer”.","“Asek wa’ten’etchen kua. Uki’lan yunsu’encha’a’sin, kua ka’etchen,” itulli Amana’ler.",TRUE,"El Carachupa, todo su cabeza, su cola, sus brazos, sus piernas y su barriga, pura pluma se había hecho, parecía un ave.","Chi’lek iñer’ mutu’nen, llinteknen, tanpa’nen, tulanen, merpinen, anpulu’pisa’ ñilli, ilanser’pu’su’ lli’tulli.",,,,
FL_0238,"Ahí, dice, el Tigre estaba sentado.",Nanek ima Amana’ du’apallima.,TRUE,"Entonces, el Carachupa otra vez tocó su pifuano y las mujeres otra vez se pusieron a bailar.","Ipa’linchi Chi’lek nanapu’si’la pilenñantununta’lli, shaya’lusa’ nanapu’si’la lansa’nunta’llina’.",,,,
FL_0239,"Haciendo eso, dice, el Carachupa se metió más adentro y cavó una vuelta.","Nu’apan ima Chi’lek da’kun a’pinta’, iwa’tulli kuner’su’.",TRUE,,,,,,
FL_0240,"Cavando, salió ahí mismo donde estaba sentado el Tigre.",Iwa’tan ima asu’ du’apak’inchi Amana’ pekpikuñi.,TRUE,,,,,,
FL_0241,“¡Qué grandes son tus testículos!” dijo en su corazón el Carachupa.,“¡A’mellulunpi ken a’ka” kankañik!” tulli Chi’lek.,TRUE,,,,,,
FL_0242,Ya estaba delgadita la tierra (cerca a la superficie) y el Carachupa tuvo la idea de agarrar los testículos del Tigre.,"Ipi’ma simensha lupa’, Chi’lek kankantuwiñi yapilli’tan Amana’ kadu’pinen.",TRUE,,,,,,
FL_0243,"Nuevamente, vio que los testículos del Tigre colgaban.",Lli’nunta’llima nanek ukunpalli Amana’ kadu’lanenlusa’.,TRUE,,,,,,
FL_0244,"“¡Qué grandes habían sido tus testículos, tío!” volvió a decirle en su corazón.","“¡A’mellulunpin a’ka, apetchá!” itununta’llima kankañik .",TRUE,,,,,,
FL_0245,"Diciéndo eso, le agarró de los testículos y se colgó de sus huevos el Carachupa.","Nu’tan imi’na, pilli’kadu’latan ima, ukunkadu’lalli nana Chi’lek.",TRUE,,,,,,
FL_0246,El Carachupa le arrancó los testículos al Tigre.,Chi’lekler usetchekkadu’lalli Amana’.,TRUE,,,,,,
FL_0247,"Revolcándose y gritando de dolor, el Tigre se levantó y corrió capado.","Inpikanpan ima, Amana’ lamapu’pan ikercha’su’, yunsan tekka’lli makadu’lapi.",TRUE,,,,,,
FL_0248,"Entonces, el Carachupa agarró su pifuano y corrió en otra dirección.",Nu’an Chi’lek pilenñanen man tekka’lli ala’lupa’pi’la.,TRUE,,,,,,
FL_0249,Cuando había pasado aproximadamente un mes,Ala’dukerpu’su’ nakusik,TRUE,,,,,,
FL_0250,Nuevamente el Carachupa volvió a tocar su pifuano en una fiesta.,Nanapu’si’la Chi’lek pilenñantununta’lli pistak.,TRUE,,,,,,
FL_0251,Ahí las mujeres otra vez bailaban contentas.,Nanek shaya’lusa’ lansa’nunta’llina’ sakeksu’.,TRUE,,,,,,
FL_0252,Ya cuando terminó el baile,Ipi’ma pista ta’wantusik,TRUE,,,,,,
FL_0253,el Carachupa regresó a su casa a dormir.,Chi’lek adanta’lli pidekñik yawichi’nta’n.,TRUE,,,,,,
FL_0254,Cuando llegó a su casa se encontró con el Tigre que lo estaba esperando.,Pidekñik ektu’nta’sik inkanañi Amana’lek wa’ten’apa’su’.,TRUE,,,,,,
FL_0255,"“Ahora sí, sobrino, te voy a comer”, le dijo.","“Ipa’la’ka, surinú, ka’etchen,” itullima.",TRUE,,,,,,
FL_0256,"“No me comas, tío. ¿Por qué me vas a comer?”","“Aner’ yaka’tun, apetchá. ¿Ma’ki’na ka’etchunku?”",TRUE,,,,,,
FL_0257,Entonces el Carachupa se escapó corriendo.,Ipa’linchi Chi’lek chi’yeklli tekka’nta’n.,TRUE,,,,,,
FL_0258," “Ahora sí, atrápame, tío” le dijo el Carachupa al Tigre.","“Ipa’la a’ka pilli’tuu, apetchá!” itulli Chi’lekler Amana’.",TRUE,,,,,,
FL_0259,El Carachupa corrió rápidamente donde las mujeres y les dijo: ,Chi’lek wiuksu’ tekka’nta’lli shaya’lusak. Itudeklli: ,TRUE,,,,,,
FL_0260,"“Escóndanme, el Tigre me quiere atrapar”.","“Sekkituu’ku’, Amana’ yapilli’tullun”",TRUE,,,,,,
FL_0261,"Las mujeres, dice, le bañaron con resina de leche caspi y le pegaron plumas en todo su cuerpo.",Shaya’lusa’ler a’ma’tanna’ ekka’deklek anpulu’lek a’per’ku’tullina’ iñer’ pinen.,TRUE,,,,,,
FL_0262,"Cuando hacían eso, el tigre Viejo llegó nuevamente.",Nu’apa’ser’ ima Amana’ taserpi nanapu’si’la ektu’nunta’lli.,TRUE,,,,,,
FL_0263,"Al ver al Carachupa cubierto de plumas, le desconoció.",Lli’an Chi’lek anpulu’wa’nsu’ a’pinta’ luwerchi’ñi.,TRUE,,,,,,
FL_0264,“¿Quién es este señor?” les fue a decir (a las mujeres).,“Den i’na asu’ yalli’?” itukundekllima.,TRUE,,,,,,
FL_0265,“Este es el hombre enplumado”,“Asui’na anpulu’ muda’”,TRUE,,,,,,
FL_0266,le dijeron las mujeres al Tigre.,itullina’ nana shaya’lusa’ler Amana’.,TRUE,,,,,,
FL_0267,"Entonces, el Tigre se fue por otro lado en busca del Carachupa.",Ipa’linchi Amana’ pa’lli nellupa’pi’la yadunker’an Chi’lek.,TRUE,,,,,,
FL_0268,"“¡Pifuanea otra vez, vamos a bailar!” ","“¡Pilenñantununter’, lanserchidek!” ",TRUE,,,,,,
FL_0269,le dijeron al Carachupa (las mujeres).,itullina’ Chi’lek.,TRUE,,,,,,
FL_0270,El Carachupa volvió a pifuanear y las mujeres nuevamente volvieron a bailar felices.,Chi’lek pilenñantununta’lli. ,TRUE,,,,,,
FL_0271,,Shaya’lusa’ nanapu’si’la lansa’nunta’llina’ sakeksu’.,TRUE,,,,,,
FL_0272,"Desde entonces y hasta el día de hoy, el viejo Tigre está buscando a su sobrino Carachupa.",Naneklanek Amana’ taserpi ipa’lalek dunker’apalli surinunen Chi’lek.,TRUE,,,,,,
FL_0273,Un joven quería tener enamorada y salió a buscar.,"Ala’sa’ nadi’nek yaekkuanwanwiñi, yunsu’lli yadunker’an.",TRUE,,,,,,
FL_0274,"Yendo a ver a una señorita, le propuso que sea su enamorada.","Ala’sa’ wilalun lli’kun, dunker’lli ekkuanenki.",TRUE,,,,,,
FL_0275,La señorita le dijo: ,Wilalunler itulli: ,TRUE,"Entonces, el joven se fue a la cocina de su abuelita a traer un voltijo de yuca cocinada.","Ipa’linchi nadi’nek panta’lli aminen kusina’ñik, manta’lli ala’ pu’pi ker’ akusupi.",,,,
FL_0276,“Te voy a querer si me traes yuca cocinada”.,“Luwantetchen keritupachinku ker’ akusupi”.,TRUE,,,,,,
FL_0277,Eso fue a regalarle a su pretendida.,Nana panunta’lli ekkuanen yaña’su’.,TRUE,,,,,,
FL_0278,La señorita lo recibió y le dijo: ,Wilalunler sekkaper’an itulli: ,TRUE,,,,,,
FL_0279,“Ahora regálame caña de azúcar”.,“Ipa’la panu’u lasenñan”.,TRUE,,,,,,
FL_0280,"Entonces, el joven fue a la chacra de su mamá, fue a traer una carga de caña.","Ipa’linchi nadi’nek pa’lli awanen menmiñik, makuñi ala’ tenpunan lasenñan.",TRUE,,,,,,
FL_0281,Eso también fue a regalarle a la señorita.,Nananta’ wilalun panunta’lli.,TRUE,,,,,,
FL_0282,La señorita lo recibió y le dijo:,Wilalunler sekkaper’an itulli:,TRUE,,,,,,
FL_0283," “Ahora sí, si me traes ají te voy a querer”.", “Ipa’la’ka nuka’ keritupachinku luwantetchen”.,TRUE,,,,,,
FL_0284,El joven se fue nuevamente a la chacra de su abuelita.,Nadi’nek nanapu’si’la pa’lli aminen menmiñik.,TRUE,,,,,,
FL_0285,"De ahí, fue a traer un voltijo de ají.",Nanekla makuñi nuka’ ala’ pu’pi.,TRUE,,,,,,
FL_0286,Mientras volvía venía diciendo: ,Adanpilencha’n tapilencha’lli: ,TRUE,,,,,,
FL_0287,“Con esto sí que me va a querer esa señorita”.,“Asu’lek a’ka ipa’ luwantetchunku nana wilalunsha”.,TRUE,,,,,,
FL_0288,"Llegando, fue a regalarle el voltijo de ají.",Ektu’nta’n panunta’lli nuka’ pu’pi.,TRUE,,,,,,
FL_0289,"Entonces, la señorita le dijo: ",Ipa’linchi wilanlunler itulli: ,TRUE,,,,,,
FL_0290,"“¿Acaso yuca cocinada, acaso caña de azúcar, acaso ají te he pedido?","“¿Ker’ akusupi a’cha, lasenñan a’cha, nuka’ a’cha lekllin?",TRUE,,,,,,
FL_0291,"Yo te he pedido yungururo, pinsha, paujil .","Kui’na lekllen dunkululun, duwin, isha.",TRUE,,,,,,
FL_0292,"Tú no vales nada, eres un afasi.","Kenma ma’kek pa’chi’na, uku’lu’tekken nuka’ma.",TRUE,,,,,,
FL_0293,"Vete, regrésate, ahorita te voy palear”, le ha dicho al joven.","Paker’ adanter’, ipia’la nalaktetchen itullima’ nadi’nek.",TRUE,,,,,,
FL_0294,Él se fue calladito.,Nana ta’tulan panta’lli.,TRUE,,,,,,
FL_0295,"Por no entender el pedido de la señorita, no consiguió enamorada.",Lachek’inpu’n wilalunler lek’a’su’ ekkuanen kani’ñi.,TRUE,,,,,,
FL_0296,Yo conocí Yurimaguas cuando era adolescente.,Kua luwerchulek Yurimawa’ nadi’nek wawaku ñamu.,TRUE,,,,,,
FL_0297,"Cuando enfermó mi mamá, viajamos en el bote de mi hermano.",Kaluwi’sik awawek yalli’shawek a’llupi nunkek pa’llidek.,TRUE,,,,,,
FL_0298,Fuimos para mandar curar a nuestra mamá en el hospital.,A’lulentukuñidek awawidek uspitalkek.,TRUE,,,,,,
FL_0299,Ahí conocí el río Aipena hasta su desembocadura en el Huallaga.,Nanek luwerchulek Erpina’ chinpenñanenwalek Wella’dik.,TRUE,,,,,,
FL_0300,"Me asusté al ver este río, ancho es su agua.","Imanantulek lli’amu asu’ kupin dekshadek, du’wadek nuka’a.",TRUE,,,,,,
FL_0301,"Su agua es turbia, no me gustó, no la quería tomar.","Deknen uchulu’dek, iyachi’nek, iyui’nek.",TRUE,,,,,,
FL_0302,"Tampoco quería bañarme, al ver su agua lodosa.",Yaami’nek’unta’ mumulu’dek lli’amu.,TRUE,,,,,,
FL_0303,"De esta manera, hemos surcado el Huallaga.",Nu’su’ penwinerchullidek Wella’dek.,TRUE,,,,,,
FL_0304,"Entonces, conocí el pueblo de Lagunas. Ahí también dormimos.",Nanek luwerchulek Sennan Ñinanlu’. Nanek’unta’ wichi’llidek.,TRUE,,,,,,
FL_0305,"Solo de día surcábamos, de noche no.","Uklliksa’ penwinerllidek, dekpilli’ ku’la.",TRUE,,,,,,
FL_0306,"Después de surcar cuatro días, llegamos a Yurimaguas.",Inkatu’ ukllik penwineramudek ektu’llidek Yurimawak.,TRUE,,,,,,
FL_0307,Mi hermano viajaba con su esposa.,Yalli’shawek sadinlek pa’lli.,TRUE,,,,,,
FL_0308,"De comida llevamos carne, masato y yuca; nada nos faltó mientras surcábamos.","Chuchu, uklulu’, ker’ ekpa’llidek weranki; ma’nen pawanchi’ñidek penwinerapilamudek.",TRUE,,,,,,
FL_0309,"Al llegar a Yurimaguas yo me asusté, al ver la ciudad tan grande.",Kua ektu’mu Yurimawak imanantulek lli’amu a’llupi ñinanlu’.,TRUE,,,,,,
FL_0310,Poco a poco me he acostumbrado.,Uti’lakla da’iyalek.,TRUE,,,,,,
FL_0311,No conocía las calles.,Kallilusa’ luwerchi’nek.,TRUE,,,,,,
FL_0312,Ahí probé por primera vez lo que llaman,Nanek luwerchulek “raspadilla” iter’kasu’.,TRUE,,,,,,
FL_0313,"Comprando, he chupado y me ha gustado.","Mapa’tamu pisha’lek, iyatulek.",TRUE,,,,,,
FL_0314,En ese tiempo no existía eso que llaman “curichi”.,Nana “curichi” iter’kasu’ napi’pu’ ñinpu’wiñi.,TRUE,,,,,,
FL_0315,"Asimismo, conocí el mercado. ",Nanek’unta’ luwerchulek mercado.,TRUE,,,,,,
FL_0316,Vi que vendían de todo.,Lli’lek uku’later’kasu’ dudinpu’lusa’.,TRUE,,,,,,
FL_0317,"Llegando a Yurimaguas nos hospedamos en la casa de un shiwilu, en la orillita del Huallaga.",Ektu’mudek Yurimawak da’kuñidek ala’sa’ Shiwilu pideknenkek. ,TRUE,,,,,,
FL_0318,,Wella’dek ukuchinshak.,TRUE,,,,,,
FL_0319,Su nombre era Evangelista Chota Mozombite.,Llillinen Banji Chuta Musunpiti.,TRUE,,,,,,
FL_0320,"A este hermano Evangelista, otros que eran como él le decían “Yacuruna” porque tenía la frente pelacha.","Asu’ yalli’wa Vanji nawa’pu’a’su’daperler itullina’ Dekmuda’, nuweklatu’ta’su’malek. ",TRUE,,,,,,
FL_0321,"En Yurimaguas estuvimos una semana, hasta que terminaran de curar a mi mamá.","Yurimawak ñapawiñidek ala’ simana’, awawek lulen’er’kekwalek.",TRUE,,,,,,
FL_0322,"Terminada la curación, regresamos a Jeberos en el mismo bote de mi hermano.","Ta’wantusik lulen’er’kasu’ adencha’llidek Shiwiluk, a’llupi nunkek i’la yalli’shawekki.",TRUE,,,,,,
FL_0323,Ahí también viajaron los profesores que iban a trabajar en Jeberos.,Nanek’unta’ ukllina’ a’lektuteklusa’ yasaka’tanna’ Shiwiluk.,TRUE,,,,,,
FL_0324,"Siendo ya un hombre joven, fui nuevamente a Yurimaguas para inscribirme como soldado, para obtener mi libreta militar.","Nanekla pa’nunta’lek Yurimawak a’pinta’ nadi’nektamu, yainllinserlapimu, yaa’ñamu kirka’wek suntatuki",TRUE,,,,,,
FL_0325,"Esa vez me quedé tres meses, trabajando para comprar mi ropa.",Napi’pu’ lli’alek kala duker’ yasaka’tamu mapa’tak kutunweklusa’.,TRUE,,,,,,
FL_0326,"Siendo ya un joven, yo también quería vestirme como los demás.",Ipa’ nadi’nektamu kuanta’ yai’shiwanek ali’ladaperpu’su’.,TRUE,,,,,,
FL_0327,Así conocí Yurimaguas. ,Nu’su’ luwerchulek Yurimawa’. ,TRUE,,,,,,
FL_0328,"Ahora acá vivo, tengo casa.","Ipa’la asek nanpipalek, pidekwanpalek.",TRUE,,Yurimawa’ u’chimusha nuka’a ikiñik ñinanlu’sak. ,,,,
FL_0329,Yurimaguas es bonito solo en el centro de la ciudad.,Yurimawa’ u’chimusha nuka’a ikiñik ñinanlu’sak. ,TRUE,,"Nanek’unta’ ñapalli illisia, alakanter’lusa’ pideknen, ",,,,
FL_0330,Sus casas son bonitas. ,Pideknenlusa’ u’chimushala nuker’ka. ,TRUE,,naneklanek alakanter’ saka’tapalli. ,,,,
FL_0331,Su iglesia es todavía más bonita.,Illisianen a’pinta’ u’chimusha nuka’a. ,TRUE,,"Nanek’unta’ mercadunen ñapalli, ",,,,
FL_0332,Al costado de su plaza están las tiendas.,Plazanen lallinteklusak ñapallina’ chinta’lusa’. ,TRUE,,ipa’ ituwiñenma’. Nanek dudinpu’ uku’latullina’.,,,,
FL_0333,"Ellos venden motocarros, celulares, furgonetas y otras cosas más de valor.","Nawa’ uku’latullina’ mutucarrulusa’, celularlusa’, furgunetalusa’, a’pinta’ dudinpu’lusa’ pa’ter’kasu’. ",TRUE,,Asu’ mercaduk saka’tulek kala duker witektamu. ,,,,
FL_0334,También está la iglesia y el palacio municipal donde trabaja el alcalde.,"Nanek’unta’ ñapalli illisia, alakanter’lusa’ pideknen, naneklanek alakanter’ saka’tapalli. ",TRUE,,Nanek kana’lek kulliker’chawek.,,,,
FL_0335,En todo el pueblo hay bastantes tiendas.,Iñer ñinanluk wapu’ chinta’lusa’ ñapallina’. ,TRUE,,nanamalek llillinen aku’tullina’ kuvi-19.,,,,
FL_0336,"También está su mercado, como ya les había dicho. ","Nanek’unta’ mercadunen ñapalli, ipa’ ituwiñenma’. ",TRUE,,"pronuncia como ""winduwiñenma""",,,,
FL_0336.5,Ahí venden de todo.,Nanek dudinpu’ uku’latullina’.,TRUE,,,,,,
FL_0337,Puedes comprar lo que quieras:,Kenma luwanta’masu’ mapa’tunansin: ,TRUE,,,,,,
FL_0338,"pescado, carne de chancho, gallina, condimentos, frutas, golosinas.","samer, kusherlu’, wa’dantek, pimuladalusa’, wayulusa’, kaser’llalusa’.",TRUE,,,,,,
FL_0339,"Todo lo que quieras, allá lo vas a encontrar.",Iñer’ luwanta’masu’ nanek kanenchu.,TRUE,,,,,,
FL_0340,En este mercado he trabajado tres meses como barredor. ,Asu’ mercaduk saka’tulek kala duker witektamu. ,TRUE,,,,,,
FL_0341,Ahí he ganado mi platita.,Nanek kana’lek kulliker’chawek.,TRUE,,,,,,
FL_0342,Con eso he comprado lo que me faltaba.,Nanalek mapa’tulek ma’nen’unta’ pawanta’kasu’.,TRUE,,,,,,
FL_0343,"En el centro del pueblo las calles son bonitas, ","Ikiñik ñinanluk kallilusa’ u’chimusha nuker’ka, ",TRUE,,,,,,
FL_0344,pero en las afueras las calles no son buenas.,dunsanlupi’na kallilusa’ mui’ñina’,TRUE,,,,,,
FL_0345,Cuando llueve se forma barro.,U’lansik mumulu’tullina’. ,TRUE,,,,,,
FL_0346,Después de la lluvia no se puede caminar,U’lan ma’ta’ yennichi’nek dekkunta’kasu’,TRUE,,,,,,
FL_0347,", es demasiado lodoso.",", nakusu’ mumulu’ nuka’a.",TRUE,,,,,,
FL_0348,Eso nomás no vale de Yurimaguas.,Nanasa’ mui’ñi Yurimawakki.,TRUE,,,,,,
FL_0349,"Cuando caminas por la calle, así doble de barro se pega a tu zapato.","Pa’a’sin kallilupa’, u’ne tanalu’ mumulu’ pasuñi.",TRUE,,,,,,
FL_0350,Eso nomás no me gusta.,Nanasa’ musu’ a’kankanchi’ñu.,TRUE,,,,,,
FL_0351,A veces quiero volver a mi pueblo.,Nerpi’pu’lusa’ ñinanlu’wekkek yaadanta’lek.,TRUE,,,,,,
FL_0352,Allá sí que después de la lluvia no se forma barro,"Nanek a’ka’ u’lan ma’ta’ lli’i’nek mumulu’,",TRUE,,,,,,
FL_0353,", bonito se camina por la calle.", kallik u’chimusha dekkuntulek.,TRUE,,,,,,
FL_0354,En la calle no se ensucia tu zapato.,Kallik sapatupen uchui’ñi.,TRUE,,,,,,
FL_0355,"Esta enfermedad llegó a fines del año 2019, ","Asu’ kaluwi’ ektu’kerlli 2019 ta’wantapilasik, ",TRUE,,,,,,
FL_0356,por eso le pusieron el nombre de covid-19.,nanamalek llillinen aku’tullina’ kuvi-19.,TRUE,,,,,,
FL_0357,"Esta enfermedad nunca la habíamos conocido, como conocemos otras enfermedades.","Asu’ kaluwi’ ñi enpi’ luwer’chi’nekwa’, ali’la kaluwi’lusa’pu’su’.",TRUE,,,,,,
FL_0358,Las enfermedades que habían antiguamente eran: ,Napi’ kaluwi’lusa’ ñiwiñina’: ,TRUE,,,,,,
FL_0359,"tos ferina, sarampión, viruela, quitamuro.","chinku’kaluwi’, saranpion, sa’la’pi, sa’punpi.",TRUE,,,,,,
FL_0360,"Estas enfermedades ya desaparecieron, los wiracochas que conocen de medicina le encontraron su vacuna; ","Asu’ kaluwi’lusa’ ipa’ wer’llina’, wa’danlusa’ ilulenna ñinchiter’kasu’, nawa’ler vacunanen kanintullina’; ",TRUE,,,,,,
FL_0361,con eso curaron (a los pacientes) hasta que desaparecieron (las enfermedades).,nanalek lulendekllina’ wer’akwalek.,TRUE,,,,,,
FL_0362,"A estas (enfermedades) nadie las ha producido,","Asu’ kaluwi’lusa’ nawa’ ñidenler nu’chi’ñi, ",TRUE,,,,,,
FL_0363, por eso desaparecieron rápidamente.,nanamalek wiuksu’ wer’llina’. ,TRUE,,,,,,
FL_0364,"Ahora, en cambio, dicen que el covid-19 fue producido por el hombre.",Ipa’li’na tullina’ kuvi-19 enmu’pinenler nu’tulli.,TRUE,,,,,,
FL_0365,Ya van tres años desde que llegó esta enfermedad.,Ipa’ kala ekkilala ñapilalli asu’ kaluwi’ ektu’kera’su’.,TRUE,,Ipa’ kala ekkilala ñapilalli asu’ kaluwi’ ektu’kera’su’.,,,,
FL_0366,"Con eso murieron muchos hermanos de edad avanzada,",Nanalek muinchi yalli’lusa’ chimiñina’,TRUE,,"Ipa’li’na ipa’ kanañina’ vacunanen, nanalek lulen’apadekllina’.",,,,
FL_0367," las hermanas mayores murieron,",", sha’shalusa’ chimiñina’, ",TRUE,,nawa’ pawanpallina’pi’la lulendek’er’ka’su’.,,,,
FL_0368," los señores importantes murieron,","yalli’lusa’ pa’ter’kasu’nta’ chimiñina’, ",TRUE,,ipa’la lulendek’apallina’ wilalusa’; ,,,,
FL_0369," los doctores murieron, ","lulentulusa’ chimiñina’, ",TRUE,,"aku’ker’ patannetchekmapu’, ",,,,
FL_0370,muchos policías murieron.,muinchi suntaDulusa’ chimiñina’.,TRUE,,Nanamalek nu’unta’lusa’ ayanlulenchinpu’wiñina’.,,,,
FL_0371,"Esta enfermedad ha arrasado en toda la Tierra, ","Asu’ kaluwi’ iñer’ Lupak panker’chulli,",TRUE,,,,,,
FL_0372,"hasta hoy sigue arrasando, ","ipa’lalek panker’chapilalli,",TRUE,,,,,,
FL_0373,no pueden encontrar su cura., innichi’ñina’ kananer’kasu’ ilulennanen.,TRUE,,,,,,
FL_0374,"Sin embargo, ahora ya han encontrado una vacuna, con eso están tratando (a la gente).","Ipa’li’na ipa’ kanañina’ vacunanen, nanalek lulen’apadekllina’.",TRUE,,,,,,
FL_0375,"Pero todavía no han vacunado en toda la Tierra, falta aún la mitad de la población mundial.","Ku’li’na iñer’ Lupak lulendek’i’ñina’pi’la,",TRUE,,,,,,
FL_0376,"Los hermanos que viven en la chacra, ","Yalli’lusa’ nanpier’ka’su’ menmik,",TRUE,,,,,,
FL_0377,a ellos todavía falta vacunar., nawa’ pawanpallina’pi’la lulendek’er’ka’su’.,TRUE,,,,,,
FL_0378,Primero comenzaron a vacunar a los mayores,"Nanentu tenmiansu’llina’ lulenter’ka’su’ taserpilusakla, ",TRUE,,,,,,
