CODIGO,TEXTO_SPA,TEXTO_SHI,AUDIO?,,,,
F-0241,ellas no enseñan a los niños.,NAWA' KU'LA A'LEK'API'ÑINA' WILALUSA' ,TRUE,,,,
F-0242,la niña enseña a los niños.,WILA KU'APER A'LEKDEK'LLI WILALUSA',TRUE,,,,
F-0243,nosotras no enseñamos una escritura.,KUDA KU'LA A'LEKTAPI'ÑIDEK ALA'SA' LLINSERPI,TRUE,NANA DEKKUNTULLI ENPU'NI WIU'KSU',,,
F-0244,nosotras enseñamos a contar.,KUDA A'LEK' TAPALLIDEK PICHITAK,TRUE,,,,
F-0245,nosotros no enseñamos una lección.,KUDA KU'LA A'LEKTAPI'ÑIDEK ALA'SA' LECCIÓN,TRUE,,,,
F-0246,nosotros no enseñamos a los niños.,KUDA KU'LA A'LEKTAPI'ÑIDEK  WILALUSA',TRUE,,,,
F-0247,ustedes no enseñan a los niños.,KENMAMA' KU'LA A'LEK'API'NAMA' WILALUSA',TRUE,,,,
F-0248,ustedes enseñan a contar.,KENMAMA' A'LEKTULAMA PICHITAK,TRUE,,,,
F-0249,yo enseño a escribir.,KUA A'LEKTULEK LLINSERCHAK',TRUE,,,,
F-0250,él enseña a los niños.,NANA A'LEK'DEKLLI WILALUSA',TRUE,,,,
F-0251,él no enseña a escribir.,NANA KU'LA A'LEKCHIÑI LLINSERCHAK,TRUE,,,,
F-0252,el niño no escribe su historia.,NANA WILA LINSERCHULLI NANPIA'SU'NEN,TRUE,,,,
F-0253,el niño escribe una carta.,NANA WILA LINSERCHULLI ALASA' LA'LA',TRUE,,,,
F-0254,ellas no escriben sus nombres.,NAWA' KU'LA LLINSERCHI'ÑINA' LLILLINNENNA',TRUE,,,,
F-0255,la niña no escribe su nombre.,NANA WILAKU'APER KU'LA LLINSERCHI'ÑI LLILLINNEN,TRUE,,,,
F-0256,los niños no escriben sus historias.,WILALUSA' KU'LA LLINSERCHI'ÑINA NANPIER'KASU',TRUE,,,,
F-0257,nosotras no escribimos una carta.,KUDA KU'LA LLINSERCHI'ÑIDEK ALA'SA' KERKA',TRUE,,,,
F-0258,nosotros no escribimos una carta.,KUDA KU'LA LLINSERCHI'ÑIDEK ALA'SA' KERKA',TRUE,,,,
F-0259,tú escribes una historia.,KENMA LLINSERCHULA ALA'SA' NANPIER'KASU',TRUE,,,,
F-0260,tú escribes su nombre.,KENMA LLINSERCHULA LLILLINNEN,TRUE,,,,
F-0261,yo escribo su nombre.,KUA LLINSERCHULEK LLILLINNEN,TRUE,,,,
F-0262,ellas escuchan la música.,NAWA' LAUKLLINA' TULUNER',TRUE,,,,
F-0263,ellas no escuchan música.,NAWA' KU'LA LAUK'I'ÑINA' TULUNER',TRUE,,,,
F-0264,ellos escuchan a su maestro.,NAWA' LAUK'LLINA' A'LEKTUTEKNEN,TRUE,,,,
F-0265,la niña no escucha música.,WILA KU'APER KU'LA LAUK'I'ÑI' TULUNER',TRUE,,,,
F-0266,la niña no escucha la música.,WILA KU'APER KU'LA LAUK'I'ÑI' TULUNER',TRUE,,,,
F-0267,las niñas escuchan música.,WILA KU'APERLUSA' LAUK'LLINA' TULUNER' ,TRUE,,,,
F-0268,los niños no escuchan música.,WILALUSA' KU'LA LAUK'I'ÑINA' TULUNER',TRUE,,,,
F-0269,los niños escuchan la música.,WILALUSA' LAUK'LLINA TULUNER',TRUE,,,,
F-0270,los niños no escuchan la música.,WILALUSA' KU'LA LAUK'I'ÑINA' TULUNER',TRUE,,,,
F-0271,nosotras escuchamos la música.,KUDA LAUK'LLIDEK TULUNER',TRUE,,,,
F-0272,nosotras no escuchamos música.,KUDA KU'LA LAUK'I'ÑIDEK TULUNER',TRUE,,,,
F-0273,nosotros escuchamos la musica.,KUDA LAUK'LLIDEK TULUNER',TRUE,,,,
F-0274,nosotros no escuchamos música.,KUDA KU'LA LAUK'I'ÑIDEK TULUNER',TRUE,,,,
F-0275,nosotros no escuchamos a su maestro.,KUDA KU'LA LAUK'I'ÑIDEK A'LEKTUTEK'NEN,TRUE,,,,
F-0276,nosotros escuchamos a su maestro.,KUDA LAUK'LLIDEK A'LEKTUTEK'NEN,TRUE,,,,
F-0277,tú no escuchas a su maestro.,KENMA KU'LA LAUK'I'NA A'LEKTUTEK'NEN,TRUE,,,,
F-0278,tú no escuchas la musica.,KENMA KU'LA LAUK'I'NA TULUNER',TRUE,,,,
F-0279,tú escuchas música.,KENMA LAUK'LA TULUNER',TRUE,,,,
F-0280,ustedes escuchan a su maestro.,KENMAMA' LAUK'LAMA' A'LEKTUTEKPENMA',TRUE,,,,
F-0281,yo escucho a su maestro.,KUA LAUK'LEK A'LEKTUTEKNEN,TRUE,,,,
F-0282,el niño no espera en la casa.,WILA KU'LA WA'TENCHI'ÑI PIDEK'KEK,TRUE,,,,
F-0283,el niño no espera tranquilo.,NANA WILA KU'LA WA'TENCHI'ÑI MUSICLANLEK',TRUE,,,,
F-0284,ella espera en la escuela.,NANA WA'TENTULLI ÑINCHITUNAPIDEK'KEK,TRUE,,,,
F-0285,ellas no esperan en silencio.,NAWA' KU'LA WA'TENCHI'ÑINA' TA'TULAN'NA',TRUE,,,,
F-0286,ellas esperan con tranquilidad.,NAWA' WA'TENTULLINA' MUSICLANLEK',TRUE,,,,
F-0287,ellas esperan en silencio.,NAWA' WA'TENTULLINA' TA'TULAN'NA',TRUE,,,,
F-0288,ellos no esperan en silencio.,NAWA' KU'LA WA'TENCHI'ÑINA' TA'TULAN'NA',TRUE,,,,
F-0289,la niña no espera en la casa.,NANA' WILA KU'APER KU'LA WA'TENCHI'ÑI PIDEK'KEK,TRUE,,,,
F-0290,la niña no espera con tranquilidad.,NANA' WILA KU'APER KU'LA WA'TENCHI'ÑI MUSICLANLEK',TRUE,,,,
F-0291,nosotras no esperamos en la escuela.,KUDA KU'LA WA'TENCHI'ÑIDEK ÑINCHITUNAPIDEK'KEK,TRUE,,,,
F-0292,nosotras esperamos en silencio.,KUDA WA'TEN'TULLI'DEK TA'TULA'MUDEK,TRUE,,,,
F-0293,nosotros esperamos con tranquilidad.,KUDA WA'TEN'TULLI'DEK MUSICLANLEK',TRUE,,,,
F-0294,nosotros esperamos en la casa.,KUDA WA'TEN'TULLI'DEK  PIDEK'KEK,TRUE,,,,
F-0295,tú no esperas con tranquilidad.,KENMA WA'TEN'CHI'NA MUSICLANLEK',TRUE,,,,
F-0296,tú esperas en la escuela.,KENMA WA'TEN'TULA ÑINCHITUNAPIDEK'KEK,TRUE,,,,
F-0297,tú esperas en la casa.,KENMA WA'TEN'TULA PIDEK'KEK,TRUE,,,,
F-0298,ustedes no esperan en la casa.,KENMAMA' KU'LA WA'TENCHI'NAMA' PIDEK'KEK,TRUE,,,,
F-0299,ustedes no esperan en silencio.,KENMAMA' KU'LA WA'TENCHI'NAMA' TA'TULAN'MA,TRUE,,,,
F-0300,ustedes esperan con tranquilidad.,KENMAMA' WA'TEN'TULAMA' MUSICLANLEK',TRUE,,,,
F-0301,yo espero con tranquilidad.,KUA PUR'LEK MUSICLANLEK',TRUE,,,,
F-0302,él no espera con tranquilidad.,NANA KU'LA WA'TENCHI'ÑI MUSICLANLEK',TRUE,,,,
F-0303,él no espera en silencio.,NANA KU'LA WA'TENCHI'ÑI TA'TULA'KEK,TRUE,,,,
F-0304,el niño no estudia ciencias.,NANA WILA KU'LA ÑINCHITAPI'ÑI CIENCIAS,TRUE,,,,
F-0305,ella estudia ciencias.,NANA ÑINCHITAPALLI CIENCIAS,TRUE,,,,
F-0306,ella no estudia ciencias.,NANA KU'LA ÑINCHITAPI'ÑI CIENCIAS,TRUE,,,,
F-0307,ellas estudian historia.,NAWA' ÑINCHITAPALLINA' NANPIER'KASU',TRUE,,,,
F-0308,ellas no estudian historia.,NAWA' KU'LA NINCHITAPI'ÑINA' NANPIER'KASU',TRUE,,,,
F-0309,ellas no estudian ciencias.,NAWA' KU'LA NINCHITAPI'ÑINA' CIENCIAS,TRUE,,,,
F-0310,ellas estudian ciencias.,NAWA' NINCHITAPALLINA' CIENCIAS,TRUE,,,,
F-0311,ellos estudian el pasado.,NAWA' ÑINCHITULLINA NAKUA'SU,TRUE,,,,
F-0312,ellos estudian hoy.,NAWA' ÑINCHITULLINA IPA'LAKLA,TRUE,,,,
F-0313,ellos estudian el futuro.,NAWA' ÑINCHITULLINA YANAKUA'SU,TRUE,,,,
F-0314,la niña estudia ahora.,NANA WILLAKU'APER ÑINCHITAPALLI IPA'LA,TRUE,,,,
F-0315,la niña estudiara mañana.,NANA WILLAKU'APER ÑINCHITECHU EKLLI,TRUE,,,,
F-0316,las niñas estudiaran mañana.,NANA WILLA KU'APER'LUSA' ÑINCHITECHUNA' EKLLI,TRUE,,,,
F-0317,los niños estudiaran mañana.,NANA WILLALUSA' ÑINCHITECHUNA' EKLLI,TRUE,,,,
F-0318,los niños no estudian hoy.,WILLALUSA' KU'LA ÑINCHICHI'ÑINA' IPA'LA,TRUE,,,,
F-0319,los niños estudian hoy.,WILLALUSA' ÑINCHITULLINA' IPA'LA,TRUE,,,,
F-0320,nosotros no estudiamos hoy.,KENMU'WA' KU'LA ÑINCHITA'PI'ÑIDEK IPA'LA,TRUE,,,,
F-0321,tú estudias cocina.,KENMA ÑINCHITAPALA' KALU'TAK',TRUE,,,,
F-0322,tú estudias medicina.,KENMA ÑINCHITAPALA' LULENTAK',TRUE,,,,
F-0323,el niño habla en la escuela.,NANA WILLA LUNPA'LLI ÑINCHITUNAPIDEK'KEK,TRUE,,,,
F-0324,el niño no habla con su familia.,NANA WILLA KU'LA LUNPI'ÑI PATUN'NENLEK,TRUE,,,,
F-0325,el niño no habla en la casa.,NANA WILLA KU'LA LUNPI'ÑI PIDEKNENKEK,TRUE,,,,
F-0326,el niño habla con su familia.,NANA WILLA LUNPA'LLI PATUN'NENLEK,TRUE,,,,
F-0327,ella no habla con su familia.,NANA KU'LA LUMPI'ÑI PATUN'NENLEK,TRUE,,,,
F-0328,ellas no hablan en voz baja.,NAWA' KU'LA LUMPI'ÑINA TA'TULAN'NA',TRUE,,,,
F-0329,ellas no hablan en la casa.,NAWA' KU'LA LUMPI'ÑINA PIDEK'KEK,TRUE,,,,
F-0330,ellas no hablan con su familia.,NAWA' KU'LA LUNPI'ÑINA PATUN'NEN'NA'LEK,TRUE,,,,
F-0331,ellos hablan en la casa.,NAWA' LUNPALLINA' PIDEK'KEK,TRUE,,,,
F-0332,ellos hablan en la escuela.,NAWA' LUNPALLINA' ÑINCHITUNAN'PIDEK'KEK,TRUE,,,,
F-0333,la niña no habla en la escuela.,NANA WILLAKU'APER KU'LA LUNPI'ÑI ÑINCHITUNAN'PIDEK'KEK,TRUE,,,,
F-0334,la niña no habla con su familia.,NANA WILLAKU'APER KU'LA LUNPI'ÑI PATUN'NEN'LUSA'LEK,TRUE,,,,
F-0335,la niña habla en la casa.,NANA WILLAKU'APER LUNPA'LLI  PIDEK'KEK,TRUE, ,,,
F-0336,las niñas no hablan solas.,NANA WILAKUAPER'LUSA KU'LA LUNPI'ÑINA' NAWA'SA',TRUE,,,,
F-0337,los niños hablan despacio.,NANA WILALUSA' LUÑINA' UTI'LA,TRUE,,,,
F-0338,nosotras hablamos fuerte.,KUDA LUÑIDEK IKERSU',TRUE,,,,
F-0339,nosotras hablamos bien,KUDA LUÑIDEK MUSU',TRUE,,,,
F-0340,nosotros no hablamos fuerte.,KUDA KU'LA LUI'ÑIDEK IKERSU',TRUE,,,,
F-0341,nosotros no hablamos despacio.,KUDA KU'LA LUI'ÑIDEK UTI'LA,TRUE,,,,
F-0342,nosotros hablamos con su primo.,KUDA LUÑIDEK PRIMUNENLEK,TRUE,,,,
F-0343,tú no hablas en la iglesia.,KENMA KU'LA LUNPI'NA ILLISIAK,TRUE,,,,
F-0344,tú hablas en voz baja.,KENMA LUNPA'LA ADAWA'SU',TRUE,,,,
F-0345,ustedes no hablan de ella,KENMAMA LUMPI'NAMA' NANAKIN,TRUE,,,,
F-0346,ustedes hablan entre ustedes.,KENMAMA LUMPA'LAMA KENMAMATUCHI,TRUE,,,,
F-0347,yo hablo en la iglesia.,KUA LUMPALEK ILLISIAK,TRUE,,,,
F-0347-2,yo me llamo erasmo,KUA IMPEKLUPALEK IRASHU,TRUE,IRASHU = ERASMO,,,
F-0348,él habla por telefono.,NANA LUÑI WANA LUN'A'SUKEK,TRUE,,,,
F-0349,ella no lava la ropa.,NANA KU'LA PEKSA' PI'ÑI KUTUNLUSA',TRUE,,,,
F-0350,ellos lavan los platos.,NAWA'PAMU'LLINA' SINANLUSA',TRUE,x,,,
F-0351,ellos no lavan los platos.,NAWA'KU'LA PAMUIÑINA' SINANLUSA',TRUE,,,,
F-0352,ellos lavan la ropa.,NAWA'PEKSA´LLINA' KUTUNLUSA',TRUE,,,,
F-0353,ellos no barren la casa.,NAWA'KU'LA WITEK'IÑINA PIDEK,TRUE,,,,
F-0354,ellos se lavan las manos.,NAWA'INPAMU ITEKLALLINA,TRUE,,,,
F-0355,las niñas lavan los platos.,NANA WILAKUAPER'LUSA' PAMUIÑINA' SINANLUSA',TRUE,,,,
F-0356,las niñas no lavan los platos.,NANA WILAKUAPER'LUSA' KU'LA PAMUIÑINA' SINANLUSA',TRUE,,,,
F-0357,nosotras nos lavamos las manos.,KUDA INPAMU' ITEKLALLIDEK,TRUE,X,,,
F-0358,nosotras lavamos los platos.,KUDA PAMU'LLIDEK SINANLUSA',TRUE,X,,,
F-0359,nosotros lavamos los platos.,KUDA PAMU'LLIDEK SINANLUSA',TRUE,,,,
F-0360,nosotros no lavamos los platos.,KUDA KU'LA PAMUI'ÑIDEK SINANLUSA',TRUE,,,,
F-0361,tú te lavas las manos con agua.,KENMA PAMU'LA ITEKLAPEN DEKLEK,TRUE,,,,
F-0361-2,tú te lavas las manos con agua.,KENMA INWINSEK'LA DEKLEK,TRUE,,,,
F-0362,ustedes no lavan los platos.,KENMAMA' PAMUI'NAMA' SINANLUSA',TRUE,,,,
F-0363,yo lavo la ropa.,KUA PEKSA'LEK KUTUN,TRUE,,,,
F-0364,él no lava la ropa.,NANA KU'LA PEKSI'ÑI KUTUN,TRUE,,,,
F-0365,él lava la ropa.,NANA PEKSA'LLI KUTUN,TRUE,,,,
F-0366,ella lee un libro.,NANA LUNTULLI ALA'SA' KERKA',TRUE,,,,
F-0367,ella no lee una revista.,NANA KU'LA LUNCHIÑI ALA'SA' KERKA',TRUE,,,,
F-0368,ellas leen una revista.,NAWA' LUNTULLINA' ALA'SA' KERKA',TRUE,,,,
F-0369,ellas no leen un cuento.,NAWA' KU'LA LUNCHI'ÑINA ALA'SA' CUENTU,TRUE,,,,
F-0370,ellos leen un cuento.,NAWA' LUNTULLINA' ALA'SA' CUENTU,TRUE,,,,
F-0371,ellos leen una revista.,NAWA' LUNTULLINA' ALASA' KERKA',TRUE,,,,
F-0372,las niñas leen un cuento.,NANA WILA KUAPERLUSA' LUNTULLINA' ALA'SA' CUENTU,TRUE,,,,
F-0373,las niñas leen un libro.,NANA WILA KUAPERLUSA' LUNTULLINA' ALA'SA' KERKA',TRUE,,,,
F-0374,las niñas no leen un cuento.,NANA WILA KUAPERLUSA' KU'LA LUNCHI'ÑINA ALA'SA' CUENTU,TRUE,,,,
F-0375,los niños leen un libro.,NANA WILALUSA' LUNTULLINA' ALA'SA' KERKA',TRUE,,,,
F-0376,los niños no leen un cuento.,NANA WILALUSA' KU'LA LUNCHI'ÑINA ALA'SA' CUENTU,TRUE,,,,
F-0377,nosotros leemos una revista.,KUDA LUNTULLIDEK ALA'SA' KERKA',TRUE,,,,
F-0378,nosotros leemos un libro.,KUDA LUNTULLIDEK ALA'SA' KERKA',TRUE,,,,
F-0379,nosotros no leemos una revista.,KUDA KU'LA LUNCHI'ÑIDEK ALA'SA' KERKA',TRUE,,,,
F-0380,tú no lees un libro.,KENMA KU'LA LUNCHI'NA ALA'SA' KERKA',TRUE,,,,
F-0381,tú lees una revista.,KENMA LUNTULA ALA'SA' KERKA',TRUE,,,,
F-0382,yo no leo una revista.,KUA KU'LA LUNCHI'NEK ALA'SA' KERKA',TRUE,,,,
F-0383,el niño limpia la casa.,NANA WILA WITEK'LLI PIDEK,TRUE,,,,
F-0384,ella no limpia la casa.,NANA KU'LA WITEK'IÑI PIDEK,TRUE,,,,
F-0385,ella limpia la casa.,NANA WITEK'LLI PIDEK,TRUE,,,,
F-0386,ella no limpia el cuarto.,NANA KU'LA WITEK'IÑI WICHI'AK,TRUE,,,,
F-0387,ellos no limpian la mesa.,NAWA'KU'LA PEKKUI'IÑINA MISA',TRUE,,,,
F-0388,la niña no limpia la casa.,NANA WILA KUAPER KU'LA WITEK'IÑI PIDEK,TRUE,,,,
F-0389,la niña no limpia la mesa.,NANA WILA KUAPER KU'LA PEKKUI'IÑI MISA',TRUE,,,,
F-0390,la niña no limpia el cuarto.,NANA WILA KUAPER KU'LA WITEK'IÑI WICHI'AK,TRUE,,,,
F-0391,las niñas no limpian la mesa.,NANA WILA KUAPERLUSA KU'LA PEKKUI'IÑINA MISA',TRUE,,,,
F-0392,las niñas limpian la mesa.,NANA WILA KUAPERLUSA PEKKUI'LLINA' MISA',TRUE,,,,
F-0393,los niños limpian la mesa.,NANA WILALUSA PEKKUI'LLINA MISA',TRUE,,,,
F-0394,nosotras no limpiamos la mesa.,KUDA KU'LA PEKKUIA'PI'ÑIDEK MISA',TRUE,,,,
F-0395,nosotros no limpiamos el cuarto.,KUDA KU'LA WITEK'API'ÑIDEK WICHI'AK,TRUE,,,,
F-0396,tú no limpias la mesa.,KENMA KU'LA PEKKUIA'PI'NA MISA',TRUE,,,,
F-0397,tú no limpias el cuarto.,KENMA WITEK'API'NA WICHI'AK,TRUE,,,,
F-0398,ustedes limpian la mesa.,KENMAMA' PEKKUI'LAMA MISA,TRUE,,,,
F-0399,ustedes no limpian la casa.,KENMAMA' KU'LA WITEK'CHI'NAMA' PIDEK'KEK,TRUE,,,,
F-0400,yo limpio el cuarto.,KUA WITEK'TULEK WICHI'AK,TRUE,,,,
F-0401,yo no limpio la mesa.,KUA KU'LA PEKKUI'INEK MISA,TRUE,,,,
F-0402,el niño no nada en la piscina.,NANA WILA KU'LA IDUI'ÑI SEN'NAN'KEK,TRUE,,,,
F-0403,el niño nada con sus amigos.,NANA WILA IDUÑI EKKUANENLUSA'LEK,TRUE,,,,
F-0404,ellas nadan bajo la lluvia.,NAWA'IDUÑINA ULAN' WILEN'KEK,TRUE,,,,
F-0405,ellas no nadan con sus amigos.,NAWA' KU'LA IDUMPI'ÑINA' EKKUANEN'NA'LEK,TRUE,,,,
F-0406,ellos nadan bajo la lluvia.,NAWA' IDUÑINA' U'LAN WILENKEK,TRUE,,,,
F-0407,ellos nadan en la cocha.,NAWA' IDUÑINA' SENANKEK,TRUE,,,,
F-0408,la niña nada bajo la lluvia.,NANA WILAKUAPER' IDUÑI U'LAN WILENKEK,TRUE,,,,
F-0409,las niñas nadan en el río.,NANA WILAKUAPER'LUSA' IDUÑINA' KUPINDEK'SHADEK'KEK,TRUE,,,,
F-0410,las niñas nadan con sus amigos.,NANA WILAKUAPER'LUSA' IDUÑINA' EKKUANEN'NALEK,TRUE,,,,
F-0411,los niños no nadan bajo la lluvia.,NANA WILALUSA' KU'LA IDUNPIÑINA' U'LAN WILENKEK,TRUE,,,,
F-0412,nosotras no nadamos bajo la lluvia.,KUDA KU'LA IDUNPI'ÑIDEK U'LAN WILENKEK,TRUE,,,,
F-0413,nosotras nadamos bajo la lluvia.,KUDA IDUNPALLIDEK U'LAN WILENKEK,TRUE,,,,
F-0414,nosotras nadamos en la cocha.,KUDA IDUNPALLIDEK SENANKEK,TRUE,,,,
F-0415,nosotras no nadamos en la cocha.,KUDA KU'LA' IDUNPI'ÑIDEK SENANKEK,TRUE,,,,
F-0416,nosotros no nadamos en la cocha.,KUDA KU'LA' IDUNPI'ÑIDEK SENANKEK,TRUE,,,,
F-0417,nosotros no nadamos en el río.,KUDA KU'LA' IDUNPI'ÑIDEK KUPINDEK'SHADEK'KEK,TRUE,,,,
F-0418,tú nadas bajo la lluvia.,KEMMA IDUNPALA' U'LAN WILENKEK,TRUE,,,,
F-0419,yo nado bajo la lluvia.,KUA IDUMPALEK' U'LAN WILENKEK,TRUE,,,,
F-0420,yo no nado con sus amigos.,KUA KU'LA IDUMPINEK' EKKUANENLUSA'LEK,TRUE,,,,
F-0421,yo no nado en la cocha.,KUA KU'LA IDUMPINEK' SENANKEK,TRUE,,,,
F-0422,él nada bajo la lluvia.,NANA IDUÑI U'LAN WILENKEK ,TRUE,,,,
F-0423,él nada con sus amigos.,NANA IDUÑI EKKUANENLUSA'LEK,TRUE,,,,
F-0424,el niño no odia la oscuridad.,NANA WILA KU'LA LUYUIÑI KASISERLU',TRUE,,,,
F-0425,el niño odia la oscuridad.,NANA WILA LUYULLI KASISER'LU',TRUE,,,,
F-0426,ella odia la tarea.,NANA LUYULLI YANU'TA'SU',TRUE,NANA LUYULLI YANU'TAKSU',,,
F-0427,ella no odia la tarea.,NANA KU'LA LUYUIÑI YANU'TA'SU',TRUE,,,,
F-0428,ellos no odian la tarea.,NAWA'KU'LA LUYUIÑINA' YANU'TER'KASU',TRUE,,,,
F-0429,las niñas odian la oscuridad.,NANA WILA KU'APERLUSA' LUYULLINA' KASISERLU',TRUE,,,,
F-0430,las niñas odian la tarea.,NANA WILA KU'APERLUSA' LUYULLINA' YANU'TER'KASU',TRUE,,,,
F-0431,los niños no odian la oscuridad.,NANA WILALUSA' KU'LA' LUYUIÑINA' KASISERLU',TRUE,,,,
F-0432,nosotras odiamos la tarea.,KUDA LUYULLIDEK YANU'TA'KAWA'SU',TRUE,,,,
F-0433,nosotros no odiamos la tarea.,KUDA KU'LA' LUYUIÑIDEK YANU'TA'KAWA'SU',TRUE,,,,
F-0434,tú odias el ruido.,KENMA' LUYULA ILLIAN'SU',TRUE,,,,
F-0435,ustedes odian el ruido.,KENMA'MA LUYULAMA' ILLIAN'SU',TRUE,,,,
F-0436,yo no odio la tarea.,KUA KU'LA' LUYUINEK YANU'TA'KA'SU',TRUE,,,,
F-0437,él odia la tarea.,NANA LUYULLI YANU'TA'SU',TRUE,,,,
F-0438,el niño no olvida una fecha importante.,NANA WILA' KU'LA' PINANERIÑI ALA'SA' UKLLI PA'TA'SU',TRUE,,,,
F-0439,ella olvida su cuaderno.,NANA PINANERIÑI KERKA'NEN,TRUE,,,,
F-0440,ellos estudian el presente.,NAWA' ÑINCHITULLINA NAKUPA'SU,TRUE,,,,
F-0441 INICIO,¿Qué hace el perro por la noche?,¿MA'PU'PALLI ÑIÑI'WA DEKPILLI?,TRUE,,,,
F-0442,El doctor cura al paciente.,WA'DANLULENTUTEK LULENÑI KALUWINAN,TRUE,,,,
F-0443,Mi lengua vive en mi cabeza.,LA'LA'UK NANPIPALLI MUTU'UKEK,TRUE,,,,
F-0444,En el bosque me perdí,TANAK WER'LIEK,TRUE,,,,
F-0445,Me gusta el caldo de gallina.,IYATULEK WA'DANTE' DEK,TRUE,,,,
F-0446,¿Qué hace ella a mediodía?,¿MA'PU'PALLI NANA IKIÑEK UKLIK?,TRUE,,,,
F-0447,¿Qué hacen los niños en la fiesta?,¿MA'PU'PALLINA' WILALUSA' PISTAK?,TRUE,,,,
F-0448,Mi mamá cocina pescado.,AWAUK KALU'PALLI SAMER,TRUE,,,,
F-0449,mamá cocina pescado.,AWA KALU'PALLI SAMER,TRUE,,,,
F-0450,Mi mamá cocina caldo de gallina.,AWAUK KALU'PALLI WA'DANTE,TRUE,,,,
F-0451,Mi mamá cocina plátano,AWAUK AKUSULLI TANGU,TRUE,,,,
F-0452,Mañana iremos a la tienda.,EKLLI PA'ATER CHINTA'K,TRUE,,,,
F-0453,¿Qué hacen ustedes por la tarde?,¿MA'PU'LAMA' KEN'MAMA' ER'WA?,TRUE,,,,
F-0454,¿Qué hace el jaguar en la selva?,¿MA'PU'PALLI AMANA' TANAK'?,TRUE,,,,
F-0455,¿Qué hacen los hombres en el río?,¿MA'PU'PALLINA' ENMU'PINENLUSA' KUPIN DEKSHADEK'KEK?,TRUE,,,,
F-0456,Ella come arroz con pollo.,NANA KA'LLI PUMULADA WA'DANTEK WAWALEK',TRUE,,,,
F-0457,Los niños cantan canciones alegres.,WILALUSA' TULUNER'LLINA' TULLUNER'LUSA' SAKEKSU',TRUE,,,,
F-0458,El perro duerme en su cama.,ÑIÑIWA WICHI'LLI PEK'SA'NENKEK',TRUE,,,,
F-0459,Nosotros jugamos fútbol en la calle.,KUDA INTEKLITULLIDEK PILUTAPI KALLIK',TRUE,,,,
F-0460,El jaguar caza su alimento en silencio.,AMANA' MAPENÑI WERANEN TA'TULAN',TRUE,,,,
F-0461,Ellos pescan con veneno de barbasco.,NAWA' PUR'LLINA' PUÑAÑIN SULLIMANLEK',TRUE,,,,
F-0462,Yo canto por las mañanas.,KUA TULUNER'LEK DASU'LALUSA',TRUE,,,,
F-0463,Tú cantas por las noches.,KENMA TULUNER'LA DEKPILLI'LUSA',TRUE,,,,
F-0464,Él canta en la fiesta.,NANA TULUNER'LLI PISTAK,TRUE,,,,
F-0465,Ellos cantan juntos.,NAWA' TULUNER'LLINA MUMU'SU',TRUE,,,,
F-0466,Nosotros cantamos juntos.,KENMU'WA' TULUNER'LEKWA' MUMU'SU',TRUE,x,,,
F-0467,El pájaro canta en las mañanas.,SHUNPULA PEK'KLALLI DASU'LALUSA',TRUE,,,,
F-0468,Yo como arroz todos los días.,KUA KA'LEK PUMULADA IÑER'UKLLILUSA',TRUE,,,,
F-0469,Tú comes pan con mantequilla.,KENMA KA'LA TANTA' MANTIKILLALEK,TRUE,,,,
F-0470,Él come frutas por la tarde.,NANA KA'LLI WAYU ER'WA,TRUE,,,,
F-0471,Ellos comen juntos en la mesa.,NAWA' WERAÑINA MUMU'SU' MISAK,TRUE,,,,
F-0472,Nosotros comemos en casa.,KUDA WERAÑIDEK PIDIK,TRUE,,,,
F-0473,Ese perro come rápido.,NANA ÑIÑIWA WERAÑI WIUKSU',TRUE,,,,
F-0474,Yo duermo cinco horas al día.,KUA WICHA'PALEK ALI'TEKLUM URALUSA',TRUE,,,,
F-0475,Tú duermes hasta tarde los sábados.,KENMA WICHA'PALA ER'WAWALEK' SAWADU'LUSA',TRUE,,,,
F-0476,Él duerme en su cama.,NANA WICHA'PALLI CHIPECHEK'NENKEK,TRUE,,,,
F-0477,Ellos duermen en cuanto anochece.,NAWA' WICHA'PALLINA KASISERLA'SIK,TRUE,,,,
F-0478,Nosotros dormimos después de cenar.,KENMU'WA WICHA'TERWA WERAN'A'KA'SU'SUPINAK,TRUE,X : Pronuncia WERAN'AKA'WA'SU'SU´PINAK,,,
F-0479,El gato duerme en la mesa.,MISITU WICHI'LLI MISA'K,TRUE,,,,
F-0480,Yo juego a las escondidas con mi abuelo.,KUA INTEKLITULEK INSEKITAMU PAPINKU'UKLEK,TRUE,,,,
F-0481,Tú juegas en el patio.,KENMA INDEKLITULA INYULATE'KEK,TRUE,,,,
F-0482,Él juega con ellos.,NANA INDEKLITULLI NAWA'LEK,TRUE,,,,
F-0483,Ellos juegan juegos.,NAWA' INTEKLLITULLINA IÑER' UKLLILUSA',TRUE,,,,
F-0484,Nosotros jugamos todos los días.,KUDA INTEKLLITULLIDEK IÑER' UKLLILUSA',TRUE,,,,
F-0485,El niño juega con bloques.,WILA INTEKLLITULLI TUNTUNLUSA'LEK,TRUE,,,,
F-0486,Yo cazo con arco y flecha.,KUA YUNEK'APALEK' PEKTU'NANLEK' NALA EKDENPILEK,TRUE,KUA YUNEK'APALEK' PEKTE'ÑANLEK' NALA EKDENPILEK,,,
F-0487,Tú cazas aves en la montaña.,KENMA DEI'TAPALA ILANSERLUSA' TA'NAK,TRUE,,,,
